#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0116400.1-p1   -            256 10191at5820          -            228  9.4e-133  439.4  11.1   1   1    2e-134  1.6e-131  435.4  11.1     1   228     1   256     1   256 0.96 | transcript=PVP01_0116400.1 | gene=PVP01_0116400 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit beta type-4, putative | transcript_product=proteasome subunit beta type-4, putative | location=PvP01_01_v2:743975-744899(+) | protein_length=256 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0730500.1-p1   -            282 10191at5820          -            228   3.2e-13   48.4   3.3   1   2   2.2e-09   1.8e-06   26.3   0.0     4    70    24    90    22   112 0.94 | transcript=PVP01_0730500.1 | gene=PVP01_0730500 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit beta type-6, putative | transcript_product=proteasome subunit beta type-6, putative | location=PvP01_07_v2:1291584-1292432(-) | protein_length=282 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0730500.1-p1   -            282 10191at5820          -            228   3.2e-13   48.4   3.3   2   2   6.2e-08     5e-05   21.6   1.9    90   201   155   269   130   277 0.73 | transcript=PVP01_0730500.1 | gene=PVP01_0730500 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit beta type-6, putative | transcript_product=proteasome subunit beta type-6, putative | location=PvP01_07_v2:1291584-1292432(-) | protein_length=282 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0811500.1-p1   -            273 10191at5820          -            228     3e-12   45.2   1.6   1   1     5e-14   4.1e-11   41.5   1.6     8   199    61   245    56   264 0.75 | transcript=PVP01_0811500.1 | gene=PVP01_0811500 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit beta type-5, putative | transcript_product=proteasome subunit beta type-5, putative | location=PvP01_08_v2:492259-493080(-) | protein_length=273 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1226300.1-p1   -            270 10191at5820          -            228   1.4e-06   26.7   0.0   1   1   2.9e-07   0.00023   19.4   0.0   140   215   163   239    36   251 0.67 | transcript=PVP01_1226300.1 | gene=PVP01_1226300 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit beta type-7, putative | transcript_product=proteasome subunit beta type-7, putative | location=PvP01_12_v2:1033108-1033920(-) | protein_length=270 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0206900.1-p1   -            218 10191at5820          -            228   2.3e-05   22.7   0.2   1   1   6.8e-08   5.6e-05   21.5   0.2     9   120     9   133     2   184 0.79 | transcript=PVP01_0206900.1 | gene=PVP01_0206900 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit beta type-3, putative | transcript_product=proteasome subunit beta type-3, putative | location=PvP01_02_v2:287397-288625(+) | protein_length=218 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0213100.1-p1   -            256 10191at5820          -            228   3.8e-05   22.0   0.1   1   1     2e-07   0.00017   19.9   0.1     2   195    27   222    26   250 0.73 | transcript=PVP01_0213100.1 | gene=PVP01_0213100 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit alpha type-5, putative | transcript_product=proteasome subunit alpha type-5, putative | location=PvP01_02_v2:548876-550047(+) | protein_length=256 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1015600.1-p1   -            241 10191at5820          -            228   0.00056   18.2   0.0   1   1   9.3e-07   0.00076   17.7   0.0     8    71    37   100    31   153 0.88 | transcript=PVP01_1015600.1 | gene=PVP01_1015600 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit beta type-1, putative | transcript_product=proteasome subunit beta type-1, putative | location=PvP01_10_v2:702214-703680(+) | protein_length=241 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1448600.1-p1   -            207 10191at5820          -            228     0.017   13.3   0.0   1   1   3.4e-05     0.027   12.6   0.0     7    67    35    95    30   117 0.88 | transcript=PVP01_1448600.1 | gene=PVP01_1448600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent protease subunit ClpQ, putative | transcript_product=ATP-dependent protease subunit ClpQ, putative | location=PvP01_14_v2:2111594-2112822(-) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10191at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/10191at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10191at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:24:59 2026
# [ok]
