#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1025900.1-p1   -           1545 1444at5820           -           1093         0 1884.9  57.9   1   6   2.1e-47   1.5e-44  150.8   0.3     1   107    32   141    32   145 0.95 | transcript=PVP01_1025900.1 | gene=PVP01_1025900 | organism=Plasmodium_vivax_P01 | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=PvP01_10_v2:1129117-1133754(-) | protein_length=1545 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1025900.1-p1   -           1545 1444at5820           -           1093         0 1884.9  57.9   2   6  1.8e-198  1.3e-195  651.0  11.8   103   427   221   546   214   556 0.98 | transcript=PVP01_1025900.1 | gene=PVP01_1025900 | organism=Plasmodium_vivax_P01 | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=PvP01_10_v2:1129117-1133754(-) | protein_length=1545 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1025900.1-p1   -           1545 1444at5820           -           1093         0 1884.9  57.9   3   6  3.5e-182  2.5e-179  597.1  13.9   429   766   583   928   570   931 0.96 | transcript=PVP01_1025900.1 | gene=PVP01_1025900 | organism=Plasmodium_vivax_P01 | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=PvP01_10_v2:1129117-1133754(-) | protein_length=1545 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1025900.1-p1   -           1545 1444at5820           -           1093         0 1884.9  57.9   4   6   1.6e-15   1.2e-12   45.2   0.1   757   819   954  1025   947  1041 0.78 | transcript=PVP01_1025900.1 | gene=PVP01_1025900 | organism=Plasmodium_vivax_P01 | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=PvP01_10_v2:1129117-1133754(-) | protein_length=1545 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1025900.1-p1   -           1545 1444at5820           -           1093         0 1884.9  57.9   5   6   1.4e-76     1e-73  247.4   2.1   819   966  1155  1307  1111  1310 0.95 | transcript=PVP01_1025900.1 | gene=PVP01_1025900 | organism=Plasmodium_vivax_P01 | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=PvP01_10_v2:1129117-1133754(-) | protein_length=1545 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1025900.1-p1   -           1545 1444at5820           -           1093         0 1884.9  57.9   6   6     2e-66   1.4e-63  213.8   0.2   962  1087  1340  1465  1335  1469 0.98 | transcript=PVP01_1025900.1 | gene=PVP01_1025900 | organism=Plasmodium_vivax_P01 | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=PvP01_10_v2:1129117-1133754(-) | protein_length=1545 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1325900.1-p1   -            708 1444at5820           -           1093   7.5e-14   49.2   0.3   1   2   1.1e-09   7.7e-07   26.0   0.0   853   938   387   475   356   485 0.89 | transcript=PVP01_1325900.1 | gene=PVP01_1325900 | organism=Plasmodium_vivax_P01 | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=PvP01_13_v2:1126107-1128233(-) | protein_length=708 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1325900.1-p1   -            708 1444at5820           -           1093   7.5e-14   49.2   0.3   2   2   4.8e-08   3.5e-05   20.5   0.1   852   909   489   546   479   572 0.87 | transcript=PVP01_1325900.1 | gene=PVP01_1325900 | organism=Plasmodium_vivax_P01 | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=PvP01_13_v2:1126107-1128233(-) | protein_length=708 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0810600.1-p1   -            188 1444at5820           -           1093   9.5e-13   45.5   0.1   1   1   1.6e-15   1.1e-12   45.3   0.1   852   945    42   137    39   173 0.88 | transcript=PVP01_0810600.1 | gene=PVP01_0810600 | organism=Plasmodium_vivax_P01 | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=PvP01_08_v2:467502-469232(+) | protein_length=188 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0915900.1-p1   -            792 1444at5820           -           1093   7.3e-12   42.6   4.3   1   2    0.0011      0.81    6.0   0.0    84   134   338   390   323   400 0.71 | transcript=PVP01_0915900.1 | gene=PVP01_0915900 | organism=Plasmodium_vivax_P01 | gene_product=histone-lysine N-methyltransferase SET7, putative | transcript_product=histone-lysine N-methyltransferase SET7, putative | location=PvP01_09_v2:717670-721242(+) | protein_length=792 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0915900.1-p1   -            792 1444at5820           -           1093   7.3e-12   42.6   4.3   2   2   6.8e-13   4.9e-10   36.5   1.9   317   413   506   600   498   766 0.93 | transcript=PVP01_0915900.1 | gene=PVP01_0915900 | organism=Plasmodium_vivax_P01 | gene_product=histone-lysine N-methyltransferase SET7, putative | transcript_product=histone-lysine N-methyltransferase SET7, putative | location=PvP01_09_v2:717670-721242(+) | protein_length=792 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0607100.1-p1   -           1850 1444at5820           -           1093   5.6e-09   33.0   2.0   1   2   1.1e-07   7.8e-05   19.3   0.1   852   908  1033  1089  1014  1101 0.90 | transcript=PVP01_0607100.1 | gene=PVP01_0607100 | organism=Plasmodium_vivax_P01 | gene_product=PHAX domain-containing protein, putative | transcript_product=PHAX domain-containing protein, putative | location=PvP01_06_v2:302162-307714(-) | protein_length=1850 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
