#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0920600.1-p1   -            846 5783at5820           -            394  1.4e-170  566.2 142.2   1   9   6.5e-22   4.3e-18   64.1   3.7     1    48     1    60     1    84 0.84 | transcript=PVP01_0920600.1 | gene=PVP01_0920600 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_09_v2:896829-900478(+) | protein_length=846 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0920600.1-p1   -            846 5783at5820           -            394  1.4e-170  566.2 142.2   2   9   6.8e-06     0.045   11.4   0.8    45    66   113   134   101   140 0.84 | transcript=PVP01_0920600.1 | gene=PVP01_0920600 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_09_v2:896829-900478(+) | protein_length=846 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0920600.1-p1   -            846 5783at5820           -            394  1.4e-170  566.2 142.2   3   9   3.5e-07    0.0023   15.6   1.5    46    69   140   163   134   166 0.90 | transcript=PVP01_0920600.1 | gene=PVP01_0920600 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_09_v2:896829-900478(+) | protein_length=846 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0920600.1-p1   -            846 5783at5820           -            394  1.4e-170  566.2 142.2   4   9   1.5e-08    0.0001   20.1   1.9    47    69   167   189   163   193 0.91 | transcript=PVP01_0920600.1 | gene=PVP01_0920600 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_09_v2:896829-900478(+) | protein_length=846 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0920600.1-p1   -            846 5783at5820           -            394  1.4e-170  566.2 142.2   5   9   1.5e-07   0.00097   16.8  44.0    47   207   193   348   189   361 0.64 | transcript=PVP01_0920600.1 | gene=PVP01_0920600 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_09_v2:896829-900478(+) | protein_length=846 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0920600.1-p1   -            846 5783at5820           -            394  1.4e-170  566.2 142.2   6   9         1   6.5e+03  -29.0  50.3    90   205   280   394   274   404 0.53 | transcript=PVP01_0920600.1 | gene=PVP01_0920600 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_09_v2:896829-900478(+) | protein_length=846 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0920600.1-p1   -            846 5783at5820           -            394  1.4e-170  566.2 142.2   7   9   5.2e-20   3.4e-16   57.8   6.2    87   148   419   493   406   500 0.83 | transcript=PVP01_0920600.1 | gene=PVP01_0920600 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_09_v2:896829-900478(+) | protein_length=846 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0920600.1-p1   -            846 5783at5820           -            394  1.4e-170  566.2 142.2   8   9  2.9e-127  1.9e-123  411.0  15.6   142   377   555   804   547   812 0.93 | transcript=PVP01_0920600.1 | gene=PVP01_0920600 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_09_v2:896829-900478(+) | protein_length=846 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0920600.1-p1   -            846 5783at5820           -            394  1.4e-170  566.2 142.2   9   9   8.3e-09   5.4e-05   21.0   0.9   371   394   823   846   817   846 0.93 | transcript=PVP01_0920600.1 | gene=PVP01_0920600 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_09_v2:896829-900478(+) | protein_length=846 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5783at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5783at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5783at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:43:18 2026
# [ok]
