#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0810600.1-p1   -            188 12151at5820          -            140   1.3e-82  273.4   5.8   1   1   9.6e-82   5.7e-79  261.6   5.8     1   140     1   167     1   167 0.92 | transcript=PVP01_0810600.1 | gene=PVP01_0810600 | organism=Plasmodium_vivax_P01 | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=PvP01_08_v2:467502-469232(+) | protein_length=188 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1325900.1-p1   -            708 12151at5820          -            140   1.2e-14   53.2   1.4   1   4   1.7e-08     1e-05   24.3   0.0    46    98   390   444   383   449 0.87 | transcript=PVP01_1325900.1 | gene=PVP01_1325900 | organism=Plasmodium_vivax_P01 | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=PvP01_13_v2:1126107-1128233(-) | protein_length=708 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1325900.1-p1   -            708 12151at5820          -            140   1.2e-14   53.2   1.4   2   4   1.3e-05    0.0077   14.9   0.1    39    99   450   514   446   536 0.84 | transcript=PVP01_1325900.1 | gene=PVP01_1325900 | organism=Plasmodium_vivax_P01 | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=PvP01_13_v2:1126107-1128233(-) | protein_length=708 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1325900.1-p1   -            708 12151at5820          -            140   1.2e-14   53.2   1.4   3   4   0.00017       0.1   11.3   0.1    49    96   496   544   491   568 0.86 | transcript=PVP01_1325900.1 | gene=PVP01_1325900 | organism=Plasmodium_vivax_P01 | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=PvP01_13_v2:1126107-1128233(-) | protein_length=708 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1325900.1-p1   -            708 12151at5820          -            140   1.2e-14   53.2   1.4   4   4   0.00073      0.43    9.3   0.1    45    96   591   644   547   651 0.83 | transcript=PVP01_1325900.1 | gene=PVP01_1325900 | organism=Plasmodium_vivax_P01 | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=PvP01_13_v2:1126107-1128233(-) | protein_length=708 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0836800.1-p1   -            611 12151at5820          -            140   2.7e-10   39.1   0.5   1   2    0.0025       1.5    7.5   0.1    96   113    82    99    38   123 0.73 | transcript=PVP01_0836800.1 | gene=PVP01_0836800 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC1, putative | transcript_product=palmitoyltransferase DHHC1, putative | location=PvP01_08_v2:1549276-1552050(-) | protein_length=611 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0836800.1-p1   -            611 12151at5820          -            140   2.7e-10   39.1   0.5   2   2     5e-10     3e-07   29.2   0.0    36    93   154   212   134   221 0.91 | transcript=PVP01_0836800.1 | gene=PVP01_0836800 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC1, putative | transcript_product=palmitoyltransferase DHHC1, putative | location=PvP01_08_v2:1549276-1552050(-) | protein_length=611 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0607100.1-p1   -           1850 12151at5820          -            140   4.5e-09   35.1   9.2   1   3   9.7e-09   5.8e-06   25.1   0.2    39    98  1030  1090  1000  1098 0.83 | transcript=PVP01_0607100.1 | gene=PVP01_0607100 | organism=Plasmodium_vivax_P01 | gene_product=PHAX domain-containing protein, putative | transcript_product=PHAX domain-containing protein, putative | location=PvP01_06_v2:302162-307714(-) | protein_length=1850 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0607100.1-p1   -           1850 12151at5820          -            140   4.5e-09   35.1   9.2   2   3    0.0016      0.93    8.2   0.1    43   102  1110  1170  1093  1175 0.87 | transcript=PVP01_0607100.1 | gene=PVP01_0607100 | organism=Plasmodium_vivax_P01 | gene_product=PHAX domain-containing protein, putative | transcript_product=PHAX domain-containing protein, putative | location=PvP01_06_v2:302162-307714(-) | protein_length=1850 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0607100.1-p1   -           1850 12151at5820          -            140   4.5e-09   35.1   9.2   3   3    0.0039       2.3    6.9   0.0    38    92  1172  1227  1169  1236 0.89 | transcript=PVP01_0607100.1 | gene=PVP01_0607100 | organism=Plasmodium_vivax_P01 | gene_product=PHAX domain-containing protein, putative | transcript_product=PHAX domain-containing protein, putative | location=PvP01_06_v2:302162-307714(-) | protein_length=1850 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0618800.1-p1   -            482 12151at5820          -            140     5e-09   35.0   0.5   1   4       5.5   3.2e+03   -3.3   0.0    86    94    22    30     6    36 0.70 | transcript=PVP01_0618800.1 | gene=PVP01_0618800 | organism=Plasmodium_vivax_P01 | gene_product=bromodomain protein 1, putative | transcript_product=bromodomain protein 1, putative | location=PvP01_06_v2:771504-773345(+) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0618800.1-p1   -            482 12151at5820          -            140     5e-09   35.0   0.5   2   4   9.8e-06    0.0058   15.3   0.0    11    96    61   150    52   155 0.81 | transcript=PVP01_0618800.1 | gene=PVP01_0618800 | organism=Plasmodium_vivax_P01 | gene_product=bromodomain protein 1, putative | transcript_product=bromodomain protein 1, putative | location=PvP01_06_v2:771504-773345(+) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0618800.1-p1   -            482 12151at5820          -            140     5e-09   35.0   0.5   3   4   8.9e-06    0.0053   15.5   0.0    40    92   159   212   153   224 0.88 | transcript=PVP01_0618800.1 | gene=PVP01_0618800 | organism=Plasmodium_vivax_P01 | gene_product=bromodomain protein 1, putative | transcript_product=bromodomain protein 1, putative | location=PvP01_06_v2:771504-773345(+) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
