#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0931500.1-p1   -           1619 1267at5820           -           1206         0 2006.5 165.8   1   6   1.5e-08   3.3e-05   20.3   0.2     1    32    39    71    39    85 0.84 | transcript=PVP01_0931500.1 | gene=PVP01_0931500 | organism=Plasmodium_vivax_P01 | gene_product=structural maintenance of chromosomes protein 1, putative | transcript_product=structural maintenance of chromosomes protein 1, putative | location=PvP01_09_v2:1349877-1354736(-) | protein_length=1619 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0931500.1-p1   -           1619 1267at5820           -           1206         0 2006.5 165.8   2   6  3.8e-209  8.2e-206  684.8  41.8    29   424   199   609   191   618 0.95 | transcript=PVP01_0931500.1 | gene=PVP01_0931500 | organism=Plasmodium_vivax_P01 | gene_product=structural maintenance of chromosomes protein 1, putative | transcript_product=structural maintenance of chromosomes protein 1, putative | location=PvP01_09_v2:1349877-1354736(-) | protein_length=1619 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0931500.1-p1   -           1619 1267at5820           -           1206         0 2006.5 165.8   3   6   2.6e-94   5.6e-91  304.4  25.4   418   626   646   874   644   877 0.93 | transcript=PVP01_0931500.1 | gene=PVP01_0931500 | organism=Plasmodium_vivax_P01 | gene_product=structural maintenance of chromosomes protein 1, putative | transcript_product=structural maintenance of chromosomes protein 1, putative | location=PvP01_09_v2:1349877-1354736(-) | protein_length=1619 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0931500.1-p1   -           1619 1267at5820           -           1206         0 2006.5 165.8   4   6    2e-115  4.3e-112  374.3  44.9   626   909   918  1223   912  1225 0.93 | transcript=PVP01_0931500.1 | gene=PVP01_0931500 | organism=Plasmodium_vivax_P01 | gene_product=structural maintenance of chromosomes protein 1, putative | transcript_product=structural maintenance of chromosomes protein 1, putative | location=PvP01_09_v2:1349877-1354736(-) | protein_length=1619 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0931500.1-p1   -           1619 1267at5820           -           1206         0 2006.5 165.8   5   6   6.1e-29   1.3e-25   87.9  10.4   838   940  1189  1296  1183  1300 0.84 | transcript=PVP01_0931500.1 | gene=PVP01_0931500 | organism=Plasmodium_vivax_P01 | gene_product=structural maintenance of chromosomes protein 1, putative | transcript_product=structural maintenance of chromosomes protein 1, putative | location=PvP01_09_v2:1349877-1354736(-) | protein_length=1619 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0931500.1-p1   -           1619 1267at5820           -           1206         0 2006.5 165.8   6   6  3.3e-171  7.2e-168  559.1  15.2   949  1205  1361  1617  1359  1618 0.99 | transcript=PVP01_0931500.1 | gene=PVP01_0931500 | organism=Plasmodium_vivax_P01 | gene_product=structural maintenance of chromosomes protein 1, putative | transcript_product=structural maintenance of chromosomes protein 1, putative | location=PvP01_09_v2:1349877-1354736(-) | protein_length=1619 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024900.1-p1   -           1455 1267at5820           -           1206   2.5e-37  126.7  14.6   1   6   6.7e-21   1.5e-17   61.2   0.1    31   133    31   136    13   150 0.77 | transcript=PVP01_1024900.1 | gene=PVP01_1024900 | organism=Plasmodium_vivax_P01 | gene_product=structural maintenance of chromosomes protein 4, putative | transcript_product=structural maintenance of chromosomes protein 4, putative | location=PvP01_10_v2:1081785-1086152(-) | protein_length=1455 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024900.1-p1   -           1455 1267at5820           -           1206   2.5e-37  126.7  14.6   2   6   7.2e-07    0.0016   14.8   2.8   156   252   187   289   177   292 0.75 | transcript=PVP01_1024900.1 | gene=PVP01_1024900 | organism=Plasmodium_vivax_P01 | gene_product=structural maintenance of chromosomes protein 4, putative | transcript_product=structural maintenance of chromosomes protein 4, putative | location=PvP01_10_v2:1081785-1086152(-) | protein_length=1455 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024900.1-p1   -           1455 1267at5820           -           1206   2.5e-37  126.7  14.6   3   6         3   6.5e+03  -24.1  46.4   757  1029   309   595   295   610 0.63 | transcript=PVP01_1024900.1 | gene=PVP01_1024900 | organism=Plasmodium_vivax_P01 | gene_product=structural maintenance of chromosomes protein 4, putative | transcript_product=structural maintenance of chromosomes protein 4, putative | location=PvP01_10_v2:1081785-1086152(-) | protein_length=1455 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024900.1-p1   -           1455 1267at5820           -           1206   2.5e-37  126.7  14.6   4   6     0.065   1.4e+02   -1.7   4.4   861   917   806   863   799   880 0.78 | transcript=PVP01_1024900.1 | gene=PVP01_1024900 | organism=Plasmodium_vivax_P01 | gene_product=structural maintenance of chromosomes protein 4, putative | transcript_product=structural maintenance of chromosomes protein 4, putative | location=PvP01_10_v2:1081785-1086152(-) | protein_length=1455 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024900.1-p1   -           1455 1267at5820           -           1206   2.5e-37  126.7  14.6   5   6         3   6.5e+03  -23.7  41.5   731   910   852  1034   840  1074 0.42 | transcript=PVP01_1024900.1 | gene=PVP01_1024900 | organism=Plasmodium_vivax_P01 | gene_product=structural maintenance of chromosomes protein 4, putative | transcript_product=structural maintenance of chromosomes protein 4, putative | location=PvP01_10_v2:1081785-1086152(-) | protein_length=1455 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
