#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0904300.1-p1   -            585 4554at5820           -            495  1.2e-270  896.7  50.2   1   1  7.1e-273  5.1e-270  894.6  50.2     2   495    16   585    15   585 0.92 | transcript=PVP01_0904300.1 | gene=PVP01_0904300 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_09_v2:267250-270889(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452800.1-p1   -           1098 4554at5820           -            495   3.8e-58  195.8  60.6   1   6   4.3e-23   3.1e-20   70.7  13.2   173   312    94   232    89   234 0.88 | transcript=PVP01_1452800.1 | gene=PVP01_1452800 | organism=Plasmodium_vivax_P01 | gene_product=upregulated in late gametocytes ULG8, putative | transcript_product=upregulated in late gametocytes ULG8, putative | location=PvP01_14_v2:2306166-2309604(-) | protein_length=1098 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452800.1-p1   -           1098 4554at5820           -            495   3.8e-58  195.8  60.6   2   6   1.4e-16   9.8e-14   49.3   3.7   178   312   222   365   219   367 0.81 | transcript=PVP01_1452800.1 | gene=PVP01_1452800 | organism=Plasmodium_vivax_P01 | gene_product=upregulated in late gametocytes ULG8, putative | transcript_product=upregulated in late gametocytes ULG8, putative | location=PvP01_14_v2:2306166-2309604(-) | protein_length=1098 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452800.1-p1   -           1098 4554at5820           -            495   3.8e-58  195.8  60.6   3   6   2.8e-12     2e-09   35.1   3.7   191   290   305   407   286   414 0.85 | transcript=PVP01_1452800.1 | gene=PVP01_1452800 | organism=Plasmodium_vivax_P01 | gene_product=upregulated in late gametocytes ULG8, putative | transcript_product=upregulated in late gametocytes ULG8, putative | location=PvP01_14_v2:2306166-2309604(-) | protein_length=1098 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452800.1-p1   -           1098 4554at5820           -            495   3.8e-58  195.8  60.6   4   6   4.4e-14   3.2e-11   41.0   7.6   171   312   651   813   644   821 0.76 | transcript=PVP01_1452800.1 | gene=PVP01_1452800 | organism=Plasmodium_vivax_P01 | gene_product=upregulated in late gametocytes ULG8, putative | transcript_product=upregulated in late gametocytes ULG8, putative | location=PvP01_14_v2:2306166-2309604(-) | protein_length=1098 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452800.1-p1   -           1098 4554at5820           -            495   3.8e-58  195.8  60.6   5   6   1.3e-15   9.7e-13   46.0   6.6   217   313   896   990   875  1006 0.82 | transcript=PVP01_1452800.1 | gene=PVP01_1452800 | organism=Plasmodium_vivax_P01 | gene_product=upregulated in late gametocytes ULG8, putative | transcript_product=upregulated in late gametocytes ULG8, putative | location=PvP01_14_v2:2306166-2309604(-) | protein_length=1098 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452800.1-p1   -           1098 4554at5820           -            495   3.8e-58  195.8  60.6   6   6   0.00027       0.2    8.7   0.0   385   410  1029  1054  1014  1067 0.66 | transcript=PVP01_1452800.1 | gene=PVP01_1452800 | organism=Plasmodium_vivax_P01 | gene_product=upregulated in late gametocytes ULG8, putative | transcript_product=upregulated in late gametocytes ULG8, putative | location=PvP01_14_v2:2306166-2309604(-) | protein_length=1098 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1320100.1-p1   -            378 4554at5820           -            495   7.8e-41  138.7  31.2   1   3   7.6e-27   5.5e-24   83.1  15.4   174   315    32   171    25   173 0.91 | transcript=PVP01_1320100.1 | gene=PVP01_1320100 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_13_v2:912676-916179(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1320100.1-p1   -            378 4554at5820           -            495   7.8e-41  138.7  31.2   2   3   2.9e-08   2.1e-05   21.8   0.4   254   312   172   229   169   237 0.93 | transcript=PVP01_1320100.1 | gene=PVP01_1320100 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_13_v2:912676-916179(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1320100.1-p1   -            378 4554at5820           -            495   7.8e-41  138.7  31.2   3   3     4e-15   2.9e-12   44.5   2.2   194   297   240   343   236   361 0.85 | transcript=PVP01_1320100.1 | gene=PVP01_1320100 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_13_v2:912676-916179(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0820000.1-p1   -            560 4554at5820           -            495   1.6e-38  131.1  46.3   1   3   9.8e-24   7.1e-21   72.9  19.1   172   313   210   356   201   361 0.80 | transcript=PVP01_0820000.1 | gene=PVP01_0820000 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_08_v2:882648-884330(-) | protein_length=560 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0820000.1-p1   -            560 4554at5820           -            495   1.6e-38  131.1  46.3   2   3   7.8e-10   5.7e-07   27.0   2.2   254   311   359   415   356   416 0.96 | transcript=PVP01_0820000.1 | gene=PVP01_0820000 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_08_v2:882648-884330(-) | protein_length=560 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0820000.1-p1   -            560 4554at5820           -            495   1.6e-38  131.1  46.3   3   3     3e-19   2.1e-16   58.1  12.8   173   296   401   522   401   529 0.89 | transcript=PVP01_0820000.1 | gene=PVP01_0820000 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_08_v2:882648-884330(-) | protein_length=560 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1223200.1-p1   -            481 4554at5820           -            495   1.3e-34  118.2  48.1   1   3   1.6e-18   1.1e-15   55.7  17.9   167   296    75   216    25   221 0.82 | transcript=PVP01_1223200.1 | gene=PVP01_1223200 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_12_v2:902793-904238(-) | protein_length=481 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1223200.1-p1   -            481 4554at5820           -            495   1.3e-34  118.2  48.1   2   3   9.9e-22   7.2e-19   66.2  17.8   182   312   223   352   217   357 0.93 | transcript=PVP01_1223200.1 | gene=PVP01_1223200 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_12_v2:902793-904238(-) | protein_length=481 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1223200.1-p1   -            481 4554at5820           -            495   1.3e-34  118.2  48.1   3   3    0.0044       3.2    4.7   0.2   261   301   379   419   362   427 0.80 | transcript=PVP01_1223200.1 | gene=PVP01_1223200 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_12_v2:902793-904238(-) | protein_length=481 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1215900.1-p1   -            565 4554at5820           -            495   1.9e-32  111.0  33.0   1   3     6e-11   4.4e-08   30.7  10.7   171   311   191   350    90   350 0.73 | transcript=PVP01_1215900.1 | gene=PVP01_1215900 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_12_v2:664006-667437(+) | protein_length=565 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1215900.1-p1   -            565 4554at5820           -            495   1.9e-32  111.0  33.0   2   3   8.6e-27   6.3e-24   82.9   7.7   179   312   342   481   339   486 0.87 | transcript=PVP01_1215900.1 | gene=PVP01_1215900 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_12_v2:664006-667437(+) | protein_length=565 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1215900.1-p1   -            565 4554at5820           -            495   1.9e-32  111.0  33.0   3   3   3.1e-05     0.022   11.8   1.1   254   302   486   535   481   549 0.81 | transcript=PVP01_1215900.1 | gene=PVP01_1215900 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_12_v2:664006-667437(+) | protein_length=565 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1119500.1-p1   -            282 4554at5820           -            495   9.1e-16   56.0   4.9   1   1   1.5e-18   1.1e-15   55.7   4.9   137   293    93   246    33   261 0.74 | transcript=PVP01_1119500.1 | gene=PVP01_1119500 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_11_v2:825513-827766(+) | protein_length=282 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1003000.1-p1   -            250 4554at5820           -            495   4.1e-09   34.1  13.4   1   1   1.6e-11   1.2e-08   32.6  13.4   172   297    91   223    85   238 0.80 | transcript=PVP01_1003000.1 | gene=PVP01_1003000 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_10_v2:163742-165868(-) | protein_length=250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1125200.1-p1   -            185 4554at5820           -            495   7.9e-08   29.8   2.3   1   1   1.3e-10   9.2e-08   29.6   2.3   171   294    93   153    26   180 0.52 | transcript=PVP01_1125200.1 | gene=PVP01_1125200 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_11_v2:1101312-1103077(-) | protein_length=185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4554at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
