#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1300900.1-p1   -            296 9902at5820           -            263  6.2e-151  499.8  22.9   1   1  5.4e-153    7e-151  499.7  22.9     1   263     1   277     1   277 0.97 | transcript=PVP01_1300900.1 | gene=PVP01_1300900 | organism=Plasmodium_vivax_P01 | gene_product=NIMA related kinase 3, putative | transcript_product=NIMA related kinase 3, putative | location=PvP01_13_v2:41061-41951(-) | protein_length=296 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0314900.1-p1   -            310 9902at5820           -            263   6.4e-32  109.7   2.3   1   1   6.8e-34   8.8e-32  109.2   2.3    22   248     4   242     2   254 0.85 | transcript=PVP01_0314900.1 | gene=PVP01_0314900 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine-protein kinase NEK4, putative | transcript_product=serine/threonine-protein kinase NEK4, putative | location=PvP01_03_v2:667448-669370(+) | protein_length=310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1007900.1-p1   -            288 9902at5820           -            263   5.1e-26   90.3   0.5   1   1     5e-28   6.6e-26   90.0   0.5    35   254    26   257    12   267 0.87 | transcript=PVP01_1007900.1 | gene=PVP01_1007900 | organism=Plasmodium_vivax_P01 | gene_product=NIMA related kinase 2, putative | transcript_product=NIMA related kinase 2, putative | location=PvP01_10_v2:352291-354430(-) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0922500.1-p1   -            561 9902at5820           -            263   7.7e-17   60.3  22.7   1   3   9.5e-15   1.2e-12   46.5   7.9    21   174    34   190    17   199 0.82 | transcript=PVP01_0922500.1 | gene=PVP01_0922500 | organism=Plasmodium_vivax_P01 | gene_product=3-phosphoinositide-dependent protein kinase 1, putative | transcript_product=3-phosphoinositide-dependent protein kinase 1, putative | location=PvP01_09_v2:982022-983707(-) | protein_length=561 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0922500.1-p1   -            561 9902at5820           -            263   7.7e-17   60.3  22.7   2   3     1e-07   1.3e-05   23.4   0.2   164   255   336   429   270   433 0.74 | transcript=PVP01_0922500.1 | gene=PVP01_0922500 | organism=Plasmodium_vivax_P01 | gene_product=3-phosphoinositide-dependent protein kinase 1, putative | transcript_product=3-phosphoinositide-dependent protein kinase 1, putative | location=PvP01_09_v2:982022-983707(-) | protein_length=561 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0922500.1-p1   -            561 9902at5820           -            263   7.7e-17   60.3  22.7   3   3         3     4e+02   -1.1   2.0    47   117   459   532   447   541 0.74 | transcript=PVP01_0922500.1 | gene=PVP01_0922500 | organism=Plasmodium_vivax_P01 | gene_product=3-phosphoinositide-dependent protein kinase 1, putative | transcript_product=3-phosphoinositide-dependent protein kinase 1, putative | location=PvP01_09_v2:982022-983707(-) | protein_length=561 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0407500.1-p1   -            526 9902at5820           -            263     2e-16   58.9   7.7   1   2   1.5e-18     2e-16   58.9   7.7    57   223   107   286    79   321 0.79 | transcript=PVP01_0407500.1 | gene=PVP01_0407500 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 1, putative | transcript_product=calcium-dependent protein kinase 1, putative | location=PvP01_04_v2:307075-309539(-) | protein_length=526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0407500.1-p1   -            526 9902at5820           -            263     2e-16   58.9   7.7   2   2       0.5        65    1.5   0.2    59    90   404   436   399   484 0.77 | transcript=PVP01_0407500.1 | gene=PVP01_0407500 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 1, putative | transcript_product=calcium-dependent protein kinase 1, putative | location=PvP01_04_v2:307075-309539(-) | protein_length=526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1216900.1-p1   -            563 9902at5820           -            263   2.4e-16   58.7   5.8   1   1   3.8e-18   4.9e-16   57.6   5.8    59   257   158   366   129   372 0.82 | transcript=PVP01_1216900.1 | gene=PVP01_1216900 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 5, putative | transcript_product=calcium-dependent protein kinase 5, putative | location=PvP01_12_v2:704678-706369(+) | protein_length=563 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1446500.1-p1   -           1026 9902at5820           -            263     6e-16   57.3   2.5   1   1     7e-16   9.2e-14   50.2   2.5    34   254    28   286    14   294 0.71 | transcript=PVP01_1446500.1 | gene=PVP01_1446500 | organism=Plasmodium_vivax_P01 | gene_product=NIMA related kinase 1, putative | transcript_product=NIMA related kinase 1, putative | location=PvP01_14_v2:2007901-2011200(+) | protein_length=1026 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0923700.1-p1   -           1979 9902at5820           -            263   1.4e-15   56.1   4.6   1   1   2.6e-17   3.3e-15   54.9   4.6    45   256  1550  1771  1515  1776 0.81 | transcript=PVP01_0923700.1 | gene=PVP01_0923700 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 7, putative | transcript_product=calcium-dependent protein kinase 7, putative | location=PvP01_09_v2:1058515-1064613(+) | protein_length=1979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
