#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1267000.1-p1   -           2003 1110at5820           -            876         0 1273.5 160.8   1  10   6.5e-21   4.2e-17   60.1   1.3     1    39     1    39     1    45 0.95 | transcript=PVP01_1267000.1 | gene=PVP01_1267000 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:2788536-2795166(+) | protein_length=2003 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1267000.1-p1   -           2003 1110at5820           -            876         0 1273.5 160.8   2  10    0.0007       4.6    3.8   0.0    47    66   229   248   224   263 0.80 | transcript=PVP01_1267000.1 | gene=PVP01_1267000 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:2788536-2795166(+) | protein_length=2003 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1267000.1-p1   -           2003 1110at5820           -            876         0 1273.5 160.8   3  10   6.1e-41   3.9e-37  126.4   2.0    64   142   273   355   268   359 0.92 | transcript=PVP01_1267000.1 | gene=PVP01_1267000 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:2788536-2795166(+) | protein_length=2003 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1267000.1-p1   -           2003 1110at5820           -            876         0 1273.5 160.8   4  10   1.3e-06    0.0084   12.8   0.4   136   183   441   490   424   497 0.73 | transcript=PVP01_1267000.1 | gene=PVP01_1267000 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:2788536-2795166(+) | protein_length=2003 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1267000.1-p1   -           2003 1110at5820           -            876         0 1273.5 160.8   5  10   6.3e-12   4.1e-08   30.4   3.6   167   204   498   535   493   550 0.88 | transcript=PVP01_1267000.1 | gene=PVP01_1267000 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:2788536-2795166(+) | protein_length=2003 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1267000.1-p1   -           2003 1110at5820           -            876         0 1273.5 160.8   6  10   1.4e-09   9.1e-06   22.6   0.0   194   233   900   941   863   972 0.88 | transcript=PVP01_1267000.1 | gene=PVP01_1267000 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:2788536-2795166(+) | protein_length=2003 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1267000.1-p1   -           2003 1110at5820           -            876         0 1273.5 160.8   7  10   1.2e-11   8.1e-08   29.4   0.1   227   270  1011  1054   997  1071 0.80 | transcript=PVP01_1267000.1 | gene=PVP01_1267000 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:2788536-2795166(+) | protein_length=2003 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1267000.1-p1   -           2003 1110at5820           -            876         0 1273.5 160.8   8  10  8.3e-119  5.4e-115  384.0  55.3   270   517  1177  1424  1172  1430 0.98 | transcript=PVP01_1267000.1 | gene=PVP01_1267000 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:2788536-2795166(+) | protein_length=2003 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1267000.1-p1   -           2003 1110at5820           -            876         0 1273.5 160.8   9  10     2e-23   1.3e-19   68.5  10.9   510   583  1459  1547  1452  1553 0.81 | transcript=PVP01_1267000.1 | gene=PVP01_1267000 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:2788536-2795166(+) | protein_length=2003 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1267000.1-p1   -           2003 1110at5820           -            876         0 1273.5 160.8  10  10    2e-173  1.3e-169  564.8  38.2   578   876  1682  2003  1679  2003 0.91 | transcript=PVP01_1267000.1 | gene=PVP01_1267000 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:2788536-2795166(+) | protein_length=2003 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1110at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1110at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1110at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:28:24 2026
# [ok]
