#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0611600.1-p1   -            661 6323at5820           -            422  1.5e-198  658.5   5.7   1   2   4.1e-10   8.4e-08   30.0   0.1     2    65    74   180    73   200 0.68 | transcript=PVP01_0611600.1 | gene=PVP01_0611600 | organism=Plasmodium_vivax_P01 | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=PvP01_06_v2:510785-512770(-) | protein_length=661 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0611600.1-p1   -            661 6323at5820           -            422  1.5e-198  658.5   5.7   2   2  2.3e-192  4.7e-190  630.4   1.5    82   422   265   661   260   661 0.96 | transcript=PVP01_0611600.1 | gene=PVP01_0611600 | organism=Plasmodium_vivax_P01 | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=PvP01_06_v2:510785-512770(-) | protein_length=661 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946700.1-p1   -            660 6323at5820           -            422   7.9e-22   76.2  14.0   1   6   6.1e-08   1.2e-05   22.9   0.0   369   405   116   152    78   159 0.84 | transcript=PVP01_0946700.1 | gene=PVP01_0946700 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=PvP01_09_v2:2037475-2039457(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946700.1-p1   -            660 6323at5820           -            422   7.9e-22   76.2  14.0   2   6   9.5e-10   1.9e-07   28.8   0.2   250   331   121   205   121   215 0.83 | transcript=PVP01_0946700.1 | gene=PVP01_0946700 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=PvP01_09_v2:2037475-2039457(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946700.1-p1   -            660 6323at5820           -            422   7.9e-22   76.2  14.0   3   6   1.5e-05     0.003   15.0   0.9   265   408   340   484   335   489 0.78 | transcript=PVP01_0946700.1 | gene=PVP01_0946700 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=PvP01_09_v2:2037475-2039457(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946700.1-p1   -            660 6323at5820           -            422   7.9e-22   76.2  14.0   4   6   4.1e-06   0.00084   16.8   0.0   367   403   487   523   484   528 0.93 | transcript=PVP01_0946700.1 | gene=PVP01_0946700 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=PvP01_09_v2:2037475-2039457(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946700.1-p1   -            660 6323at5820           -            422   7.9e-22   76.2  14.0   5   6    0.0048      0.98    6.7   0.1   369   404   531   566   525   576 0.82 | transcript=PVP01_0946700.1 | gene=PVP01_0946700 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=PvP01_09_v2:2037475-2039457(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946700.1-p1   -            660 6323at5820           -            422   7.9e-22   76.2  14.0   6   6   0.00047     0.095   10.1   0.1   244   279   624   659   611   660 0.89 | transcript=PVP01_0946700.1 | gene=PVP01_0946700 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=PvP01_09_v2:2037475-2039457(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511500.1-p1   -            324 6323at5820           -            422   1.2e-16   59.2  10.1   1   4   9.6e-07    0.0002   18.9   0.4   247   318    33   108    27   108 0.87 | transcript=PVP01_0511500.1 | gene=PVP01_0511500 | organism=Plasmodium_vivax_P01 | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=PvP01_05_v2:497899-498873(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511500.1-p1   -            324 6323at5820           -            422   1.2e-16   59.2  10.1   2   4   1.3e-07   2.6e-05   21.8   0.6   194   242   106   155   100   170 0.90 | transcript=PVP01_0511500.1 | gene=PVP01_0511500 | organism=Plasmodium_vivax_P01 | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=PvP01_05_v2:497899-498873(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511500.1-p1   -            324 6323at5820           -            422   1.2e-16   59.2  10.1   3   4   1.3e-05    0.0027   15.2   0.1   223   282   177   235   167   241 0.83 | transcript=PVP01_0511500.1 | gene=PVP01_0511500 | organism=Plasmodium_vivax_P01 | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=PvP01_05_v2:497899-498873(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511500.1-p1   -            324 6323at5820           -            422   1.2e-16   59.2  10.1   4   4    0.0002     0.041   11.3   0.0   257   316   260   321   252   324 0.72 | transcript=PVP01_0511500.1 | gene=PVP01_0511500 | organism=Plasmodium_vivax_P01 | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=PvP01_05_v2:497899-498873(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142200.1-p1   -           1399 6323at5820           -            422   7.1e-14   50.0   5.2   1   4   1.4e-07   2.8e-05   21.7   0.2   166   279     7   121     3   125 0.88 | transcript=PVP01_1142200.1 | gene=PVP01_1142200 | organism=Plasmodium_vivax_P01 | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=PvP01_11_v2:1787120-1791935(-) | protein_length=1399 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142200.1-p1   -           1399 6323at5820           -            422   7.1e-14   50.0   5.2   2   4   6.3e-07   0.00013   19.5   0.6   308   404    69   164    66   179 0.75 | transcript=PVP01_1142200.1 | gene=PVP01_1142200 | organism=Plasmodium_vivax_P01 | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=PvP01_11_v2:1787120-1791935(-) | protein_length=1399 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142200.1-p1   -           1399 6323at5820           -            422   7.1e-14   50.0   5.2   3   4   5.1e-06     0.001   16.5   0.0   291   394   250   355   237   373 0.86 | transcript=PVP01_1142200.1 | gene=PVP01_1142200 | organism=Plasmodium_vivax_P01 | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=PvP01_11_v2:1787120-1791935(-) | protein_length=1399 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142200.1-p1   -           1399 6323at5820           -            422   7.1e-14   50.0   5.2   4   4         6   1.2e+03   -3.5   0.1   312   332   608   628   606   654 0.77 | transcript=PVP01_1142200.1 | gene=PVP01_1142200 | organism=Plasmodium_vivax_P01 | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=PvP01_11_v2:1787120-1791935(-) | protein_length=1399 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507600.1-p1   -            322 6323at5820           -            422   5.2e-13   47.2  11.1   1   2   2.1e-11   4.2e-09   34.3   2.2   296   410    28   148    18   163 0.79 | transcript=PVP01_0507600.1 | gene=PVP01_0507600 | organism=Plasmodium_vivax_P01 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=PvP01_05_v2:335035-336445(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507600.1-p1   -            322 6323at5820           -            422   5.2e-13   47.2  11.1   2   2    0.0086       1.7    5.9   0.1   256   280   293   317   270   321 0.82 | transcript=PVP01_0507600.1 | gene=PVP01_0507600 | organism=Plasmodium_vivax_P01 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=PvP01_05_v2:335035-336445(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837800.1-p1   -            595 6323at5820           -            422     1e-12   46.2   0.4   1   3       2.8   5.6e+02   -2.4   7.6   141   173   146   178   120   188 0.67 | transcript=PVP01_0837800.1 | gene=PVP01_0837800 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor PRP46, putative | transcript_product=pre-mRNA-splicing factor PRP46, putative | location=PvP01_08_v2:1604414-1606417(+) | protein_length=595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837800.1-p1   -            595 6323at5820           -            422     1e-12   46.2   0.4   2   3     0.035       7.1    3.9   0.3   250   282   280   312   260   342 0.76 | transcript=PVP01_0837800.1 | gene=PVP01_0837800 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor PRP46, putative | transcript_product=pre-mRNA-splicing factor PRP46, putative | location=PvP01_08_v2:1604414-1606417(+) | protein_length=595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837800.1-p1   -            595 6323at5820           -            422     1e-12   46.2   0.4   3   3   5.1e-15     1e-12   46.2   0.4   188   307   343   469   321   476 0.85 | transcript=PVP01_0837800.1 | gene=PVP01_0837800 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor PRP46, putative | transcript_product=pre-mRNA-splicing factor PRP46, putative | location=PvP01_08_v2:1604414-1606417(+) | protein_length=595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0831600.1-p1   -            498 6323at5820           -            422   8.7e-12   43.1  11.6   1   4     0.018       3.6    4.9   2.2   155   225   121   193    86   237 0.67 | transcript=PVP01_0831600.1 | gene=PVP01_0831600 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=PvP01_08_v2:1360571-1362067(-) | protein_length=498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0831600.1-p1   -            498 6323at5820           -            422   8.7e-12   43.1  11.6   2   4     0.006       1.2    6.4   0.0   364   403   244   283   226   293 0.84 | transcript=PVP01_0831600.1 | gene=PVP01_0831600 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=PvP01_08_v2:1360571-1362067(-) | protein_length=498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0831600.1-p1   -            498 6323at5820           -            422   8.7e-12   43.1  11.6   3   4   1.3e-10   2.7e-08   31.6   0.1   164   282   297   416   285   424 0.83 | transcript=PVP01_0831600.1 | gene=PVP01_0831600 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=PvP01_08_v2:1360571-1362067(-) | protein_length=498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0831600.1-p1   -            498 6323at5820           -            422   8.7e-12   43.1  11.6   4   4     0.026       5.2    4.3   0.0   224   278   444   497   430   498 0.86 | transcript=PVP01_0831600.1 | gene=PVP01_0831600 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=PvP01_08_v2:1360571-1362067(-) | protein_length=498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1458200.1-p1   -            472 6323at5820           -            422   1.1e-10   39.5  16.9   1   4    0.0048      0.97    6.7   0.1   243   283    78   118    70   146 0.85 | transcript=PVP01_1458200.1 | gene=PVP01_1458200 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylation factor subunit 2, putative | transcript_product=polyadenylation factor subunit 2, putative | location=PvP01_14_v2:2537122-2538780(-) | protein_length=472 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1458200.1-p1   -            472 6323at5820           -            422   1.1e-10   39.5  16.9   2   4       1.5     3e+02   -1.5   0.0   333   388   132   185   121   194 0.69 | transcript=PVP01_1458200.1 | gene=PVP01_1458200 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylation factor subunit 2, putative | transcript_product=polyadenylation factor subunit 2, putative | location=PvP01_14_v2:2537122-2538780(-) | protein_length=472 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1458200.1-p1   -            472 6323at5820           -            422   1.1e-10   39.5  16.9   3   4   2.6e-11   5.3e-09   34.0   9.5   194   330   198   351   169   357 0.74 | transcript=PVP01_1458200.1 | gene=PVP01_1458200 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylation factor subunit 2, putative | transcript_product=polyadenylation factor subunit 2, putative | location=PvP01_14_v2:2537122-2538780(-) | protein_length=472 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1458200.1-p1   -            472 6323at5820           -            422   1.1e-10   39.5  16.9   4   4      0.78   1.6e+02   -0.5   0.0   293   325   364   393   358   406 0.56 | transcript=PVP01_1458200.1 | gene=PVP01_1458200 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylation factor subunit 2, putative | transcript_product=polyadenylation factor subunit 2, putative | location=PvP01_14_v2:2537122-2538780(-) | protein_length=472 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0519300.1-p1   -            458 6323at5820           -            422   2.4e-10   38.4   3.5   1   2      0.15        31    1.8   0.0   247   278   202   234   190   243 0.89 | transcript=PVP01_0519300.1 | gene=PVP01_0519300 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein RRB1, putative | transcript_product=ribosome assembly protein RRB1, putative | location=PvP01_05_v2:793390-794766(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0519300.1-p1   -            458 6323at5820           -            422   2.4e-10   38.4   3.5   2   2   8.4e-12   1.7e-09   35.6   3.7   132   280   231   401   212   415 0.75 | transcript=PVP01_0519300.1 | gene=PVP01_0519300 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein RRB1, putative | transcript_product=ribosome assembly protein RRB1, putative | location=PvP01_05_v2:793390-794766(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1015300.1-p1   -           1230 6323at5820           -            422   2.3e-08   31.8  28.6   1   3   1.4e-05    0.0029   15.1   0.0   368   403   897   932   886   940 0.85 | transcript=PVP01_1015300.1 | gene=PVP01_1015300 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 26, putative | transcript_product=WD repeat-containing protein 26, putative | location=PvP01_10_v2:689400-693092(-) | protein_length=1230 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1015300.1-p1   -           1230 6323at5820           -            422   2.3e-08   31.8  28.6   2   3   1.1e-06   0.00022   18.7   6.7   248   358   944  1061   938  1071 0.78 | transcript=PVP01_1015300.1 | gene=PVP01_1015300 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 26, putative | transcript_product=WD repeat-containing protein 26, putative | location=PvP01_10_v2:689400-693092(-) | protein_length=1230 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1015300.1-p1   -           1230 6323at5820           -            422   2.3e-08   31.8  28.6   3   3    0.0011      0.23    8.8   3.5   168   280  1075  1196  1028  1198 0.73 | transcript=PVP01_1015300.1 | gene=PVP01_1015300 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 26, putative | transcript_product=WD repeat-containing protein 26, putative | location=PvP01_10_v2:689400-693092(-) | protein_length=1230 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1023200.1-p1   -            646 6323at5820           -            422   3.2e-08   31.4  21.6   1   2   1.6e-10   3.2e-08   31.4  21.6    19   329   186   530   163   540 0.74 | transcript=PVP01_1023200.1 | gene=PVP01_1023200 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_10_v2:1004218-1007733(-) | protein_length=646 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1023200.1-p1   -            646 6323at5820           -            422   3.2e-08   31.4  21.6   2   2      0.14        29    1.9   0.3   177   199   542   564   537   641 0.80 | transcript=PVP01_1023200.1 | gene=PVP01_1023200 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_10_v2:1004218-1007733(-) | protein_length=646 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1448900.1-p1   -            763 6323at5820           -            422   3.3e-08   31.4  15.9   1   2   1.5e-07     3e-05   21.6   6.2   208   315    10   131     5   170 0.77 | transcript=PVP01_1448900.1 | gene=PVP01_1448900 | organism=Plasmodium_vivax_P01 | gene_product=protein transport protein SEC13, putative | transcript_product=protein transport protein SEC13, putative | location=PvP01_14_v2:2118685-2120976(+) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1448900.1-p1   -            763 6323at5820           -            422   3.3e-08   31.4  15.9   2   2   1.4e-05    0.0028   15.1   2.1   262   344   193   292   189   304 0.70 | transcript=PVP01_1448900.1 | gene=PVP01_1448900 | organism=Plasmodium_vivax_P01 | gene_product=protein transport protein SEC13, putative | transcript_product=protein transport protein SEC13, putative | location=PvP01_14_v2:2118685-2120976(+) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0116900.1-p1   -            365 6323at5820           -            422   3.5e-08   31.3   0.3   1   1   3.9e-09   7.9e-07   26.8   0.3   246   403    12   174     7   183 0.84 | transcript=PVP01_0116900.1 | gene=PVP01_0116900 | organism=Plasmodium_vivax_P01 | gene_product=mitogen-activated protein kinase organizer 1, putative | transcript_product=mitogen-activated protein kinase organizer 1, putative | location=PvP01_01_v2:767750-769801(-) | protein_length=365 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0312600.1-p1   -            327 6323at5820           -            422   4.1e-08   31.0   4.0   1   3   0.00054      0.11    9.9   0.2   209   282     9    82     2    90 0.83 | transcript=PVP01_0312600.1 | gene=PVP01_0312600 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 3 subunit I, putative | transcript_product=eukaryotic translation initiation factor 3 subunit I, putative | location=PvP01_03_v2:546721-548166(-) | protein_length=327 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
