#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1421900.1-p1   -           2808 366at5820            -           2063         0 2861.3  68.0   1   1         0         0 2859.2  68.0     1  2062     1  2803     1  2804 0.85 | transcript=PVP01_1421900.1 | gene=PVP01_1421900 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase domain-containing protein, putative | transcript_product=protein kinase domain-containing protein, putative | location=PvP01_14_v2:944047-953166(-) | protein_length=2808 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1326300.1-p1   -            995 366at5820            -           2063    0.0002   17.1  12.3   1   1   1.9e-06   0.00033   16.4  12.3   450   675   536   763   504   858 0.57 | transcript=PVP01_1326300.1 | gene=PVP01_1326300 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_13_v2:1141831-1144818(-) | protein_length=995 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0731600.1-p1   -            264 366at5820            -           2063     0.012   11.2  24.0   1   1   7.1e-05     0.012   11.2  24.0   493   683    66   185    16   251 0.34 | transcript=PVP01_0731600.1 | gene=PVP01_0731600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:1327085-1327879(-) | protein_length=264 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0612100.1-p1   -           1745 366at5820            -           2063      0.02   10.5   5.0   1   1   0.00014     0.025   10.1   5.0   507   679  1125  1271  1070  1456 0.52 | transcript=PVP01_0612100.1 | gene=PVP01_0612100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:529128-534365(-) | protein_length=1745 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1119500.1-p1   -            282 366at5820            -           2063      0.02   10.5   1.7   1   1   0.00014     0.025   10.2   1.7   658   761    35   151    25   161 0.71 | transcript=PVP01_1119500.1 | gene=PVP01_1119500 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_11_v2:825513-827766(+) | protein_length=282 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0933400.1-p1   -            404 366at5820            -           2063     0.036    9.6  10.1   1   1   0.00022     0.039    9.5  10.1   511   619   273   384    89   400 0.39 | transcript=PVP01_0933400.1 | gene=PVP01_0933400 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor 38A, putative | transcript_product=pre-mRNA-splicing factor 38A, putative | location=PvP01_09_v2:1430882-1432262(-) | protein_length=404 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0208200.1-p1   -            292 366at5820            -           2063     0.068    8.7   4.2   1   1   0.00038     0.067    8.7   4.2   457   650    67   134    37   232 0.54 | transcript=PVP01_0208200.1 | gene=PVP01_0208200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_02_v2:342180-343058(-) | protein_length=292 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0903800.1-p1   -            397 366at5820            -           2063     0.087    8.4  49.9   1   1    0.0006      0.11    8.1  49.9   457   703   113   359    51   389 0.35 | transcript=PVP01_0903800.1 | gene=PVP01_0903800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_09_v2:252207-253580(+) | protein_length=397 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0529000.1-p1   -            278 366at5820            -           2063      0.13    7.8  39.2   1   1   0.00082      0.15    7.6  39.2   561   695   137   273    65   278 0.45 | transcript=PVP01_0529000.1 | gene=PVP01_0529000 | organism=Plasmodium_vivax_P01 | gene_product=ran-specific GTPase-activating protein 1, putative | transcript_product=ran-specific GTPase-activating protein 1, putative | location=PvP01_05_v2:1197705-1198913(+) | protein_length=278 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0308000.1-p1   -            843 366at5820            -           2063      0.13    7.8  11.3   1   1    0.0009      0.16    7.5  11.3   451   607    62   289    37   544 0.48 | transcript=PVP01_0308000.1 | gene=PVP01_0308000 | organism=Plasmodium_vivax_P01 | gene_product=perforin-like protein 1 | transcript_product=perforin-like protein 1 | location=PvP01_03_v2:385950-389878(-) | protein_length=843 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1259800.1-p1   -            532 366at5820            -           2063      0.15    7.6  59.6   1   1    0.0011      0.19    7.3  59.6   436   757   122   488    62   528 0.63 | transcript=PVP01_1259800.1 | gene=PVP01_1259800 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_12_v2:2465154-2466906(-) | protein_length=532 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
