#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0513000.1-p1   -            824 3774at5820           -            638         0 1190.3  34.0   1   5   5.7e-25   4.7e-22   76.6   1.7     1    49     1    49     1    53 0.97 | transcript=PVP01_0513000.1 | gene=PVP01_0513000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DHX36, putative | transcript_product=ATP-dependent RNA helicase DHX36, putative | location=PvP01_05_v2:542431-545227(+) | protein_length=824 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0513000.1-p1   -            824 3774at5820           -            638         0 1190.3  34.0   2   5   3.8e-94   3.1e-91  305.2   1.8    50   206    74   232    66   236 0.97 | transcript=PVP01_0513000.1 | gene=PVP01_0513000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DHX36, putative | transcript_product=ATP-dependent RNA helicase DHX36, putative | location=PvP01_05_v2:542431-545227(+) | protein_length=824 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0513000.1-p1   -            824 3774at5820           -            638         0 1190.3  34.0   3   5   3.6e-19     3e-16   57.4   0.2   207   244   273   310   271   319 0.93 | transcript=PVP01_0513000.1 | gene=PVP01_0513000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DHX36, putative | transcript_product=ATP-dependent RNA helicase DHX36, putative | location=PvP01_05_v2:542431-545227(+) | protein_length=824 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0513000.1-p1   -            824 3774at5820           -            638         0 1190.3  34.0   4   5  8.2e-154  6.7e-151  502.3   1.1   245   482   347   584   331   587 0.99 | transcript=PVP01_0513000.1 | gene=PVP01_0513000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DHX36, putative | transcript_product=ATP-dependent RNA helicase DHX36, putative | location=PvP01_05_v2:542431-545227(+) | protein_length=824 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0513000.1-p1   -            824 3774at5820           -            638         0 1190.3  34.0   5   5   4.7e-83   3.8e-80  268.5   2.4   481   634   637   802   634   809 0.93 | transcript=PVP01_0513000.1 | gene=PVP01_0513000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DHX36, putative | transcript_product=ATP-dependent RNA helicase DHX36, putative | location=PvP01_05_v2:542431-545227(+) | protein_length=824 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0615200.1-p1   -           1224 3774at5820           -            638  7.6e-143  475.7   7.1   1   2   3.6e-64     3e-61  206.1   0.5     3   233   564   799   562   804 0.93 | transcript=PVP01_0615200.1 | gene=PVP01_0615200 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative | location=PvP01_06_v2:640215-644561(-) | protein_length=1224 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0615200.1-p1   -           1224 3774at5820           -            638  7.6e-143  475.7   7.1   2   2   2.2e-84   1.8e-81  272.9   1.2   263   632   809  1181   806  1184 0.93 | transcript=PVP01_0615200.1 | gene=PVP01_0615200 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative | location=PvP01_06_v2:640215-644561(-) | protein_length=1224 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1107700.1-p1   -           1127 3774at5820           -            638  5.1e-135  449.8  17.0   1   2   3.8e-62   3.1e-59  199.4   2.4     3   236   431   674   429   682 0.92 | transcript=PVP01_1107700.1 | gene=PVP01_1107700 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | location=PvP01_11_v2:300411-303794(+) | protein_length=1127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1107700.1-p1   -           1127 3774at5820           -            638  5.1e-135  449.8  17.0   2   2   3.7e-79     3e-76  255.6   6.9   257   631   743  1115   730  1122 0.91 | transcript=PVP01_1107700.1 | gene=PVP01_1107700 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | location=PvP01_11_v2:300411-303794(+) | protein_length=1127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0716000.1-p1   -            840 3774at5820           -            638  1.1e-131  438.8   3.2   1   2     2e-68   1.7e-65  220.2   1.9     2   234   187   421   186   433 0.90 | transcript=PVP01_0716000.1 | gene=PVP01_0716000 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP43, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP43, putative | location=PvP01_07_v2:717935-720457(-) | protein_length=840 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0716000.1-p1   -            840 3774at5820           -            638  1.1e-131  438.8   3.2   2   2   6.1e-68     5e-65  218.6   0.0   263   633   431   814   424   819 0.89 | transcript=PVP01_0716000.1 | gene=PVP01_0716000 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP43, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP43, putative | location=PvP01_07_v2:717935-720457(-) | protein_length=840 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
