#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1316200.1-p1   -            509 7533at5820           -            353  3.1e-190  630.6  42.1   1   3       1.1   9.9e+02   -2.6   0.1     1    13     1    13     1    17 0.88 | transcript=PVP01_1316200.1 | gene=PVP01_1316200 | organism=Plasmodium_vivax_P01 | gene_product=histone-binding protein RBBP7, putative | transcript_product=histone-binding protein RBBP7, putative | location=PvP01_13_v2:766781-768818(-) | protein_length=509 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1316200.1-p1   -            509 7533at5820           -            353  3.1e-190  630.6  42.1   2   3   1.1e-74   1.1e-71  240.7  23.8     5   166    23   223    19   229 0.89 | transcript=PVP01_1316200.1 | gene=PVP01_1316200 | organism=Plasmodium_vivax_P01 | gene_product=histone-binding protein RBBP7, putative | transcript_product=histone-binding protein RBBP7, putative | location=PvP01_13_v2:766781-768818(-) | protein_length=509 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1316200.1-p1   -            509 7533at5820           -            353  3.1e-190  630.6  42.1   3   3  5.4e-121    5e-118  393.1   7.0   165   353   308   509   293   509 0.95 | transcript=PVP01_1316200.1 | gene=PVP01_1316200 | organism=Plasmodium_vivax_P01 | gene_product=histone-binding protein RBBP7, putative | transcript_product=histone-binding protein RBBP7, putative | location=PvP01_13_v2:766781-768818(-) | protein_length=509 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0204400.1-p1   -            447 7533at5820           -            353   1.4e-39  135.1   8.7   1   1   4.9e-42   4.6e-39  133.4   8.7     9   346    42   437    34   447 0.75 | transcript=PVP01_0204400.1 | gene=PVP01_0204400 | organism=Plasmodium_vivax_P01 | gene_product=chromatin assembly factor 1 subunit C, putative | transcript_product=chromatin assembly factor 1 subunit C, putative | location=PvP01_02_v2:208734-210077(+) | protein_length=447 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1225200.1-p1   -            533 7533at5820           -            353   2.2e-21   75.2  12.6   1   2   1.7e-06    0.0016   16.5   0.6    13   132    64   207    54   252 0.67 | transcript=PVP01_1225200.1 | gene=PVP01_1225200 | organism=Plasmodium_vivax_P01 | gene_product=chromatin assembly factor 1 subunit B, putative | transcript_product=chromatin assembly factor 1 subunit B, putative | location=PvP01_12_v2:980220-981821(+) | protein_length=533 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1225200.1-p1   -            533 7533at5820           -            353   2.2e-21   75.2  12.6   2   2     5e-20   4.7e-17   61.0   5.6   115   340   277   529   270   533 0.77 | transcript=PVP01_1225200.1 | gene=PVP01_1225200 | organism=Plasmodium_vivax_P01 | gene_product=chromatin assembly factor 1 subunit B, putative | transcript_product=chromatin assembly factor 1 subunit B, putative | location=PvP01_12_v2:980220-981821(+) | protein_length=533 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1468300.1-p1   -            565 7533at5820           -            353   1.2e-06   26.7   3.1   1   2   5.6e-05     0.052   11.5   0.0   299   338    67   105    56   119 0.82 | transcript=PVP01_1468300.1 | gene=PVP01_1468300 | organism=Plasmodium_vivax_P01 | gene_product=coronin, putative | transcript_product=coronin, putative | location=PvP01_14_v2:2907698-2909797(+) | protein_length=565 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1468300.1-p1   -            565 7533at5820           -            353   1.2e-06   26.7   3.1   2   2   1.6e-05     0.015   13.3   2.4   206   318   125   239   107   263 0.77 | transcript=PVP01_1468300.1 | gene=PVP01_1468300 | organism=Plasmodium_vivax_P01 | gene_product=coronin, putative | transcript_product=coronin, putative | location=PvP01_14_v2:2907698-2909797(+) | protein_length=565 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0519300.1-p1   -            458 7533at5820           -            353   7.4e-05   20.9   2.9   1   3    0.0055       5.1    4.9   0.1    95   132   141   180   133   192 0.77 | transcript=PVP01_0519300.1 | gene=PVP01_0519300 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein RRB1, putative | transcript_product=ribosome assembly protein RRB1, putative | location=PvP01_05_v2:793390-794766(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0519300.1-p1   -            458 7533at5820           -            353   7.4e-05   20.9   2.9   2   3      0.12   1.1e+02    0.6   0.0   249   315   268   335   263   341 0.75 | transcript=PVP01_0519300.1 | gene=PVP01_0519300 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein RRB1, putative | transcript_product=ribosome assembly protein RRB1, putative | location=PvP01_05_v2:793390-794766(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0519300.1-p1   -            458 7533at5820           -            353   7.4e-05   20.9   2.9   3   3   6.1e-06    0.0057   14.7   0.2   210   280   331   401   315   456 0.74 | transcript=PVP01_0519300.1 | gene=PVP01_0519300 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein RRB1, putative | transcript_product=ribosome assembly protein RRB1, putative | location=PvP01_05_v2:793390-794766(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
