#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0819800.1-p1   -           3400 118at5820            -           2222         0 2919.7 116.3   1  13   4.2e-06     0.027    9.7   0.6     1    21     1    21     1    25 0.95 | transcript=PVP01_0819800.1 | gene=PVP01_0819800 | organism=Plasmodium_vivax_P01 | gene_product=oocyst capsule protein Cap380, putative | transcript_product=oocyst capsule protein Cap380, putative | location=PvP01_08_v2:868192-878394(+) | protein_length=3400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0819800.1-p1   -           3400 118at5820            -           2222         0 2919.7 116.3   2  13         0         0 1137.9  24.7    19   720    63   855    60   860 0.92 | transcript=PVP01_0819800.1 | gene=PVP01_0819800 | organism=Plasmodium_vivax_P01 | gene_product=oocyst capsule protein Cap380, putative | transcript_product=oocyst capsule protein Cap380, putative | location=PvP01_08_v2:868192-878394(+) | protein_length=3400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0819800.1-p1   -           3400 118at5820            -           2222         0 2919.7 116.3   3  13    4e-142  2.6e-138  460.9  14.8   731   993   903  1189   887  1192 0.92 | transcript=PVP01_0819800.1 | gene=PVP01_0819800 | organism=Plasmodium_vivax_P01 | gene_product=oocyst capsule protein Cap380, putative | transcript_product=oocyst capsule protein Cap380, putative | location=PvP01_08_v2:868192-878394(+) | protein_length=3400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0819800.1-p1   -           3400 118at5820            -           2222         0 2919.7 116.3   4  13  2.3e-208  1.5e-204  680.5   6.6   987  1427  1206  1724  1200  1729 0.88 | transcript=PVP01_0819800.1 | gene=PVP01_0819800 | organism=Plasmodium_vivax_P01 | gene_product=oocyst capsule protein Cap380, putative | transcript_product=oocyst capsule protein Cap380, putative | location=PvP01_08_v2:868192-878394(+) | protein_length=3400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0819800.1-p1   -           3400 118at5820            -           2222         0 2919.7 116.3   5  13   9.9e-06     0.065    8.5   0.0  1426  1456  1753  1783  1734  1802 0.74 | transcript=PVP01_0819800.1 | gene=PVP01_0819800 | organism=Plasmodium_vivax_P01 | gene_product=oocyst capsule protein Cap380, putative | transcript_product=oocyst capsule protein Cap380, putative | location=PvP01_08_v2:868192-878394(+) | protein_length=3400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0819800.1-p1   -           3400 118at5820            -           2222         0 2919.7 116.3   6  13  2.9e-125  1.9e-121  404.9   7.2  1462  1744  1844  2166  1838  2167 0.90 | transcript=PVP01_0819800.1 | gene=PVP01_0819800 | organism=Plasmodium_vivax_P01 | gene_product=oocyst capsule protein Cap380, putative | transcript_product=oocyst capsule protein Cap380, putative | location=PvP01_08_v2:868192-878394(+) | protein_length=3400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0819800.1-p1   -           3400 118at5820            -           2222         0 2919.7 116.3   7  13     4e-11   2.6e-07   26.4   0.1  1751  1817  2256  2338  2253  2350 0.71 | transcript=PVP01_0819800.1 | gene=PVP01_0819800 | organism=Plasmodium_vivax_P01 | gene_product=oocyst capsule protein Cap380, putative | transcript_product=oocyst capsule protein Cap380, putative | location=PvP01_08_v2:868192-878394(+) | protein_length=3400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0819800.1-p1   -           3400 118at5820            -           2222         0 2919.7 116.3   8  13   3.7e-29   2.4e-25   86.2   0.1  1816  1905  2403  2495  2380  2506 0.82 | transcript=PVP01_0819800.1 | gene=PVP01_0819800 | organism=Plasmodium_vivax_P01 | gene_product=oocyst capsule protein Cap380, putative | transcript_product=oocyst capsule protein Cap380, putative | location=PvP01_08_v2:868192-878394(+) | protein_length=3400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0819800.1-p1   -           3400 118at5820            -           2222         0 2919.7 116.3   9  13    0.0058        38   -0.7   0.1  1926  1951  2592  2621  2575  2631 0.73 | transcript=PVP01_0819800.1 | gene=PVP01_0819800 | organism=Plasmodium_vivax_P01 | gene_product=oocyst capsule protein Cap380, putative | transcript_product=oocyst capsule protein Cap380, putative | location=PvP01_08_v2:868192-878394(+) | protein_length=3400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0819800.1-p1   -           3400 118at5820            -           2222         0 2919.7 116.3  10  13   2.2e-07    0.0015   13.9   0.1  1942  2011  2682  2755  2667  2766 0.71 | transcript=PVP01_0819800.1 | gene=PVP01_0819800 | organism=Plasmodium_vivax_P01 | gene_product=oocyst capsule protein Cap380, putative | transcript_product=oocyst capsule protein Cap380, putative | location=PvP01_08_v2:868192-878394(+) | protein_length=3400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0819800.1-p1   -           3400 118at5820            -           2222         0 2919.7 116.3  11  13   3.5e-13   2.3e-09   33.2   0.2  1997  2066  2797  2876  2783  2891 0.76 | transcript=PVP01_0819800.1 | gene=PVP01_0819800 | organism=Plasmodium_vivax_P01 | gene_product=oocyst capsule protein Cap380, putative | transcript_product=oocyst capsule protein Cap380, putative | location=PvP01_08_v2:868192-878394(+) | protein_length=3400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0819800.1-p1   -           3400 118at5820            -           2222         0 2919.7 116.3  12  13   6.1e-30     4e-26   88.8   0.0  2055  2203  2955  3161  2949  3172 0.80 | transcript=PVP01_0819800.1 | gene=PVP01_0819800 | organism=Plasmodium_vivax_P01 | gene_product=oocyst capsule protein Cap380, putative | transcript_product=oocyst capsule protein Cap380, putative | location=PvP01_08_v2:868192-878394(+) | protein_length=3400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0819800.1-p1   -           3400 118at5820            -           2222         0 2919.7 116.3  13  13   0.00018       1.2    4.3   0.4  2203  2222  3377  3396  3363  3396 0.81 | transcript=PVP01_0819800.1 | gene=PVP01_0819800 | organism=Plasmodium_vivax_P01 | gene_product=oocyst capsule protein Cap380, putative | transcript_product=oocyst capsule protein Cap380, putative | location=PvP01_08_v2:868192-878394(+) | protein_length=3400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/118at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/118at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/118at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:25:02 2026
# [ok]
