#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1301600.1-p1   -           5577 65at5820             -           4303         0 7658.4 811.1   1   8   2.9e-17   6.3e-14   47.8   0.2     1    51     1    60     1    63 0.91 | transcript=PVP01_1301600.1 | gene=PVP01_1301600 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_13_v2:62306-84381(+) | protein_length=5577 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1301600.1-p1   -           5577 65at5820             -           4303         0 7658.4 811.1   2   8   7.3e-41   1.6e-37  126.1  11.6    57   158   283   406   269   410 0.87 | transcript=PVP01_1301600.1 | gene=PVP01_1301600 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_13_v2:62306-84381(+) | protein_length=5577 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1301600.1-p1   -           5577 65at5820             -           4303         0 7658.4 811.1   3   8         0         0 3923.4 394.2   153  2194   453  2613   447  2619 0.97 | transcript=PVP01_1301600.1 | gene=PVP01_1301600 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_13_v2:62306-84381(+) | protein_length=5577 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1301600.1-p1   -           5577 65at5820             -           4303         0 7658.4 811.1   4   8   4.3e-08   9.3e-05   17.4   0.5  2190  2216  2643  2669  2639  2680 0.86 | transcript=PVP01_1301600.1 | gene=PVP01_1301600 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_13_v2:62306-84381(+) | protein_length=5577 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1301600.1-p1   -           5577 65at5820             -           4303         0 7658.4 811.1   5   8         0         0 1081.9  94.9  2213  2860  2716  3411  2709  3432 0.93 | transcript=PVP01_1301600.1 | gene=PVP01_1301600 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_13_v2:62306-84381(+) | protein_length=5577 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1301600.1-p1   -           5577 65at5820             -           4303         0 7658.4 811.1   6   8         0         0 1770.7 193.7  2839  3872  3827  4987  3810  4990 0.92 | transcript=PVP01_1301600.1 | gene=PVP01_1301600 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_13_v2:62306-84381(+) | protein_length=5577 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1301600.1-p1   -           5577 65at5820             -           4303         0 7658.4 811.1   7   8   5.2e-77   1.1e-73  246.1  21.0  3868  4011  5014  5161  5009  5167 0.97 | transcript=PVP01_1301600.1 | gene=PVP01_1301600 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_13_v2:62306-84381(+) | protein_length=5577 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1301600.1-p1   -           5577 65at5820             -           4303         0 7658.4 811.1   8   8  1.4e-148  3.1e-145  483.6  43.7  4008  4303  5260  5577  5254  5577 0.93 | transcript=PVP01_1301600.1 | gene=PVP01_1301600 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_13_v2:62306-84381(+) | protein_length=5577 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0608300.1-p1   -           5267 65at5820             -           4303   4.3e-32  108.1 133.5   1  11         3   6.5e+03  -16.4  34.0   150   377   143   363    63   376 0.66 | transcript=PVP01_0608300.1 | gene=PVP01_0608300 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_06_v2:366178-381981(-) | protein_length=5267 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0608300.1-p1   -           5267 65at5820             -           4303   4.3e-32  108.1 133.5   2  11      0.63   1.4e+03   -6.4   7.2  1468  1572   457   570   444   607 0.68 | transcript=PVP01_0608300.1 | gene=PVP01_0608300 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_06_v2:366178-381981(-) | protein_length=5267 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0608300.1-p1   -           5267 65at5820             -           4303   4.3e-32  108.1 133.5   3  11         2   4.3e+03   -8.1  13.8   596   759   709   873   696   889 0.79 | transcript=PVP01_0608300.1 | gene=PVP01_0608300 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_06_v2:366178-381981(-) | protein_length=5267 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
