#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1248900.1-p1   -            583 7466at5820           -            378  1.5e-169  562.6  56.2   1   6   4.3e-09   1.6e-06   26.1   0.2     3    40     6    46     1    63 0.77 | transcript=PVP01_1248900.1 | gene=PVP01_1248900 | organism=Plasmodium_vivax_P01 | gene_product=vivapain-1, cysteine proteinase precursor | transcript_product=vivapain-1 | location=PvP01_12_v2:1981790-1983541(-) | protein_length=583 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1248900.1-p1   -            583 7466at5820           -            378  1.5e-169  562.6  56.2   2   6   0.00039      0.14    9.8   0.0    46   107    88   155    85   156 0.71 | transcript=PVP01_1248900.1 | gene=PVP01_1248900 | organism=Plasmodium_vivax_P01 | gene_product=vivapain-1, cysteine proteinase precursor | transcript_product=vivapain-1 | location=PvP01_12_v2:1981790-1983541(-) | protein_length=583 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1248900.1-p1   -            583 7466at5820           -            378  1.5e-169  562.6  56.2   3   6     0.001      0.38    8.4   3.4    49    83   138   172   130   181 0.85 | transcript=PVP01_1248900.1 | gene=PVP01_1248900 | organism=Plasmodium_vivax_P01 | gene_product=vivapain-1, cysteine proteinase precursor | transcript_product=vivapain-1 | location=PvP01_12_v2:1981790-1983541(-) | protein_length=583 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1248900.1-p1   -            583 7466at5820           -            378  1.5e-169  562.6  56.2   4   6   1.2e-39   4.4e-37  126.7  19.0    64   180   212   328   186   336 0.84 | transcript=PVP01_1248900.1 | gene=PVP01_1248900 | organism=Plasmodium_vivax_P01 | gene_product=vivapain-1, cysteine proteinase precursor | transcript_product=vivapain-1 | location=PvP01_12_v2:1981790-1983541(-) | protein_length=583 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1248900.1-p1   -            583 7466at5820           -            378  1.5e-169  562.6  56.2   5   6   3.8e-99   1.4e-96  322.5   5.2   166   330   338   508   332   517 0.95 | transcript=PVP01_1248900.1 | gene=PVP01_1248900 | organism=Plasmodium_vivax_P01 | gene_product=vivapain-1, cysteine proteinase precursor | transcript_product=vivapain-1 | location=PvP01_12_v2:1981790-1983541(-) | protein_length=583 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1248900.1-p1   -            583 7466at5820           -            378  1.5e-169  562.6  56.2   6   6   5.3e-30   1.9e-27   94.9   1.3   329   378   534   583   528   583 0.97 | transcript=PVP01_1248900.1 | gene=PVP01_1248900 | organism=Plasmodium_vivax_P01 | gene_product=vivapain-1, cysteine proteinase precursor | transcript_product=vivapain-1 | location=PvP01_12_v2:1981790-1983541(-) | protein_length=583 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0916100.1-p1   -            495 7466at5820           -            378   1.2e-64  217.4  21.3   1   1   1.7e-65   6.1e-63  211.8  19.2    81   376   163   490   146   492 0.83 | transcript=PVP01_0916100.1 | gene=PVP01_0916100 | organism=Plasmodium_vivax_P01 | gene_product=vivapain-3 | transcript_product=vivapain-3 | location=PvP01_09_v2:726694-728181(-) | protein_length=495 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0916200.1-p1   -            487 7466at5820           -            378   9.9e-62  207.8  19.8   1   1   1.6e-63   5.7e-61  205.3  19.8    76   374   152   482   121   486 0.82 | transcript=PVP01_0916200.1 | gene=PVP01_0916200 | organism=Plasmodium_vivax_P01 | gene_product=vivapain-2 | transcript_product=vivapain-2 | location=PvP01_09_v2:730476-731939(-) | protein_length=487 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0916000.1-p1   -            484 7466at5820           -            378   4.6e-61  205.6  22.0   1   1   6.5e-63   2.3e-60  203.3  22.0    83   362   158   468   133   482 0.85 | transcript=PVP01_0916000.1 | gene=PVP01_0916000 | organism=Plasmodium_vivax_P01 | gene_product=vivapain-2 | transcript_product=vivapain-2 | location=PvP01_09_v2:722356-723810(-) | protein_length=484 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1464900.1-p1   -            621 7466at5820           -            378   5.3e-16   57.3   9.0   1   1   3.6e-16   1.3e-13   49.4   9.0   181   359   312   543   302   552 0.68 | transcript=PVP01_1464900.1 | gene=PVP01_1464900 | organism=Plasmodium_vivax_P01 | gene_product=dipeptidyl aminopeptidase 2, putative | transcript_product=dipeptidyl aminopeptidase 2, putative | location=PvP01_14_v2:2775108-2778357(+) | protein_length=621 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0917300.1-p1   -            690 7466at5820           -            378   1.3e-13   49.4  10.2   1   3         3   1.1e+03   -3.0   0.0   294   324    88   118    72   124 0.74 | transcript=PVP01_0917300.1 | gene=PVP01_0917300 | organism=Plasmodium_vivax_P01 | gene_product=dipeptidyl aminopeptidase 1, putative | transcript_product=dipeptidyl aminopeptidase 1, putative | location=PvP01_09_v2:769482-771554(-) | protein_length=690 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
