#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1304500.1-p1   -            930 3859at5820           -            494    1e-247  821.3  73.0   1   4   2.2e-24     2e-21   74.9  10.0     1    61     1    65     1    69 0.90 | transcript=PVP01_1304500.1 | gene=PVP01_1304500 | organism=Plasmodium_vivax_P01 | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=PvP01_13_v2:181447-184239(-) | protein_length=930 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1304500.1-p1   -            930 3859at5820           -            494    1e-247  821.3  73.0   2   4   2.8e-68   2.7e-65  219.6  27.6    59   201   127   290   121   302 0.88 | transcript=PVP01_1304500.1 | gene=PVP01_1304500 | organism=Plasmodium_vivax_P01 | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=PvP01_13_v2:181447-184239(-) | protein_length=930 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1304500.1-p1   -            930 3859at5820           -            494    1e-247  821.3  73.0   3   4   3.9e-44   3.7e-41  140.0   1.5   182   276   397   494   388   502 0.93 | transcript=PVP01_1304500.1 | gene=PVP01_1304500 | organism=Plasmodium_vivax_P01 | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=PvP01_13_v2:181447-184239(-) | protein_length=930 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1304500.1-p1   -            930 3859at5820           -            494    1e-247  821.3  73.0   4   4  2.1e-122    2e-119  398.1  10.5   245   493   679   925   656   926 0.89 | transcript=PVP01_1304500.1 | gene=PVP01_1304500 | organism=Plasmodium_vivax_P01 | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=PvP01_13_v2:181447-184239(-) | protein_length=930 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1240700.1-p1   -            878 3859at5820           -            494   2.8e-14   51.3   0.4   1   4   3.1e-07   0.00029   18.3   0.0   341   435    25   115    11   125 0.81 | transcript=PVP01_1240700.1 | gene=PVP01_1240700 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase containing kelch-like domains, putative | transcript_product=protein phosphatase containing kelch-like domains, putative | location=PvP01_12_v2:1642983-1645747(-) | protein_length=878 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1240700.1-p1   -            878 3859at5820           -            494   2.8e-14   51.3   0.4   2   4   0.00017      0.16    9.2   0.0   390   447   125   182   117   210 0.83 | transcript=PVP01_1240700.1 | gene=PVP01_1240700 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase containing kelch-like domains, putative | transcript_product=protein phosphatase containing kelch-like domains, putative | location=PvP01_12_v2:1642983-1645747(-) | protein_length=878 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1240700.1-p1   -            878 3859at5820           -            494   2.8e-14   51.3   0.4   3   4   1.2e-07   0.00011   19.7   0.0   391   451   240   300   236   326 0.80 | transcript=PVP01_1240700.1 | gene=PVP01_1240700 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase containing kelch-like domains, putative | transcript_product=protein phosphatase containing kelch-like domains, putative | location=PvP01_12_v2:1642983-1645747(-) | protein_length=878 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1240700.1-p1   -            878 3859at5820           -            494   2.8e-14   51.3   0.4   4   4       1.5   1.4e+03   -3.7   0.2   430   477   499   554   487   556 0.60 | transcript=PVP01_1240700.1 | gene=PVP01_1240700 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase containing kelch-like domains, putative | transcript_product=protein phosphatase containing kelch-like domains, putative | location=PvP01_12_v2:1642983-1645747(-) | protein_length=878 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0932400.1-p1   -           2385 3859at5820           -            494   1.5e-13   49.0   0.1   1   3   1.6e-16   1.5e-13   49.0   0.1   339   443  1433  1531  1428  1537 0.87 | transcript=PVP01_0932400.1 | gene=PVP01_0932400 | organism=Plasmodium_vivax_P01 | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=PvP01_09_v2:1383753-1390910(+) | protein_length=2385 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0932400.1-p1   -           2385 3859at5820           -            494   1.5e-13   49.0   0.1   2   3      0.18   1.7e+02   -0.7   0.1   392   434  1632  1676  1627  1684 0.74 | transcript=PVP01_0932400.1 | gene=PVP01_0932400 | organism=Plasmodium_vivax_P01 | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=PvP01_09_v2:1383753-1390910(+) | protein_length=2385 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0932400.1-p1   -           2385 3859at5820           -            494   1.5e-13   49.0   0.1   3   3       1.1     1e+03   -3.3   0.3   312   335  2253  2277  2243  2295 0.64 | transcript=PVP01_0932400.1 | gene=PVP01_0932400 | organism=Plasmodium_vivax_P01 | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=PvP01_09_v2:1383753-1390910(+) | protein_length=2385 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
