#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0513400.1-p1   -           1479 4501at5820           -            749  4.1e-292  969.8 127.1   1   8   4.2e-13   1.4e-09   35.7   1.1     1    39    10    48    10    51 0.95 | transcript=PVP01_0513400.1 | gene=PVP01_0513400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:559543-564120(+) | protein_length=1479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0513400.1-p1   -           1479 4501at5820           -            749  4.1e-292  969.8 127.1   2   8   5.9e-54   1.9e-50  170.8  12.4    28   138    94   204    87   211 0.94 | transcript=PVP01_0513400.1 | gene=PVP01_0513400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:559543-564120(+) | protein_length=1479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0513400.1-p1   -           1479 4501at5820           -            749  4.1e-292  969.8 127.1   3   8   2.1e-34   6.9e-31  106.1   5.1   153   226   390   466   366   475 0.86 | transcript=PVP01_0513400.1 | gene=PVP01_0513400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:559543-564120(+) | protein_length=1479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0513400.1-p1   -           1479 4501at5820           -            749  4.1e-292  969.8 127.1   4   8   3.2e-10   1.1e-06   26.1   0.0   224   275   537   599   533   604 0.84 | transcript=PVP01_0513400.1 | gene=PVP01_0513400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:559543-564120(+) | protein_length=1479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0513400.1-p1   -           1479 4501at5820           -            749  4.1e-292  969.8 127.1   5   8   2.7e-21   8.8e-18   62.8   0.1   269   338   680   760   672   776 0.81 | transcript=PVP01_0513400.1 | gene=PVP01_0513400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:559543-564120(+) | protein_length=1479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0513400.1-p1   -           1479 4501at5820           -            749  4.1e-292  969.8 127.1   6   8   3.5e-85   1.1e-81  274.0  32.3   335   519   785   972   772   979 0.90 | transcript=PVP01_0513400.1 | gene=PVP01_0513400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:559543-564120(+) | protein_length=1479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0513400.1-p1   -           1479 4501at5820           -            749  4.1e-292  969.8 127.1   7   8   2.5e-41   8.3e-38  129.0  17.8   517   626  1095  1220  1090  1227 0.84 | transcript=PVP01_0513400.1 | gene=PVP01_0513400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:559543-564120(+) | protein_length=1479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0513400.1-p1   -           1479 4501at5820           -            749  4.1e-292  969.8 127.1   8   8     2e-61   6.4e-58  195.5  14.6   628   748  1345  1478  1342  1479 0.92 | transcript=PVP01_0513400.1 | gene=PVP01_0513400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:559543-564120(+) | protein_length=1479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0303300.1-p1   -             95 4501at5820           -            749    0.0051   13.9   3.7   1   1   1.7e-06    0.0054   13.9   3.7   388   456     3    73     1    91 0.74 | transcript=PVP01_0303300.1 | gene=PVP01_0303300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_03_v2:170205-170731(-) | protein_length=95 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4501at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4501at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4501at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:01 2026
# [ok]
