#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0947300.1-p1   -            800 4394at5820           -            638         0 1124.3  70.5   1   2  3.2e-300  1.9e-297  986.6  60.4     1   520     1   538     1   568 0.97 | transcript=PVP01_0947300.1 | gene=PVP01_0947300 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-X4, putative | transcript_product=kinesin-X4, putative | location=PvP01_09_v2:2056410-2059954(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0947300.1-p1   -            800 4394at5820           -            638         0 1124.3  70.5   2   2   5.3e-45   3.2e-42  143.5   2.4   526   638   672   791   663   791 0.92 | transcript=PVP01_0947300.1 | gene=PVP01_0947300 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-X4, putative | transcript_product=kinesin-X4, putative | location=PvP01_09_v2:2056410-2059954(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0820800.1-p1   -           1285 4394at5820           -            638   3.9e-31  106.8  32.4   1   2   4.7e-19   2.8e-16   57.7   5.3     4   155   508   651   505   657 0.78 | transcript=PVP01_0820800.1 | gene=PVP01_0820800 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-8X, putative | transcript_product=kinesin-8X, putative | location=PvP01_08_v2:911832-915689(-) | protein_length=1285 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0820800.1-p1   -           1285 4394at5820           -            638   3.9e-31  106.8  32.4   2   2     7e-18   4.2e-15   53.9  19.3   189   452   667   933   656   940 0.67 | transcript=PVP01_0820800.1 | gene=PVP01_0820800 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-8X, putative | transcript_product=kinesin-8X, putative | location=PvP01_08_v2:911832-915689(-) | protein_length=1285 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0204100.1-p1   -           1439 4394at5820           -            638   2.2e-30  104.4  15.0   1   1   3.7e-33   2.2e-30  104.4  15.0    27   377   769  1095   746  1156 0.79 | transcript=PVP01_0204100.1 | gene=PVP01_0204100 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-8B, putative | transcript_product=kinesin-8B, putative | location=PvP01_02_v2:196002-200884(+) | protein_length=1439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0809900.1-p1   -           3269 4394at5820           -            638   1.4e-24   85.2  34.8   1   5   7.2e-21   4.3e-18   63.8  22.7     3   244   162   412   160   420 0.82 | transcript=PVP01_0809900.1 | gene=PVP01_0809900 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-4, putative | transcript_product=kinesin-4, putative | location=PvP01_08_v2:436213-446296(-) | protein_length=3269 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0809900.1-p1   -           3269 4394at5820           -            638   1.4e-24   85.2  34.8   2   5     4e-13   2.4e-10   38.2   4.2   245   371   496   607   491   693 0.80 | transcript=PVP01_0809900.1 | gene=PVP01_0809900 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-4, putative | transcript_product=kinesin-4, putative | location=PvP01_08_v2:436213-446296(-) | protein_length=3269 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0809900.1-p1   -           3269 4394at5820           -            638   1.4e-24   85.2  34.8   3   5       3.1   1.8e+03   -4.4   2.6   460   572  1025  1057   990  1081 0.55 | transcript=PVP01_0809900.1 | gene=PVP01_0809900 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-4, putative | transcript_product=kinesin-4, putative | location=PvP01_08_v2:436213-446296(-) | protein_length=3269 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0809900.1-p1   -           3269 4394at5820           -            638   1.4e-24   85.2  34.8   4   5      0.93   5.5e+02   -2.7   4.1   477   503  1711  1736  1693  1770 0.57 | transcript=PVP01_0809900.1 | gene=PVP01_0809900 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-4, putative | transcript_product=kinesin-4, putative | location=PvP01_08_v2:436213-446296(-) | protein_length=3269 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0809900.1-p1   -           3269 4394at5820           -            638   1.4e-24   85.2  34.8   5   5      0.51     3e+02   -1.8   2.4   460   514  3026  3087  3024  3094 0.71 | transcript=PVP01_0809900.1 | gene=PVP01_0809900 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-4, putative | transcript_product=kinesin-4, putative | location=PvP01_08_v2:436213-446296(-) | protein_length=3269 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1310200.1-p1   -           1681 4394at5820           -            638   1.2e-23   82.1  29.1   1   4     2e-26   1.2e-23   82.1  29.1    49   499    93   552    73   638 0.72 | transcript=PVP01_1310200.1 | gene=PVP01_1310200 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-X3, putative | transcript_product=kinesin-X3, putative | location=PvP01_13_v2:469481-474911(+) | protein_length=1681 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1310200.1-p1   -           1681 4394at5820           -            638   1.2e-23   82.1  29.1   2   4       1.1   6.8e+02   -3.0   3.1   379   433   592   647   572   679 0.66 | transcript=PVP01_1310200.1 | gene=PVP01_1310200 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-X3, putative | transcript_product=kinesin-X3, putative | location=PvP01_13_v2:469481-474911(+) | protein_length=1681 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1310200.1-p1   -           1681 4394at5820           -            638   1.2e-23   82.1  29.1   3   4      0.36   2.1e+02   -1.3   0.5   532   577   853   895   788   934 0.69 | transcript=PVP01_1310200.1 | gene=PVP01_1310200 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-X3, putative | transcript_product=kinesin-X3, putative | location=PvP01_13_v2:469481-474911(+) | protein_length=1681 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1310200.1-p1   -           1681 4394at5820           -            638   1.2e-23   82.1  29.1   4   4       5.1   3.1e+03   -5.1  15.6   462   627  1018  1182   998  1192 0.67 | transcript=PVP01_1310200.1 | gene=PVP01_1310200 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-X3, putative | transcript_product=kinesin-X3, putative | location=PvP01_13_v2:469481-474911(+) | protein_length=1681 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0822600.1-p1   -           1383 4394at5820           -            638   1.8e-20   71.6  54.3   1   3   7.2e-13   4.3e-10   37.3   4.8     4   109    24   123    22   166 0.82 | transcript=PVP01_0822600.1 | gene=PVP01_0822600 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-5, putative | transcript_product=kinesin-5, putative | location=PvP01_08_v2:1003395-1007727(+) | protein_length=1383 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0822600.1-p1   -           1383 4394at5820           -            638   1.8e-20   71.6  54.3   2   3   5.3e-13   3.1e-10   37.8  28.9   193   489   282   565   238   626 0.68 | transcript=PVP01_0822600.1 | gene=PVP01_0822600 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-5, putative | transcript_product=kinesin-5, putative | location=PvP01_08_v2:1003395-1007727(+) | protein_length=1383 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0822600.1-p1   -           1383 4394at5820           -            638   1.8e-20   71.6  54.3   3   3     0.023        14    2.6   4.8   481   568   822   918   812   972 0.59 | transcript=PVP01_0822600.1 | gene=PVP01_0822600 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-5, putative | transcript_product=kinesin-5, putative | location=PvP01_08_v2:1003395-1007727(+) | protein_length=1383 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
