#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1436000.1-p1   -           1121 3505at5820           -            693         0 1198.8 115.2   1   7     7e-57   1.5e-54  184.0  15.3     1   104    39   142    39   159 0.95 | transcript=PVP01_1436000.1 | gene=PVP01_1436000 | organism=Plasmodium_vivax_P01 | gene_product=multiple RNA-binding domain-containing protein 1, putative | transcript_product=multiple RNA-binding domain-containing protein 1, putative | location=PvP01_14_v2:1514796-1518161(+) | protein_length=1121 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1436000.1-p1   -           1121 3505at5820           -            693         0 1198.8 115.2   2   7   7.2e-15   1.6e-12   45.1   6.8    95   156   159   229   151   232 0.69 | transcript=PVP01_1436000.1 | gene=PVP01_1436000 | organism=Plasmodium_vivax_P01 | gene_product=multiple RNA-binding domain-containing protein 1, putative | transcript_product=multiple RNA-binding domain-containing protein 1, putative | location=PvP01_14_v2:1514796-1518161(+) | protein_length=1121 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1436000.1-p1   -           1121 3505at5820           -            693         0 1198.8 115.2   3   7    0.0013      0.29    7.9   1.8   134   154   283   303   279   308 0.88 | transcript=PVP01_1436000.1 | gene=PVP01_1436000 | organism=Plasmodium_vivax_P01 | gene_product=multiple RNA-binding domain-containing protein 1, putative | transcript_product=multiple RNA-binding domain-containing protein 1, putative | location=PvP01_14_v2:1514796-1518161(+) | protein_length=1121 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1436000.1-p1   -           1121 3505at5820           -            693         0 1198.8 115.2   4   7   5.5e-28   1.2e-25   88.5   3.4   142   210   359   437   340   444 0.82 | transcript=PVP01_1436000.1 | gene=PVP01_1436000 | organism=Plasmodium_vivax_P01 | gene_product=multiple RNA-binding domain-containing protein 1, putative | transcript_product=multiple RNA-binding domain-containing protein 1, putative | location=PvP01_14_v2:1514796-1518161(+) | protein_length=1121 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1436000.1-p1   -           1121 3505at5820           -            693         0 1198.8 115.2   5   7   5.3e-88   1.2e-85  286.8  16.4   208   358   494   651   481   654 0.96 | transcript=PVP01_1436000.1 | gene=PVP01_1436000 | organism=Plasmodium_vivax_P01 | gene_product=multiple RNA-binding domain-containing protein 1, putative | transcript_product=multiple RNA-binding domain-containing protein 1, putative | location=PvP01_14_v2:1514796-1518161(+) | protein_length=1121 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1436000.1-p1   -           1121 3505at5820           -            693         0 1198.8 115.2   6   7   1.9e-53   4.1e-51  172.6   0.3   358   449   705   796   701   804 0.95 | transcript=PVP01_1436000.1 | gene=PVP01_1436000 | organism=Plasmodium_vivax_P01 | gene_product=multiple RNA-binding domain-containing protein 1, putative | transcript_product=multiple RNA-binding domain-containing protein 1, putative | location=PvP01_14_v2:1514796-1518161(+) | protein_length=1121 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1436000.1-p1   -           1121 3505at5820           -            693         0 1198.8 115.2   7   7  1.7e-136  3.8e-134  447.1  27.5   443   693   850  1121   843  1121 0.93 | transcript=PVP01_1436000.1 | gene=PVP01_1436000 | organism=Plasmodium_vivax_P01 | gene_product=multiple RNA-binding domain-containing protein 1, putative | transcript_product=multiple RNA-binding domain-containing protein 1, putative | location=PvP01_14_v2:1514796-1518161(+) | protein_length=1121 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1442500.1-p1   -            885 3505at5820           -            693   1.3e-23   81.7   6.5   1   4   9.3e-07    0.0002   18.3   0.0   564   632    16    85    11    92 0.90 | transcript=PVP01_1442500.1 | gene=PVP01_1442500 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=PvP01_14_v2:1852026-1854683(+) | protein_length=885 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1442500.1-p1   -            885 3505at5820           -            693   1.3e-23   81.7   6.5   2   4     6e-08   1.3e-05   22.2   0.1   565   630   105   170    98   185 0.87 | transcript=PVP01_1442500.1 | gene=PVP01_1442500 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=PvP01_14_v2:1852026-1854683(+) | protein_length=885 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1442500.1-p1   -            885 3505at5820           -            693   1.3e-23   81.7   6.5   3   4   6.5e-07   0.00014   18.8   0.2   565   625   194   252   177   260 0.86 | transcript=PVP01_1442500.1 | gene=PVP01_1442500 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=PvP01_14_v2:1852026-1854683(+) | protein_length=885 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1442500.1-p1   -            885 3505at5820           -            693   1.3e-23   81.7   6.5   4   4   4.2e-08   9.1e-06   22.8   0.1   557   640   442   525   417   529 0.85 | transcript=PVP01_1442500.1 | gene=PVP01_1442500 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=PvP01_14_v2:1852026-1854683(+) | protein_length=885 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
