#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1252000.1-p1   -            411 6594at5820           -            351  1.1e-205  681.0  14.8   1   1  1.9e-208  1.6e-205  680.5  14.8     1   351     5   404     5   404 0.95 | transcript=PVP01_1252000.1 | gene=PVP01_1252000 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase 2C, putative | transcript_product=protein phosphatase 2C, putative | location=PvP01_12_v2:2131654-2134620(+) | protein_length=411 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0309600.1-p1   -            953 6594at5820           -            351   3.3e-20   70.9   1.1   1   1   9.1e-23   7.4e-20   69.8   1.1    83   257   738   917   698   924 0.72 | transcript=PVP01_0309600.1 | gene=PVP01_0309600 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM1, putative | transcript_product=protein phosphatase PPM1, putative | location=PvP01_03_v2:441263-444314(-) | protein_length=953 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0939500.1-p1   -            872 6594at5820           -            351   8.6e-20   69.6   0.5   1   2      0.54   4.4e+02   -1.8   0.1   250   281    72   103    29   148 0.62 | transcript=PVP01_0939500.1 | gene=PVP01_0939500 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM2, putative | transcript_product=protein phosphatase PPM2, putative | location=PvP01_09_v2:1702099-1704717(+) | protein_length=872 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0939500.1-p1   -            872 6594at5820           -            351   8.6e-20   69.6   0.5   2   2   2.9e-22   2.4e-19   68.1   0.0    94   220   521   650   486   670 0.85 | transcript=PVP01_0939500.1 | gene=PVP01_0939500 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM2, putative | transcript_product=protein phosphatase PPM2, putative | location=PvP01_09_v2:1702099-1704717(+) | protein_length=872 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1013800.1-p1   -            701 6594at5820           -            351   4.3e-19   67.3   4.3   1   4      0.16   1.3e+02   -0.1   0.0    20    42   178   200   169   254 0.71 | transcript=PVP01_1013800.1 | gene=PVP01_1013800 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase 2C, putative | transcript_product=protein phosphatase 2C, putative | location=PvP01_10_v2:613681-616601(-) | protein_length=701 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1013800.1-p1   -            701 6594at5820           -            351   4.3e-19   67.3   4.3   2   4   5.3e-13   4.3e-10   37.7   0.1    74   156   451   534   439   543 0.83 | transcript=PVP01_1013800.1 | gene=PVP01_1013800 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase 2C, putative | transcript_product=protein phosphatase 2C, putative | location=PvP01_10_v2:613681-616601(-) | protein_length=701 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1013800.1-p1   -            701 6594at5820           -            351   4.3e-19   67.3   4.3   3   4      0.02        16    2.9   0.0   164   190   568   592   564   598 0.86 | transcript=PVP01_1013800.1 | gene=PVP01_1013800 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase 2C, putative | transcript_product=protein phosphatase 2C, putative | location=PvP01_10_v2:613681-616601(-) | protein_length=701 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1013800.1-p1   -            701 6594at5820           -            351   4.3e-19   67.3   4.3   4   4   5.4e-09   4.4e-06   24.5   0.2   199   254   645   701   631   701 0.83 | transcript=PVP01_1013800.1 | gene=PVP01_1013800 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase 2C, putative | transcript_product=protein phosphatase 2C, putative | location=PvP01_10_v2:613681-616601(-) | protein_length=701 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1429800.1-p1   -            303 6594at5820           -            351   5.6e-18   63.6  10.0   1   1   9.2e-20   7.5e-17   59.9  10.0    47   254    62   301     8   303 0.62 | transcript=PVP01_1429800.1 | gene=PVP01_1429800 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM7, putative | transcript_product=protein phosphatase PPM7, putative | location=PvP01_14_v2:1284812-1287310(+) | protein_length=303 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1466400.1-p1   -           1105 6594at5820           -            351   3.7e-13   47.8   1.0   1   1   3.9e-15   3.1e-12   44.7   1.1    70   254   854  1070   837  1078 0.74 | transcript=PVP01_1466400.1 | gene=PVP01_1466400 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM4, putative | transcript_product=protein phosphatase PPM4, putative | location=PvP01_14_v2:2826812-2830377(+) | protein_length=1105 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1430000.1-p1   -            559 6594at5820           -            351   1.6e-10   39.1   0.6   1   1   3.7e-13     3e-10   38.2   0.6    93   236   363   525   346   555 0.68 | transcript=PVP01_1430000.1 | gene=PVP01_1430000 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM5, putative | transcript_product=protein phosphatase PPM5, putative | location=PvP01_14_v2:1294483-1297856(+) | protein_length=559 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0935900.1-p1   -            852 6594at5820           -            351   1.5e-05   22.7   0.8   1   2   1.2e-06     0.001   16.8   0.1    74   149   589   670   571   675 0.76 | transcript=PVP01_0935900.1 | gene=PVP01_0935900 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM8, putative | transcript_product=protein phosphatase PPM8, putative | location=PvP01_09_v2:1541539-1544097(-) | protein_length=852 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0935900.1-p1   -            852 6594at5820           -            351   1.5e-05   22.7   0.8   2   2    0.0077       6.3    4.3   0.0   177   232   749   811   685   824 0.73 | transcript=PVP01_0935900.1 | gene=PVP01_0935900 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM8, putative | transcript_product=protein phosphatase PPM8, putative | location=PvP01_09_v2:1541539-1544097(-) | protein_length=852 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6594at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6594at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6594at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:43:38 2026
# [ok]
