#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0729700.1-p1   -            845 3532at5820           -            596  7.2e-276  915.2  75.0   1   4   3.9e-14   3.1e-11   41.3   5.2     1    38     1    39     1    42 0.93 | transcript=PVP01_0729700.1 | gene=PVP01_0729700 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=PvP01_07_v2:1265963-1268500(-) | protein_length=845 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0729700.1-p1   -            845 3532at5820           -            596  7.2e-276  915.2  75.0   2   4   4.9e-58     4e-55  186.2   0.7    30   130   113   213    96   218 0.94 | transcript=PVP01_0729700.1 | gene=PVP01_0729700 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=PvP01_07_v2:1265963-1268500(-) | protein_length=845 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0729700.1-p1   -            845 3532at5820           -            596  7.2e-276  915.2  75.0   3   4  2.3e-132  1.9e-129  431.7  28.0   128   413   243   576   235   581 0.91 | transcript=PVP01_0729700.1 | gene=PVP01_0729700 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=PvP01_07_v2:1265963-1268500(-) | protein_length=845 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0729700.1-p1   -            845 3532at5820           -            596  7.2e-276  915.2  75.0   4   4   4.9e-81     4e-78  262.2  18.6   403   596   605   842   596   842 0.85 | transcript=PVP01_0729700.1 | gene=PVP01_0729700 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=PvP01_07_v2:1265963-1268500(-) | protein_length=845 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0924000.1-p1   -            547 3532at5820           -            596   4.5e-21   73.8   1.2   1   3   3.2e-16   2.6e-13   48.1   0.5    38   107   100   177    71   185 0.72 | transcript=PVP01_0924000.1 | gene=PVP01_0924000 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic peptide chain release factor GTP-binding subunit, putative | transcript_product=eukaryotic peptide chain release factor GTP-binding subunit, putative | location=PvP01_09_v2:1074814-1076720(+) | protein_length=547 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0924000.1-p1   -            547 3532at5820           -            596   4.5e-21   73.8   1.2   2   3     9e-09   7.4e-06   23.5   0.0   152   241   189   284   182   308 0.82 | transcript=PVP01_0924000.1 | gene=PVP01_0924000 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic peptide chain release factor GTP-binding subunit, putative | transcript_product=eukaryotic peptide chain release factor GTP-binding subunit, putative | location=PvP01_09_v2:1074814-1076720(+) | protein_length=547 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0924000.1-p1   -            547 3532at5820           -            596   4.5e-21   73.8   1.2   3   3       1.1   8.6e+02   -3.1   0.1   151   504   443   488   405   501 0.45 | transcript=PVP01_0924000.1 | gene=PVP01_0924000 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic peptide chain release factor GTP-binding subunit, putative | transcript_product=eukaryotic peptide chain release factor GTP-binding subunit, putative | location=PvP01_09_v2:1074814-1076720(+) | protein_length=547 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1114800.1-p1   -            443 3532at5820           -            596   6.2e-21   73.3   0.1   1   2   1.9e-13   1.6e-10   39.0   0.0    46   107     7    73     4    81 0.89 | transcript=PVP01_1114800.1 | gene=PVP01_1114800 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor 1-alpha, putative | transcript_product=elongation factor 1-alpha, putative | location=PvP01_11_v2:631642-632973(-) | protein_length=443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1114800.1-p1   -            443 3532at5820           -            596   6.2e-21   73.3   0.1   2   2     2e-11   1.6e-08   32.3   0.0   156   240    89   177    84   195 0.84 | transcript=PVP01_1114800.1 | gene=PVP01_1114800 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor 1-alpha, putative | transcript_product=elongation factor 1-alpha, putative | location=PvP01_11_v2:631642-632973(-) | protein_length=443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1114900.1-p1   -            443 3532at5820           -            596   6.2e-21   73.3   0.1   1   2   1.9e-13   1.6e-10   39.0   0.0    46   107     7    73     4    81 0.89 | transcript=PVP01_1114900.1 | gene=PVP01_1114900 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor 1-alpha, putative | transcript_product=elongation factor 1-alpha, putative | location=PvP01_11_v2:634386-635717(+) | protein_length=443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1114900.1-p1   -            443 3532at5820           -            596   6.2e-21   73.3   0.1   2   2     2e-11   1.6e-08   32.3   0.0   156   240    89   177    84   195 0.84 | transcript=PVP01_1114900.1 | gene=PVP01_1114900 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor 1-alpha, putative | transcript_product=elongation factor 1-alpha, putative | location=PvP01_11_v2:634386-635717(+) | protein_length=443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
