#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0701600.1-p1   -            206 11314at5820          -            167  5.1e-119  392.7   3.7   1   1  1.6e-121    6e-119  392.4   3.7     1   167    17   183    17   183 1.00 | transcript=PVP01_0701600.1 | gene=PVP01_0701600 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein RAB7, putative | transcript_product=ras-related protein RAB7, putative | location=PvP01_07_v2:90611-93019(-) | protein_length=206 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1021300.1-p1   -            200 11314at5820          -            167   7.1e-32  109.2   3.3   1   1   2.4e-34   8.8e-32  108.8   3.3     1   165    17   176    17   179 0.90 | transcript=PVP01_1021300.1 | gene=PVP01_1021300 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-1B, putative | transcript_product=ras-related protein Rab-1B, putative | location=PvP01_10_v2:912112-913699(-) | protein_length=200 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1449300.1-p1   -            213 11314at5820          -            167   8.6e-32  108.9   0.0   1   1   3.2e-34   1.1e-31  108.5   0.0     2   159    17   168    16   174 0.93 | transcript=PVP01_1449300.1 | gene=PVP01_1449300 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-2, putative | transcript_product=ras-related protein Rab-2, putative | location=PvP01_14_v2:2135325-2136787(+) | protein_length=213 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1020100.1-p1   -            207 11314at5820          -            167   1.2e-28   98.7   0.8   1   1   3.9e-31   1.4e-28   98.4   0.8     1   164    21   179    21   182 0.93 | transcript=PVP01_1020100.1 | gene=PVP01_1020100 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-1A, putative | transcript_product=ras-related protein Rab-1A, putative | location=PvP01_10_v2:874174-874797(+) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0113100.1-p1   -            201 11314at5820          -            167   1.2e-28   98.6   3.6   1   1   4.5e-31   1.6e-28   98.2   3.6     1   159    19   172    19   177 0.89 | transcript=PVP01_0113100.1 | gene=PVP01_0113100 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-18, putative | transcript_product=ras-related protein Rab-18, putative | location=PvP01_01_v2:591114-592334(-) | protein_length=201 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1421400.1-p1   -            216 11314at5820          -            167   2.2e-28   97.8   1.7   1   1   8.7e-31   3.1e-28   97.3   1.7     1   157    20   172    20   186 0.90 | transcript=PVP01_1421400.1 | gene=PVP01_1421400 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-11A, putative | transcript_product=ras-related protein Rab-11A, putative | location=PvP01_14_v2:927784-929333(+) | protein_length=216 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0945600.1-p1   -            207 11314at5820          -            167   2.6e-28   97.6   0.4   1   1   9.4e-31   3.4e-28   97.2   0.4     2   158    21   172    20   181 0.93 | transcript=PVP01_0945600.1 | gene=PVP01_0945600 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-6, putative | transcript_product=ras-related protein Rab-6, putative | location=PvP01_09_v2:1987820-1989251(-) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0208000.1-p1   -            194 11314at5820          -            167   4.1e-27   93.7   0.4   1   1   1.5e-29   5.4e-27   93.3   0.4     2   158    17   168    16   177 0.87 | transcript=PVP01_0208000.1 | gene=PVP01_0208000 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-5C, putative | transcript_product=ras-related protein Rab-5C, putative | location=PvP01_02_v2:333879-335555(-) | protein_length=194 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1214100.1-p1   -            229 11314at5820          -            167     3e-24   84.3   0.1   1   1   1.2e-26   4.2e-24   83.9   0.1     2   158    19   175    18   185 0.85 | transcript=PVP01_1214100.1 | gene=PVP01_1214100 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-11B, putative | transcript_product=ras-related protein Rab-11B, putative | location=PvP01_12_v2:601290-602627(+) | protein_length=229 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1411600.1-p1   -            205 11314at5820          -            167     1e-23   82.6   0.1   1   1   3.8e-26   1.4e-23   82.2   0.1     1   157    41   191    41   198 0.90 | transcript=PVP01_1411600.1 | gene=PVP01_1411600 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-5B, putative | transcript_product=ras-related protein Rab-5B, putative | location=PvP01_14_v2:524820-526310(-) | protein_length=205 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0413800.1-p1   -            245 11314at5820          -            167   2.5e-20   71.6   7.3   1   2    0.0031       1.1    7.7   0.2     1    44    15    56    15    68 0.86 | transcript=PVP01_0413800.1 | gene=PVP01_0413800 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-5A, putative | transcript_product=ras-related protein Rab-5A, putative | location=PvP01_04_v2:557635-558372(+) | protein_length=245 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
