#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0212100.1-p1   -           4440 108at5820            -           2628         0 3173.5 257.0   1  18  1.3e-108  8.7e-105  349.7   4.0     1   273     2   301     2   307 0.91 | transcript=PVP01_0212100.1 | gene=PVP01_0212100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium membrane protein, unknown function | transcript_product=conserved Plasmodium membrane protein, unknown function | location=PvP01_02_v2:495848-510075(-) | protein_length=4440 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0212100.1-p1   -           4440 108at5820            -           2628         0 3173.5 257.0   2  18  1.7e-141  1.1e-137  458.9  12.0   274   630   336   764   329   770 0.86 | transcript=PVP01_0212100.1 | gene=PVP01_0212100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium membrane protein, unknown function | transcript_product=conserved Plasmodium membrane protein, unknown function | location=PvP01_02_v2:495848-510075(-) | protein_length=4440 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0212100.1-p1   -           4440 108at5820            -           2628         0 3173.5 257.0   3  18   7.5e-20   4.9e-16   55.3   1.1   655   709   940  1000   918  1004 0.81 | transcript=PVP01_0212100.1 | gene=PVP01_0212100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium membrane protein, unknown function | transcript_product=conserved Plasmodium membrane protein, unknown function | location=PvP01_02_v2:495848-510075(-) | protein_length=4440 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0212100.1-p1   -           4440 108at5820            -           2628         0 3173.5 257.0   4  18   4.9e-42   3.2e-38  128.9  26.2   704   800  1021  1142  1011  1144 0.79 | transcript=PVP01_0212100.1 | gene=PVP01_0212100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium membrane protein, unknown function | transcript_product=conserved Plasmodium membrane protein, unknown function | location=PvP01_02_v2:495848-510075(-) | protein_length=4440 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0212100.1-p1   -           4440 108at5820            -           2628         0 3173.5 257.0   5  18   2.4e-34   1.6e-30  103.4   0.2   800   870  1214  1284  1210  1288 0.97 | transcript=PVP01_0212100.1 | gene=PVP01_0212100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium membrane protein, unknown function | transcript_product=conserved Plasmodium membrane protein, unknown function | location=PvP01_02_v2:495848-510075(-) | protein_length=4440 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0212100.1-p1   -           4440 108at5820            -           2628         0 3173.5 257.0   6  18   7.5e-73   4.9e-69  231.1   6.9   871  1019  1338  1494  1333  1501 0.96 | transcript=PVP01_0212100.1 | gene=PVP01_0212100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium membrane protein, unknown function | transcript_product=conserved Plasmodium membrane protein, unknown function | location=PvP01_02_v2:495848-510075(-) | protein_length=4440 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0212100.1-p1   -           4440 108at5820            -           2628         0 3173.5 257.0   7  18   1.3e-43   8.4e-40  134.2   0.0  1017  1116  1540  1657  1535  1660 0.90 | transcript=PVP01_0212100.1 | gene=PVP01_0212100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium membrane protein, unknown function | transcript_product=conserved Plasmodium membrane protein, unknown function | location=PvP01_02_v2:495848-510075(-) | protein_length=4440 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0212100.1-p1   -           4440 108at5820            -           2628         0 3173.5 257.0   8  18   2.1e-71   1.4e-67  226.3  18.1  1116  1293  1692  1906  1687  1914 0.87 | transcript=PVP01_0212100.1 | gene=PVP01_0212100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium membrane protein, unknown function | transcript_product=conserved Plasmodium membrane protein, unknown function | location=PvP01_02_v2:495848-510075(-) | protein_length=4440 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0212100.1-p1   -           4440 108at5820            -           2628         0 3173.5 257.0   9  18   1.8e-08   0.00012   17.5   0.3  1279  1311  1915  1947  1912  1951 0.91 | transcript=PVP01_0212100.1 | gene=PVP01_0212100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium membrane protein, unknown function | transcript_product=conserved Plasmodium membrane protein, unknown function | location=PvP01_02_v2:495848-510075(-) | protein_length=4440 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0212100.1-p1   -           4440 108at5820            -           2628         0 3173.5 257.0  10  18   7.6e-55     5e-51  171.4   9.7  1307  1450  1976  2125  1969  2128 0.94 | transcript=PVP01_0212100.1 | gene=PVP01_0212100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium membrane protein, unknown function | transcript_product=conserved Plasmodium membrane protein, unknown function | location=PvP01_02_v2:495848-510075(-) | protein_length=4440 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0212100.1-p1   -           4440 108at5820            -           2628         0 3173.5 257.0  11  18   2.7e-12   1.7e-08   30.3   0.2  1458  1502  2427  2471  2424  2481 0.92 | transcript=PVP01_0212100.1 | gene=PVP01_0212100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium membrane protein, unknown function | transcript_product=conserved Plasmodium membrane protein, unknown function | location=PvP01_02_v2:495848-510075(-) | protein_length=4440 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
