#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1136900.1-p1   -           1574 2625at5820           -           1265         0 1640.3  24.7   1   1         0         0 1640.1  24.7     1  1265     1  1574     1  1574 0.75 | transcript=PVP01_1136900.1 | gene=PVP01_1136900 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_11_v2:1563686-1569437(+) | protein_length=1574 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905400.1-p1   -            632 2625at5820           -           1265   2.7e-05   20.8  18.9   1   1   1.5e-07   3.8e-05   20.3  18.9   371   543   205   492    79   571 0.55 | transcript=PVP01_0905400.1 | gene=PVP01_0905400 | organism=Plasmodium_vivax_P01 | gene_product=radial spoke head protein, putative | transcript_product=radial spoke head protein, putative | location=PvP01_09_v2:320444-322342(+) | protein_length=632 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024800.1-p1   -            359 2625at5820           -           1265    0.0001   18.9   7.2   1   3     0.014       3.5    3.9   0.4   232   261    39    68    35    74 0.68 | transcript=PVP01_1024800.1 | gene=PVP01_1024800 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_10_v2:1079578-1081312(-) | protein_length=359 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024800.1-p1   -            359 2625at5820           -           1265    0.0001   18.9   7.2   2   3     0.031       7.7    2.7   0.5    37    69    62    94    49    95 0.72 | transcript=PVP01_1024800.1 | gene=PVP01_1024800 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_10_v2:1079578-1081312(-) | protein_length=359 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024800.1-p1   -            359 2625at5820           -           1265    0.0001   18.9   7.2   3   3   6.8e-07   0.00017   18.2   0.8    27    70    95   138    90   139 0.94 | transcript=PVP01_1024800.1 | gene=PVP01_1024800 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_10_v2:1079578-1081312(-) | protein_length=359 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1325300.1-p1   -           1486 2625at5820           -           1265    0.0021   14.6  63.0   1   2   1.8e-06   0.00044   16.8  13.0   360   461   404   511   334   836 0.47 | transcript=PVP01_1325300.1 | gene=PVP01_1325300 | organism=Plasmodium_vivax_P01 | gene_product=NTF2-like domain-containing protein, putative | transcript_product=NTF2-like domain-containing protein, putative | location=PvP01_13_v2:1095639-1100099(+) | protein_length=1486 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1325300.1-p1   -           1486 2625at5820           -           1265    0.0021   14.6  63.0   2   2     0.016       4.1    3.6  41.9   363   618   930  1299   904  1356 0.31 | transcript=PVP01_1325300.1 | gene=PVP01_1325300 | organism=Plasmodium_vivax_P01 | gene_product=NTF2-like domain-containing protein, putative | transcript_product=NTF2-like domain-containing protein, putative | location=PvP01_13_v2:1095639-1100099(+) | protein_length=1486 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1014300.1-p1   -            749 2625at5820           -           1265    0.0058   13.1  27.4   1   1   2.9e-05    0.0072   12.8  27.4   359   562   386   607   250   717 0.46 | transcript=PVP01_1014300.1 | gene=PVP01_1014300 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_10_v2:641834-644083(-) | protein_length=749 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1219800.1-p1   -            453 2625at5820           -           1265    0.0079   12.6   9.0   1   1   3.7e-05    0.0093   12.4   9.0   342   444    51   170     4   427 0.45 | transcript=PVP01_1219800.1 | gene=PVP01_1219800 | organism=Plasmodium_vivax_P01 | gene_product=MSP7-like protein | transcript_product=MSP7-like protein | location=PvP01_12_v2:803845-805206(+) | protein_length=453 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0731600.1-p1   -            264 2625at5820           -           1265     0.012   12.0  24.6   1   1   5.3e-05     0.013   11.9  24.6   430   600    67   193    14   255 0.31 | transcript=PVP01_0731600.1 | gene=PVP01_0731600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:1327085-1327879(-) | protein_length=264 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1466200.1-p1   -            400 2625at5820           -           1265     0.013   11.9  22.2   1   1   6.6e-05     0.017   11.6  22.2   356   514    74   312     5   364 0.41 | transcript=PVP01_1466200.1 | gene=PVP01_1466200 | organism=Plasmodium_vivax_P01 | gene_product=THUMP domain-containing protein, putative | transcript_product=THUMP domain-containing protein, putative | location=PvP01_14_v2:2820825-2822550(+) | protein_length=400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1402200.1-p1   -            387 2625at5820           -           1265     0.027   10.9  35.7   1   1   0.00014     0.034   10.5  35.7   368   555    69   295     5   386 0.32 | transcript=PVP01_1402200.1 | gene=PVP01_1402200 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=PvP01_14_v2:100526-102026(+) | protein_length=387 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
