#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1340600.1-p1   -           1103 1979at5820           -            957         0 1945.1 105.2   1   4         0         0 1500.4  59.3     1   694     1   715     1   722 0.98 | transcript=PVP01_1340600.1 | gene=PVP01_1340600 | organism=Plasmodium_vivax_P01 | gene_product=FANCJ-like helicase, putative | transcript_product=FANCJ-like helicase, putative | location=PvP01_13_v2:1779845-1783156(+) | protein_length=1103 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1340600.1-p1   -           1103 1979at5820           -            957         0 1945.1 105.2   2   4   1.2e-87   2.5e-84  282.4  19.0   692   842   738   917   732   925 0.97 | transcript=PVP01_1340600.1 | gene=PVP01_1340600 | organism=Plasmodium_vivax_P01 | gene_product=FANCJ-like helicase, putative | transcript_product=FANCJ-like helicase, putative | location=PvP01_13_v2:1779845-1783156(+) | protein_length=1103 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1340600.1-p1   -           1103 1979at5820           -            957         0 1945.1 105.2   3   4   1.3e-27   2.9e-24   83.7   3.9   835   898   935   998   917  1002 0.90 | transcript=PVP01_1340600.1 | gene=PVP01_1340600 | organism=Plasmodium_vivax_P01 | gene_product=FANCJ-like helicase, putative | transcript_product=FANCJ-like helicase, putative | location=PvP01_13_v2:1779845-1783156(+) | protein_length=1103 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1340600.1-p1   -           1103 1979at5820           -            957         0 1945.1 105.2   4   4   3.2e-31   6.9e-28   95.6   1.1   888   957  1030  1103  1013  1103 0.89 | transcript=PVP01_1340600.1 | gene=PVP01_1340600 | organism=Plasmodium_vivax_P01 | gene_product=FANCJ-like helicase, putative | transcript_product=FANCJ-like helicase, putative | location=PvP01_13_v2:1779845-1783156(+) | protein_length=1103 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0732800.1-p1   -           1031 1979at5820           -            957   4.5e-48  162.4  23.4   1   3   6.7e-11   1.5e-07   28.4   0.1    21    77     4    61     2    94 0.88 | transcript=PVP01_0732800.1 | gene=PVP01_0732800 | organism=Plasmodium_vivax_P01 | gene_product=TFIIH basal transcription factor complex helicase XPD subunit, putative | transcript_product=TFIIH basal transcription factor complex helicase XPD subunit, putative | location=PvP01_07_v2:1359461-1362556(+) | protein_length=1031 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0732800.1-p1   -           1031 1979at5820           -            957   4.5e-48  162.4  23.4   2   3   2.5e-10   5.5e-07   26.5   3.6   180   309   263   403   250   415 0.77 | transcript=PVP01_0732800.1 | gene=PVP01_0732800 | organism=Plasmodium_vivax_P01 | gene_product=TFIIH basal transcription factor complex helicase XPD subunit, putative | transcript_product=TFIIH basal transcription factor complex helicase XPD subunit, putative | location=PvP01_07_v2:1359461-1362556(+) | protein_length=1031 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0732800.1-p1   -           1031 1979at5820           -            957   4.5e-48  162.4  23.4   3   3   3.7e-37   8.1e-34  115.3   8.2   475   744   703   967   593   986 0.85 | transcript=PVP01_0732800.1 | gene=PVP01_0732800 | organism=Plasmodium_vivax_P01 | gene_product=TFIIH basal transcription factor complex helicase XPD subunit, putative | transcript_product=TFIIH basal transcription factor complex helicase XPD subunit, putative | location=PvP01_07_v2:1359461-1362556(+) | protein_length=1031 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1230100.1-p1   -           1066 1979at5820           -            957   6.7e-30  102.3  24.0   1   5      0.34   7.3e+02   -3.7   0.0    25    51     8    34     7    36 0.89 | transcript=PVP01_1230100.1 | gene=PVP01_1230100 | organism=Plasmodium_vivax_P01 | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=PvP01_12_v2:1195941-1200272(+) | protein_length=1066 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1230100.1-p1   -           1066 1979at5820           -            957   6.7e-30  102.3  24.0   2   5   6.5e-06     0.014   11.9   0.3   112   189   227   301   215   309 0.73 | transcript=PVP01_1230100.1 | gene=PVP01_1230100 | organism=Plasmodium_vivax_P01 | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=PvP01_12_v2:1195941-1200272(+) | protein_length=1066 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1230100.1-p1   -           1066 1979at5820           -            957   6.7e-30  102.3  24.0   3   5   2.2e-13   4.7e-10   36.6   2.5   212   288   362   438   350   469 0.89 | transcript=PVP01_1230100.1 | gene=PVP01_1230100 | organism=Plasmodium_vivax_P01 | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=PvP01_12_v2:1195941-1200272(+) | protein_length=1066 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1230100.1-p1   -           1066 1979at5820           -            957   6.7e-30  102.3  24.0   4   5     1e-13   2.3e-10   37.7   3.2   475   671   664   885   651   889 0.73 | transcript=PVP01_1230100.1 | gene=PVP01_1230100 | organism=Plasmodium_vivax_P01 | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=PvP01_12_v2:1195941-1200272(+) | protein_length=1066 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
