#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1337300.1-p1   -            570 5555at5820           -            432  2.6e-233  772.9  54.0   1   2  2.3e-133  1.4e-130  434.4  23.5    11   221    57   268    53   274 0.98 | transcript=PVP01_1337300.1 | gene=PVP01_1337300 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein Obg1, putative | transcript_product=GTP-binding protein Obg1, putative | location=PvP01_13_v2:1604816-1606528(-) | protein_length=570 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1337300.1-p1   -            570 5555at5820           -            432  2.6e-233  772.9  54.0   2   2  4.6e-106  2.7e-103  344.4  22.5   219   432   337   565   333   565 0.94 | transcript=PVP01_1337300.1 | gene=PVP01_1337300 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein Obg1, putative | transcript_product=GTP-binding protein Obg1, putative | location=PvP01_13_v2:1604816-1606528(-) | protein_length=570 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0510000.1-p1   -            747 5555at5820           -            432   8.6e-18   62.7   4.6   1   2   1.4e-20   8.6e-18   62.7   4.6    19   267   248   499   230   511 0.80 | transcript=PVP01_0510000.1 | gene=PVP01_0510000 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein Obg2, putative | transcript_product=GTP-binding protein Obg2, putative | location=PvP01_05_v2:442521-444764(+) | protein_length=747 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0510000.1-p1   -            747 5555at5820           -            432   8.6e-18   62.7   4.6   2   2      0.18     1e+02   -0.1   0.1   268   318   580   634   573   696 0.76 | transcript=PVP01_0510000.1 | gene=PVP01_0510000 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein Obg2, putative | transcript_product=GTP-binding protein Obg2, putative | location=PvP01_05_v2:442521-444764(+) | protein_length=747 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1136200.1-p1   -            818 5555at5820           -            432     1e-12   46.0   0.7   1   1   3.1e-15   1.8e-12   45.2   0.7   180   327   175   336   117   352 0.81 | transcript=PVP01_1136200.1 | gene=PVP01_1136200 | organism=Plasmodium_vivax_P01 | gene_product=nucleolar GTP-binding protein 1, putative | transcript_product=nucleolar GTP-binding protein 1, putative | location=PvP01_11_v2:1549548-1552004(-) | protein_length=818 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1113000.1-p1   -            367 5555at5820           -            432   2.3e-12   44.8   2.1   1   1   5.3e-15   3.2e-12   44.4   2.1   178   345    64   231    47   298 0.84 | transcript=PVP01_1113000.1 | gene=PVP01_1113000 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=PvP01_11_v2:563234-566336(+) | protein_length=367 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0521200.1-p1   -            643 5555at5820           -            432   6.6e-12   43.3   1.5   1   3      0.65   3.8e+02   -2.0   0.3   339   377   195   230   176   279 0.55 | transcript=PVP01_0521200.1 | gene=PVP01_0521200 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=PvP01_05_v2:863369-865300(+) | protein_length=643 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0521200.1-p1   -            643 5555at5820           -            432   6.6e-12   43.3   1.5   2   3         1   5.9e+02   -2.6   3.3   255   322   336   402   299   445 0.54 | transcript=PVP01_0521200.1 | gene=PVP01_0521200 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=PvP01_05_v2:863369-865300(+) | protein_length=643 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0521200.1-p1   -            643 5555at5820           -            432   6.6e-12   43.3   1.5   3   3   1.1e-14   6.6e-12   43.3   1.5   170   261   454   552   442   610 0.81 | transcript=PVP01_0521200.1 | gene=PVP01_0521200 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=PvP01_05_v2:863369-865300(+) | protein_length=643 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1009500.1-p1   -            365 5555at5820           -            432     1e-10   39.4   0.5   1   1   2.5e-13   1.5e-10   38.9   0.5   177   263    64   151    57   257 0.68 | transcript=PVP01_1009500.1 | gene=PVP01_1009500 | organism=Plasmodium_vivax_P01 | gene_product=ribosome-interacting GTPase 1, putative | transcript_product=ribosome-interacting GTPase 1, putative | location=PvP01_10_v2:422852-423949(+) | protein_length=365 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1141200.1-p1   -            615 5555at5820           -            432   2.1e-08   31.8  10.4   1   3   1.5e-06   0.00088   16.6   3.2    22    66    94   140    82   207 0.83 | transcript=PVP01_1141200.1 | gene=PVP01_1141200 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=PvP01_11_v2:1744214-1746176(+) | protein_length=615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1141200.1-p1   -            615 5555at5820           -            432   2.1e-08   31.8  10.4   2   3   1.4e-05    0.0086   13.3   0.1   127   209   339   414   320   436 0.74 | transcript=PVP01_1141200.1 | gene=PVP01_1141200 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=PvP01_11_v2:1744214-1746176(+) | protein_length=615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1141200.1-p1   -            615 5555at5820           -            432   2.1e-08   31.8  10.4   3   3    0.0077       4.6    4.3   0.0   245   306   507   570   500   601 0.80 | transcript=PVP01_1141200.1 | gene=PVP01_1141200 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=PvP01_11_v2:1744214-1746176(+) | protein_length=615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0914300.1-p1   -            725 5555at5820           -            432   5.6e-08   30.4   6.4   1   1   1.9e-10   1.1e-07   29.4   6.4   178   336   479   647   473   675 0.76 | transcript=PVP01_0914300.1 | gene=PVP01_0914300 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=PvP01_09_v2:659890-662067(+) | protein_length=725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1326000.1-p1   -            533 5555at5820           -            432    0.0001   19.7   1.4   1   2      0.41   2.5e+02   -1.4   0.1   269   301   241   273   213   300 0.74 | transcript=PVP01_1326000.1 | gene=PVP01_1326000 | organism=Plasmodium_vivax_P01 | gene_product=nucleolar GTP-binding protein 2, putative | transcript_product=nucleolar GTP-binding protein 2, putative | location=PvP01_13_v2:1132456-1134057(+) | protein_length=533 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1326000.1-p1   -            533 5555at5820           -            432    0.0001   19.7   1.4   2   2   2.8e-07   0.00017   18.9   0.2   177   256   322   403   305   437 0.67 | transcript=PVP01_1326000.1 | gene=PVP01_1326000 | organism=Plasmodium_vivax_P01 | gene_product=nucleolar GTP-binding protein 2, putative | transcript_product=nucleolar GTP-binding protein 2, putative | location=PvP01_13_v2:1132456-1134057(+) | protein_length=533 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1318100.1-p1   -            780 5555at5820           -            432    0.0021   15.3   1.5   1   2      0.12        73    0.4   0.3   247   301   347   400   329   429 0.71 | transcript=PVP01_1318100.1 | gene=PVP01_1318100 | organism=Plasmodium_vivax_P01 | gene_product=large subunit GTPase 1, putative | transcript_product=large subunit GTPase 1, putative | location=PvP01_13_v2:841539-844043(-) | protein_length=780 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1318100.1-p1   -            780 5555at5820           -            432    0.0021   15.3   1.5   2   2   1.9e-05     0.011   12.9   0.0   177   231   540   595   486   609 0.71 | transcript=PVP01_1318100.1 | gene=PVP01_1318100 | organism=Plasmodium_vivax_P01 | gene_product=large subunit GTPase 1, putative | transcript_product=large subunit GTPase 1, putative | location=PvP01_13_v2:841539-844043(-) | protein_length=780 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1020500.1-p1   -            288 5555at5820           -            432     0.016   12.5   0.1   1   2   4.8e-05     0.029   11.6   0.0   177   230    85   139    75   178 0.80 | transcript=PVP01_1020500.1 | gene=PVP01_1020500 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein YihA1, putative | transcript_product=GTP-binding protein YihA1, putative | location=PvP01_10_v2:886857-889055(+) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1020500.1-p1   -            288 5555at5820           -            432     0.016   12.5   0.1   2   2       1.2   7.4e+02   -2.9   0.1   368   389   214   235   193   263 0.53 | transcript=PVP01_1020500.1 | gene=PVP01_1020500 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein YihA1, putative | transcript_product=GTP-binding protein YihA1, putative | location=PvP01_10_v2:886857-889055(+) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5555at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5555at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5555at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:17 2026
# [ok]
