#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1430600.1-p1   -            579 5345at5820           -            445  2.2e-292  968.1  37.6   1   2   1.7e-16   2.2e-13   48.5   0.1     1    34    41    74    41    85 0.90 | transcript=PVP01_1430600.1 | gene=PVP01_1430600 | organism=Plasmodium_vivax_P01 | gene_product=RuvB-like helicase 1, putative | transcript_product=RuvB-like helicase 1, putative | location=PvP01_14_v2:1323658-1326144(+) | protein_length=579 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1430600.1-p1   -            579 5345at5820           -            445  2.2e-292  968.1  37.6   2   2  1.3e-281  1.7e-278  922.3  32.9    31   445   164   579   155   579 0.99 | transcript=PVP01_1430600.1 | gene=PVP01_1430600 | organism=Plasmodium_vivax_P01 | gene_product=RuvB-like helicase 1, putative | transcript_product=RuvB-like helicase 1, putative | location=PvP01_14_v2:1323658-1326144(+) | protein_length=579 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0906800.1-p1   -            475 5345at5820           -            445  7.7e-140  465.3  16.9   1   1  3.4e-142  4.5e-139  462.8  16.9     6   444    12   474     7   475 0.90 | transcript=PVP01_0906800.1 | gene=PVP01_0906800 | organism=Plasmodium_vivax_P01 | gene_product=RuvB-like helicase 2, putative | transcript_product=RuvB-like helicase 2, putative | location=PvP01_09_v2:376371-377798(-) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1109800.1-p1   -            483 5345at5820           -            445  3.3e-105  351.1   7.1   1   1  3.1e-108  4.1e-105  350.9   7.1     8   445    10   449     3   449 0.89 | transcript=PVP01_1109800.1 | gene=PVP01_1109800 | organism=Plasmodium_vivax_P01 | gene_product=RuvB-like helicase 3, putative | transcript_product=RuvB-like helicase 3, putative | location=PvP01_11_v2:391883-393334(+) | protein_length=483 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1243600.1-p1   -            344 5345at5820           -            445   0.00085   16.9   0.3   1   2   2.5e-05     0.032   11.7   0.0    54   108    41    97    28   106 0.76 | transcript=PVP01_1243600.1 | gene=PVP01_1243600 | organism=Plasmodium_vivax_P01 | gene_product=replication factor C subunit 3, putative | transcript_product=replication factor C subunit 3, putative | location=PvP01_12_v2:1771968-1773436(-) | protein_length=344 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1243600.1-p1   -            344 5345at5820           -            445   0.00085   16.9   0.3   2   2      0.01        13    3.1   0.2   222   266   222   267   214   283 0.85 | transcript=PVP01_1243600.1 | gene=PVP01_1243600 | organism=Plasmodium_vivax_P01 | gene_product=replication factor C subunit 3, putative | transcript_product=replication factor C subunit 3, putative | location=PvP01_12_v2:1771968-1773436(-) | protein_length=344 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0111400.1-p1   -           1089 5345at5820           -            445      0.31    8.5   6.3   1   4    0.0038         5    4.5   0.2    60   115   511   563   498   615 0.76 | transcript=PVP01_0111400.1 | gene=PVP01_0111400 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, CDC48 subfamily, putative | transcript_product=AAA family ATPase, CDC48 subfamily, putative | location=PvP01_01_v2:527779-531048(-) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0111400.1-p1   -           1089 5345at5820           -            445      0.31    8.5   6.3   2   4       1.1   1.4e+03   -3.6   0.1   258   300   658   704   651   710 0.53 | transcript=PVP01_0111400.1 | gene=PVP01_0111400 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, CDC48 subfamily, putative | transcript_product=AAA family ATPase, CDC48 subfamily, putative | location=PvP01_01_v2:527779-531048(-) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0111400.1-p1   -           1089 5345at5820           -            445      0.31    8.5   6.3   3   4    0.0011       1.4    6.3   0.0    56    88   827   859   820   862 0.87 | transcript=PVP01_0111400.1 | gene=PVP01_0111400 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, CDC48 subfamily, putative | transcript_product=AAA family ATPase, CDC48 subfamily, putative | location=PvP01_01_v2:527779-531048(-) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0111400.1-p1   -           1089 5345at5820           -            445      0.31    8.5   6.3   4   4      0.42   5.5e+02   -2.2   0.1   287   348   890   949   882   961 0.78 | transcript=PVP01_0111400.1 | gene=PVP01_0111400 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, CDC48 subfamily, putative | transcript_product=AAA family ATPase, CDC48 subfamily, putative | location=PvP01_01_v2:527779-531048(-) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
