#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0406600.1-p1   -            542 6690at5820           -            454  1.9e-284  941.8  22.9   1   2   2.9e-16   5.2e-14   50.4   1.1     1    46     7    53     7    59 0.88 | transcript=PVP01_0406600.1 | gene=PVP01_0406600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX47, putative | transcript_product=ATP-dependent RNA helicase DDX47, putative | location=PvP01_04_v2:278406-280034(+) | protein_length=542 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0406600.1-p1   -            542 6690at5820           -            454  1.9e-284  941.8  22.9   2   2  5.2e-273  9.4e-271  896.6  14.7    43   454   130   541   110   541 0.98 | transcript=PVP01_0406600.1 | gene=PVP01_0406600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX47, putative | transcript_product=ATP-dependent RNA helicase DDX47, putative | location=PvP01_04_v2:278406-280034(+) | protein_length=542 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1118600.1-p1   -            599 6690at5820           -            454   9.8e-79  263.7  11.9   1   1   8.7e-81   1.6e-78  263.0  11.9    36   413   135   516   124   546 0.93 | transcript=PVP01_1118600.1 | gene=PVP01_1118600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase HAS1, putative | transcript_product=ATP-dependent RNA helicase HAS1, putative | location=PvP01_11_v2:784229-786377(+) | protein_length=599 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1445300.1-p1   -            717 6690at5820           -            454   2.8e-64  216.1   1.3   1   2   3.4e-12   6.1e-10   36.9   0.0    47   114   277   343   227   348 0.82 | transcript=PVP01_1445300.1 | gene=PVP01_1445300 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase 60, putative | transcript_product=DNA helicase 60, putative | location=PvP01_14_v2:1956382-1958535(-) | protein_length=717 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1445300.1-p1   -            717 6690at5820           -            454   2.8e-64  216.1   1.3   2   2   6.2e-55   1.1e-52  177.8   0.5   111   390   396   678   392   702 0.91 | transcript=PVP01_1445300.1 | gene=PVP01_1445300 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase 60, putative | transcript_product=DNA helicase 60, putative | location=PvP01_14_v2:1956382-1958535(-) | protein_length=717 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1261100.1-p1   -            528 6690at5820           -            454   1.8e-63  213.4   0.1   1   1   1.3e-65   2.3e-63  213.0   0.1    19   392    84   466    65   481 0.85 | transcript=PVP01_1261100.1 | gene=PVP01_1261100 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX17, putative | transcript_product=ATP-dependent RNA helicase DDX17, putative | location=PvP01_12_v2:2514922-2518356(-) | protein_length=528 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1015400.1-p1   -           1015 6690at5820           -            454   5.4e-62  208.5   0.0   1   1   8.1e-62   1.5e-59  200.5   0.0    49   403   591   976   546   984 0.86 | transcript=PVP01_1015400.1 | gene=PVP01_1015400 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX23, putative | transcript_product=ATP-dependent RNA helicase DDX23, putative | location=PvP01_10_v2:696329-699376(+) | protein_length=1015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1005900.1-p1   -            667 6690at5820           -            454     5e-61  205.3   0.2   1   1   2.8e-63     5e-61  205.3   0.2    14   404   185   587   174   612 0.86 | transcript=PVP01_1005900.1 | gene=PVP01_1005900 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX41, putative | transcript_product=ATP-dependent RNA helicase DDX41, putative | location=PvP01_10_v2:267076-269079(-) | protein_length=667 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0819400.1-p1   -            433 6690at5820           -            454   2.5e-60  203.0   0.9   1   1   1.8e-62   3.3e-60  202.7   0.9    33   411    45   422    13   430 0.93 | transcript=PVP01_0819400.1 | gene=PVP01_0819400 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX6, putative | transcript_product=ATP-dependent RNA helicase DDX6, putative | location=PvP01_08_v2:848920-850632(-) | protein_length=433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1238100.1-p1   -            398 6690at5820           -            454   2.3e-59  199.9   0.3   1   1   1.6e-61   2.9e-59  199.5   0.3    48   409    23   387     2   395 0.90 | transcript=PVP01_1238100.1 | gene=PVP01_1238100 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic initiation factor 4a, putative | transcript_product=eukaryotic initiation factor 4a, putative | location=PvP01_12_v2:1503914-1505456(-) | protein_length=398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1222000.1-p1   -            489 6690at5820           -            454   9.1e-59  197.9   0.3   1   1   2.3e-60   4.2e-58  195.7   0.3    48   405    58   436    28   478 0.88 | transcript=PVP01_1222000.1 | gene=PVP01_1222000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP8, putative | transcript_product=ATP-dependent RNA helicase DBP8, putative | location=PvP01_12_v2:871025-872494(+) | protein_length=489 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
