#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1443100.1-p1   -            110 14892at5820          -             86   8.1e-60  197.7   1.7   1   1   4.3e-62   9.6e-60  197.5   1.7     1    86    20   105    20   105 0.99 | transcript=PVP01_1443100.1 | gene=PVP01_1443100 | organism=Plasmodium_vivax_P01 | gene_product=splicing factor 3B subunit 6, putative | transcript_product=splicing factor 3B subunit 6, putative | location=PvP01_14_v2:1872345-1872932(-) | protein_length=110 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1442500.1-p1   -            885 14892at5820          -             86   4.3e-14   51.2   1.2   1   4   3.8e-06   0.00086   18.2   0.0     6    61    27    85    22   100 0.82 | transcript=PVP01_1442500.1 | gene=PVP01_1442500 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=PvP01_14_v2:1852026-1854683(+) | protein_length=885 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1442500.1-p1   -            885 14892at5820          -             86   4.3e-14   51.2   1.2   2   4   0.00022     0.048   12.6   0.1     1    64   110   175   110   188 0.83 | transcript=PVP01_1442500.1 | gene=PVP01_1442500 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=PvP01_14_v2:1852026-1854683(+) | protein_length=885 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1442500.1-p1   -            885 14892at5820          -             86   4.3e-14   51.2   1.2   3   4    0.0013       0.3   10.0   0.0     1    60   199   258   199   274 0.82 | transcript=PVP01_1442500.1 | gene=PVP01_1442500 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=PvP01_14_v2:1852026-1854683(+) | protein_length=885 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1442500.1-p1   -            885 14892at5820          -             86   4.3e-14   51.2   1.2   4   4     0.029       6.4    5.8   0.0     2    54   456   510   455   538 0.77 | transcript=PVP01_1442500.1 | gene=PVP01_1442500 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=PvP01_14_v2:1852026-1854683(+) | protein_length=885 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511100.1-p1   -            292 14892at5820          -             86   1.5e-09   36.7   0.1   1   2   6.4e-05     0.014   14.3   0.0     2    63    14    80    13    97 0.80 | transcript=PVP01_0511100.1 | gene=PVP01_0511100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_05_v2:482035-483249(+) | protein_length=292 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511100.1-p1   -            292 14892at5820          -             86   1.5e-09   36.7   0.1   2   2   9.1e-07    0.0002   20.2   0.0     2    65   162   227   161   234 0.84 | transcript=PVP01_0511100.1 | gene=PVP01_0511100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_05_v2:482035-483249(+) | protein_length=292 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1111100.1-p1   -            392 14892at5820          -             86   2.2e-09   36.1   3.3   1   4       2.5   5.6e+02   -0.4   0.0    36    65    57    86    26    94 0.78 | transcript=PVP01_1111100.1 | gene=PVP01_1111100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_11_v2:447981-450642(+) | protein_length=392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1111100.1-p1   -            392 14892at5820          -             86   2.2e-09   36.1   3.3   2   4       2.1   4.7e+02   -0.2   0.0    21    40   105   124    85   131 0.78 | transcript=PVP01_1111100.1 | gene=PVP01_1111100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_11_v2:447981-450642(+) | protein_length=392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1111100.1-p1   -            392 14892at5820          -             86   2.2e-09   36.1   3.3   3   4   2.6e-06   0.00059   18.7   0.1     5    79   128   205   124   208 0.84 | transcript=PVP01_1111100.1 | gene=PVP01_1111100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_11_v2:447981-450642(+) | protein_length=392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1111100.1-p1   -            392 14892at5820          -             86   2.2e-09   36.1   3.3   4   4   3.5e-05    0.0079   15.1   0.1     2    65   216   281   215   286 0.86 | transcript=PVP01_1111100.1 | gene=PVP01_1111100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_11_v2:447981-450642(+) | protein_length=392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1339100.1-p1   -            503 14892at5820          -             86   4.2e-09   35.2   0.3   1   3    0.0003     0.068   12.1   0.0     2    59    89   149    88   160 0.84 | transcript=PVP01_1339100.1 | gene=PVP01_1339100 | organism=Plasmodium_vivax_P01 | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=PvP01_13_v2:1701554-1703065(-) | protein_length=503 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1339100.1-p1   -            503 14892at5820          -             86   4.2e-09   35.2   0.3   2   3    0.0055       1.2    8.1   0.0     2    51   187   238   186   270 0.77 | transcript=PVP01_1339100.1 | gene=PVP01_1339100 | organism=Plasmodium_vivax_P01 | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=PvP01_13_v2:1701554-1703065(-) | protein_length=503 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1339100.1-p1   -            503 14892at5820          -             86   4.2e-09   35.2   0.3   3   3   0.00053      0.12   11.3   0.0    28    63   430   465   401   479 0.74 | transcript=PVP01_1339100.1 | gene=PVP01_1339100 | organism=Plasmodium_vivax_P01 | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=PvP01_13_v2:1701554-1703065(-) | protein_length=503 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0806500.1-p1   -            250 14892at5820          -             86     2e-08   33.0   0.0   1   2     0.041       9.1    5.3   0.0     1    62    27    90    27   108 0.79 | transcript=PVP01_0806500.1 | gene=PVP01_0806500 | organism=Plasmodium_vivax_P01 | gene_product=G-strand-binding protein 2, putative | transcript_product=G-strand-binding protein 2, putative | location=PvP01_08_v2:283268-284886(+) | protein_length=250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0806500.1-p1   -            250 14892at5820          -             86     2e-08   33.0   0.0   2   2   1.7e-08   3.8e-06   25.7   0.0     1    65   178   244   178   249 0.81 | transcript=PVP01_0806500.1 | gene=PVP01_0806500 | organism=Plasmodium_vivax_P01 | gene_product=G-strand-binding protein 2, putative | transcript_product=G-strand-binding protein 2, putative | location=PvP01_08_v2:283268-284886(+) | protein_length=250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1112500.1-p1   -            513 14892at5820          -             86   2.9e-08   32.5   0.0   1   3     0.016       3.6    6.6   0.0     3    53    96   149    94   155 0.83 | transcript=PVP01_1112500.1 | gene=PVP01_1112500 | organism=Plasmodium_vivax_P01 | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=PvP01_11_v2:536358-538080(+) | protein_length=513 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1112500.1-p1   -            513 14892at5820          -             86   2.9e-08   32.5   0.0   2   3   0.00017     0.038   12.9   0.0     2    56   194   251   193   278 0.77 | transcript=PVP01_1112500.1 | gene=PVP01_1112500 | organism=Plasmodium_vivax_P01 | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=PvP01_11_v2:536358-538080(+) | protein_length=513 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1112500.1-p1   -            513 14892at5820          -             86   2.9e-08   32.5   0.0   3   3    0.0027      0.62    9.0   0.0    22    65   402   445   379   462 0.70 | transcript=PVP01_1112500.1 | gene=PVP01_1112500 | organism=Plasmodium_vivax_P01 | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=PvP01_11_v2:536358-538080(+) | protein_length=513 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1421700.1-p1   -            124 14892at5820          -             86   6.6e-08   31.4   1.4   1   1   4.5e-10     1e-07   30.8   1.4     6    77    19    93    15   111 0.83 | transcript=PVP01_1421700.1 | gene=PVP01_1421700 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_14_v2:939195-940065(-) | protein_length=124 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0607600.1-p1   -            544 14892at5820          -             86   2.3e-07   29.7   2.6   1   2   1.2e-08   2.8e-06   26.2   1.1     1    74    19    95    19   104 0.85 | transcript=PVP01_0607600.1 | gene=PVP01_0607600 | organism=Plasmodium_vivax_P01 | gene_product=serine/arginine-rich splicing factor 4, putative | transcript_product=serine/arginine-rich splicing factor 4, putative | location=PvP01_06_v2:341135-343903(-) | protein_length=544 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0607600.1-p1   -            544 14892at5820          -             86   2.3e-07   29.7   2.6   2   2      0.41        93    2.1   0.0    30    51   164   185   126   194 0.86 | transcript=PVP01_0607600.1 | gene=PVP01_0607600 | organism=Plasmodium_vivax_P01 | gene_product=serine/arginine-rich splicing factor 4, putative | transcript_product=serine/arginine-rich splicing factor 4, putative | location=PvP01_06_v2:341135-343903(-) | protein_length=544 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
