#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0413800.1-p1   -            245 12757at5820          -            176  5.5e-110  363.6  18.5   1   2   5.5e-34   2.1e-31  107.7   1.4     1    56     1    56     1    67 0.97 | transcript=PVP01_0413800.1 | gene=PVP01_0413800 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-5A, putative | transcript_product=ras-related protein Rab-5A, putative | location=PvP01_04_v2:557635-558372(+) | protein_length=245 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0413800.1-p1   -            245 12757at5820          -            176  5.5e-110  363.6  18.5   2   2   3.4e-81   1.3e-78  261.4   9.8    52   176    99   223    67   223 0.93 | transcript=PVP01_0413800.1 | gene=PVP01_0413800 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-5A, putative | transcript_product=ras-related protein Rab-5A, putative | location=PvP01_04_v2:557635-558372(+) | protein_length=245 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0208000.1-p1   -            194 12757at5820          -            176     5e-48  161.8   0.1   1   1   1.7e-50   6.3e-48  161.5   0.1    12   163    13   167     3   173 0.91 | transcript=PVP01_0208000.1 | gene=PVP01_0208000 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-5C, putative | transcript_product=ras-related protein Rab-5C, putative | location=PvP01_02_v2:333879-335555(-) | protein_length=194 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1449300.1-p1   -            213 12757at5820          -            176   9.5e-40  134.9   0.1   1   1   3.1e-42   1.2e-39  134.5   0.1     7   175     8   178     4   179 0.97 | transcript=PVP01_1449300.1 | gene=PVP01_1449300 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-2, putative | transcript_product=ras-related protein Rab-2, putative | location=PvP01_14_v2:2135325-2136787(+) | protein_length=213 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1411600.1-p1   -            205 12757at5820          -            176   1.2e-39  134.5   0.6   1   1   4.2e-42   1.6e-39  134.1   0.6     5   166    31   194    26   201 0.91 | transcript=PVP01_1411600.1 | gene=PVP01_1411600 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-5B, putative | transcript_product=ras-related protein Rab-5B, putative | location=PvP01_14_v2:524820-526310(-) | protein_length=205 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1421400.1-p1   -            216 12757at5820          -            176   9.9e-37  125.0   3.1   1   1   3.4e-39   1.3e-36  124.6   3.1     7   166    12   175     5   180 0.93 | transcript=PVP01_1421400.1 | gene=PVP01_1421400 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-11A, putative | transcript_product=ras-related protein Rab-11A, putative | location=PvP01_14_v2:927784-929333(+) | protein_length=216 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0945600.1-p1   -            207 12757at5820          -            176   1.3e-36  124.6   0.5   1   2   3.5e-39   1.3e-36  124.6   0.5     6   163    11   171     7   179 0.92 | transcript=PVP01_0945600.1 | gene=PVP01_0945600 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-6, putative | transcript_product=ras-related protein Rab-6, putative | location=PvP01_09_v2:1987820-1989251(-) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0945600.1-p1   -            207 12757at5820          -            176   1.3e-36  124.6   0.5   2   2       2.5   9.7e+02   -2.0   0.0   135   156   180   201   172   204 0.75 | transcript=PVP01_0945600.1 | gene=PVP01_0945600 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-6, putative | transcript_product=ras-related protein Rab-6, putative | location=PvP01_09_v2:1987820-1989251(-) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1020100.1-p1   -            207 12757at5820          -            176   5.1e-36  122.7   1.3   1   1   1.7e-38   6.5e-36  122.4   1.3     7   167    13   176     7   184 0.94 | transcript=PVP01_1020100.1 | gene=PVP01_1020100 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-1A, putative | transcript_product=ras-related protein Rab-1A, putative | location=PvP01_10_v2:874174-874797(+) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0113100.1-p1   -            201 12757at5820          -            176   4.7e-35  119.6   5.8   1   1   1.4e-37   5.4e-35  119.4   5.8     8   167    12   174     1   181 0.90 | transcript=PVP01_0113100.1 | gene=PVP01_0113100 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-18, putative | transcript_product=ras-related protein Rab-18, putative | location=PvP01_01_v2:591114-592334(-) | protein_length=201 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1021300.1-p1   -            200 12757at5820          -            176   5.6e-35  119.3   4.3   1   1   1.9e-37   7.3e-35  118.9   4.3     5   166     7   171     3   179 0.93 | transcript=PVP01_1021300.1 | gene=PVP01_1021300 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-1B, putative | transcript_product=ras-related protein Rab-1B, putative | location=PvP01_10_v2:912112-913699(-) | protein_length=200 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
