#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0707900.1-p1   -           1354 1468at5820           -            858         0 1710.4  60.0   1   4    4e-281  8.6e-278  922.5  24.0     1   443     1   483     1   488 0.95 | transcript=PVP01_0707900.1 | gene=PVP01_0707900 | organism=Plasmodium_vivax_P01 | gene_product=exoribonuclease, putative | transcript_product=exoribonuclease, putative | location=PvP01_07_v2:405024-409088(+) | protein_length=1354 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0707900.1-p1   -           1354 1468at5820           -            858         0 1710.4  60.0   2   4   6.9e-22   1.5e-18   64.9   0.1   433   484   549   600   542   618 0.88 | transcript=PVP01_0707900.1 | gene=PVP01_0707900 | organism=Plasmodium_vivax_P01 | gene_product=exoribonuclease, putative | transcript_product=exoribonuclease, putative | location=PvP01_07_v2:405024-409088(+) | protein_length=1354 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0707900.1-p1   -           1354 1468at5820           -            858         0 1710.4  60.0   3   4  5.9e-153  1.3e-149  498.5  10.0   480   719   655   895   650   911 0.97 | transcript=PVP01_0707900.1 | gene=PVP01_0707900 | organism=Plasmodium_vivax_P01 | gene_product=exoribonuclease, putative | transcript_product=exoribonuclease, putative | location=PvP01_07_v2:405024-409088(+) | protein_length=1354 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0707900.1-p1   -           1354 1468at5820           -            858         0 1710.4  60.0   4   4   8.1e-73   1.8e-69  233.4   5.9   716   839   952  1075   944  1084 0.96 | transcript=PVP01_0707900.1 | gene=PVP01_0707900 | organism=Plasmodium_vivax_P01 | gene_product=exoribonuclease, putative | transcript_product=exoribonuclease, putative | location=PvP01_07_v2:405024-409088(+) | protein_length=1354 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0907100.1-p1   -            657 1468at5820           -            858     1e-78  263.9  33.4   1   4     0.026        57    0.1   0.1     2    19    58    75    57    87 0.83 | transcript=PVP01_0907100.1 | gene=PVP01_0907100 | organism=Plasmodium_vivax_P01 | gene_product=5'-3' exoribonuclease 1, putative | transcript_product=5'-3' exoribonuclease 1, putative | location=PvP01_09_v2:383660-386697(-) | protein_length=657 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0907100.1-p1   -            657 1468at5820           -            858     1e-78  263.9  33.4   2   4   7.7e-46   1.7e-42  144.1   2.5    60   266    85   275    66   288 0.89 | transcript=PVP01_0907100.1 | gene=PVP01_0907100 | organism=Plasmodium_vivax_P01 | gene_product=5'-3' exoribonuclease 1, putative | transcript_product=5'-3' exoribonuclease 1, putative | location=PvP01_09_v2:383660-386697(-) | protein_length=657 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0907100.1-p1   -            657 1468at5820           -            858     1e-78  263.9  33.4   3   4   1.3e-14   2.7e-11   40.8   7.0   292   415   346   476   337   493 0.75 | transcript=PVP01_0907100.1 | gene=PVP01_0907100 | organism=Plasmodium_vivax_P01 | gene_product=5'-3' exoribonuclease 1, putative | transcript_product=5'-3' exoribonuclease 1, putative | location=PvP01_09_v2:383660-386697(-) | protein_length=657 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0907100.1-p1   -            657 1468at5820           -            858     1e-78  263.9  33.4   4   4   2.4e-29   5.3e-26   89.5   6.8   525   672   488   635   475   649 0.83 | transcript=PVP01_0907100.1 | gene=PVP01_0907100 | organism=Plasmodium_vivax_P01 | gene_product=5'-3' exoribonuclease 1, putative | transcript_product=5'-3' exoribonuclease 1, putative | location=PvP01_09_v2:383660-386697(-) | protein_length=657 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0420500.1-p1   -            975 1468at5820           -            858   6.6e-12   42.9   1.6   1   3   6.6e-07    0.0014   15.3   0.2    59   133    93   162    22   168 0.85 | transcript=PVP01_0420500.1 | gene=PVP01_0420500 | organism=Plasmodium_vivax_P01 | gene_product=5'-3' exonuclease, putative | transcript_product=5'-3' exonuclease, putative | location=PvP01_04_v2:832333-835260(+) | protein_length=975 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0420500.1-p1   -            975 1468at5820           -            858   6.6e-12   42.9   1.6   2   3   1.9e-08     4e-05   20.4   0.0   163   250   170   262   161   273 0.81 | transcript=PVP01_0420500.1 | gene=PVP01_0420500 | organism=Plasmodium_vivax_P01 | gene_product=5'-3' exonuclease, putative | transcript_product=5'-3' exonuclease, putative | location=PvP01_04_v2:832333-835260(+) | protein_length=975 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0420500.1-p1   -            975 1468at5820           -            858   6.6e-12   42.9   1.6   3   3    0.0013       2.8    4.4   0.1   549   580   667   699   628   704 0.76 | transcript=PVP01_0420500.1 | gene=PVP01_0420500 | organism=Plasmodium_vivax_P01 | gene_product=5'-3' exonuclease, putative | transcript_product=5'-3' exonuclease, putative | location=PvP01_04_v2:832333-835260(+) | protein_length=975 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
