#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0511100.1-p1   -            292 9510at5820           -            234  1.1e-139  462.2  23.2   1   1  2.3e-138  3.8e-136  450.6  23.2     1   224     1   263     1   292 0.93 | transcript=PVP01_0511100.1 | gene=PVP01_0511100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_05_v2:482035-483249(+) | protein_length=292 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1111100.1-p1   -            392 9510at5820           -            234   2.4e-57  192.7   7.1   1   3   9.1e-11   1.5e-08   33.0   0.2   125   208    17    96     4   105 0.89 | transcript=PVP01_1111100.1 | gene=PVP01_1111100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_11_v2:447981-450642(+) | protein_length=392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1111100.1-p1   -            392 9510at5820           -            234   2.4e-57  192.7   7.1   2   3   1.6e-18   2.6e-16   58.4   0.1   115   204   107   197   100   203 0.90 | transcript=PVP01_1111100.1 | gene=PVP01_1111100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_11_v2:447981-450642(+) | protein_length=392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1111100.1-p1   -            392 9510at5820           -            234   2.4e-57  192.7   7.1   3   3   1.1e-32   1.8e-30  104.8   0.3   118   211   201   294   195   305 0.93 | transcript=PVP01_1111100.1 | gene=PVP01_1111100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_11_v2:447981-450642(+) | protein_length=392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1339100.1-p1   -            503 9510at5820           -            234   2.4e-54  182.9  14.2   1   3   2.1e-09   3.6e-07   28.5   0.0     7    85    82   162    77   175 0.89 | transcript=PVP01_1339100.1 | gene=PVP01_1339100 | organism=Plasmodium_vivax_P01 | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=PvP01_13_v2:1701554-1703065(-) | protein_length=503 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1339100.1-p1   -            503 9510at5820           -            234   2.4e-54  182.9  14.2   2   3     3e-15   5.1e-13   47.7   0.1     4    89   177   263   172   276 0.91 | transcript=PVP01_1339100.1 | gene=PVP01_1339100 | organism=Plasmodium_vivax_P01 | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=PvP01_13_v2:1701554-1703065(-) | protein_length=503 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1339100.1-p1   -            503 9510at5820           -            234   2.4e-54  182.9  14.2   3   3   5.1e-34   8.5e-32  109.1   6.2    91   210   343   479   293   496 0.83 | transcript=PVP01_1339100.1 | gene=PVP01_1339100 | organism=Plasmodium_vivax_P01 | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=PvP01_13_v2:1701554-1703065(-) | protein_length=503 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1112500.1-p1   -            513 9510at5820           -            234   6.5e-49  165.1   4.4   1   3   3.6e-06    0.0006   18.0   0.0     6    85    87   168    83   174 0.87 | transcript=PVP01_1112500.1 | gene=PVP01_1112500 | organism=Plasmodium_vivax_P01 | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=PvP01_11_v2:536358-538080(+) | protein_length=513 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1112500.1-p1   -            513 9510at5820           -            234   6.5e-49  165.1   4.4   2   3   8.1e-13   1.4e-10   39.7   0.0     4    89   184   271   181   281 0.88 | transcript=PVP01_1112500.1 | gene=PVP01_1112500 | organism=Plasmodium_vivax_P01 | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=PvP01_11_v2:536358-538080(+) | protein_length=513 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1112500.1-p1   -            513 9510at5820           -            234   6.5e-49  165.1   4.4   3   3   4.3e-31   7.1e-29   99.5   2.5    92   209   319   456   291   470 0.88 | transcript=PVP01_1112500.1 | gene=PVP01_1112500 | organism=Plasmodium_vivax_P01 | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=PvP01_11_v2:536358-538080(+) | protein_length=513 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1454200.1-p1   -            497 9510at5820           -            234   9.8e-37  125.3  14.3   1   3    0.0071       1.2    7.2   0.0   121   180    11    70     5   108 0.82 | transcript=PVP01_1454200.1 | gene=PVP01_1454200 | organism=Plasmodium_vivax_P01 | gene_product=clustered-asparagine-rich protein, putative | transcript_product=clustered-asparagine-rich protein, putative | location=PvP01_14_v2:2366174-2367667(-) | protein_length=497 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
