#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0113300.1-p1   -           1261 4306at5820           -            703  3.4e-277  919.9  55.8   1  10   2.4e-33   4.4e-31  106.4   0.1     2    89     7    95     6   100 0.94 | transcript=PVP01_0113300.1 | gene=PVP01_0113300 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase PSH3, putative | transcript_product=DNA helicase PSH3, putative | location=PvP01_01_v2:597824-601609(+) | protein_length=1261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0113300.1-p1   -           1261 4306at5820           -            703  3.4e-277  919.9  55.8   2  10   1.7e-10   3.1e-08   30.9   0.1    90   119   128   157   125   160 0.93 | transcript=PVP01_0113300.1 | gene=PVP01_0113300 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase PSH3, putative | transcript_product=DNA helicase PSH3, putative | location=PvP01_01_v2:597824-601609(+) | protein_length=1261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0113300.1-p1   -           1261 4306at5820           -            703  3.4e-277  919.9  55.8   3  10   7.6e-53   1.4e-50  170.9   0.0   115   245   208   354   199   361 0.87 | transcript=PVP01_0113300.1 | gene=PVP01_0113300 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase PSH3, putative | transcript_product=DNA helicase PSH3, putative | location=PvP01_01_v2:597824-601609(+) | protein_length=1261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0113300.1-p1   -           1261 4306at5820           -            703  3.4e-277  919.9  55.8   4  10     3e-13   5.5e-11   40.0   1.2   238   287   450   506   431   510 0.87 | transcript=PVP01_0113300.1 | gene=PVP01_0113300 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase PSH3, putative | transcript_product=DNA helicase PSH3, putative | location=PvP01_01_v2:597824-601609(+) | protein_length=1261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0113300.1-p1   -           1261 4306at5820           -            703  3.4e-277  919.9  55.8   5  10  4.8e-114  8.7e-112  373.2  10.4   288   467   554   733   551   738 0.98 | transcript=PVP01_0113300.1 | gene=PVP01_0113300 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase PSH3, putative | transcript_product=DNA helicase PSH3, putative | location=PvP01_01_v2:597824-601609(+) | protein_length=1261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0113300.1-p1   -           1261 4306at5820           -            703  3.4e-277  919.9  55.8   6  10    0.0057         1    6.0   0.0   466   486   816   836   811   866 0.87 | transcript=PVP01_0113300.1 | gene=PVP01_0113300 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase PSH3, putative | transcript_product=DNA helicase PSH3, putative | location=PvP01_01_v2:597824-601609(+) | protein_length=1261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0113300.1-p1   -           1261 4306at5820           -            703  3.4e-277  919.9  55.8   7  10   3.1e-20   5.6e-18   63.1   0.8   487   545   904   964   899   971 0.93 | transcript=PVP01_0113300.1 | gene=PVP01_0113300 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase PSH3, putative | transcript_product=DNA helicase PSH3, putative | location=PvP01_01_v2:597824-601609(+) | protein_length=1261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0113300.1-p1   -           1261 4306at5820           -            703  3.4e-277  919.9  55.8   8  10   3.1e-18   5.7e-16   56.5   6.8   545   583   992  1030   986  1036 0.92 | transcript=PVP01_0113300.1 | gene=PVP01_0113300 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase PSH3, putative | transcript_product=DNA helicase PSH3, putative | location=PvP01_01_v2:597824-601609(+) | protein_length=1261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0113300.1-p1   -           1261 4306at5820           -            703  3.4e-277  919.9  55.8   9  10    0.0084       1.5    5.5   0.1   581   619  1061  1099  1056  1114 0.76 | transcript=PVP01_0113300.1 | gene=PVP01_0113300 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase PSH3, putative | transcript_product=DNA helicase PSH3, putative | location=PvP01_01_v2:597824-601609(+) | protein_length=1261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0113300.1-p1   -           1261 4306at5820           -            703  3.4e-277  919.9  55.8  10  10   7.7e-28   1.4e-25   88.2   0.0   606   702  1139  1241  1131  1242 0.88 | transcript=PVP01_0113300.1 | gene=PVP01_0113300 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase PSH3, putative | transcript_product=DNA helicase PSH3, putative | location=PvP01_01_v2:597824-601609(+) | protein_length=1261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0819400.1-p1   -            433 4306at5820           -            703   4.6e-49  165.8   3.3   1   2   2.1e-26   3.8e-24   83.5   0.0    13   227    52   252    42   287 0.82 | transcript=PVP01_0819400.1 | gene=PVP01_0819400 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX6, putative | transcript_product=ATP-dependent RNA helicase DDX6, putative | location=PvP01_08_v2:848920-850632(-) | protein_length=433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0819400.1-p1   -            433 4306at5820           -            703   4.6e-49  165.8   3.3   2   2   6.5e-26   1.2e-23   81.9   2.0   317   450   283   416   279   422 0.92 | transcript=PVP01_0819400.1 | gene=PVP01_0819400 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX6, putative | transcript_product=ATP-dependent RNA helicase DDX6, putative | location=PvP01_08_v2:848920-850632(-) | protein_length=433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0531200.1-p1   -            388 4306at5820           -            703   5.7e-44  149.0   4.0   1   2     6e-26   1.1e-23   82.0   0.2    14   225     8   206     2   224 0.85 | transcript=PVP01_0531200.1 | gene=PVP01_0531200 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic initiation factor 4A-III, putative | transcript_product=eukaryotic initiation factor 4A-III, putative | location=PvP01_05_v2:1327415-1328581(+) | protein_length=388 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0531200.1-p1   -            388 4306at5820           -            703   5.7e-44  149.0   4.0   2   2   8.2e-22   1.5e-19   68.3   0.4   314   442   237   365   218   378 0.89 | transcript=PVP01_0531200.1 | gene=PVP01_0531200 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic initiation factor 4A-III, putative | transcript_product=eukaryotic initiation factor 4A-III, putative | location=PvP01_05_v2:1327415-1328581(+) | protein_length=388 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1238100.1-p1   -            398 4306at5820           -            703   4.2e-41  139.5   1.0   1   2   3.5e-24   6.4e-22   76.1   0.0    15   223    17   212     5   238 0.87 | transcript=PVP01_1238100.1 | gene=PVP01_1238100 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic initiation factor 4a, putative | transcript_product=eukaryotic initiation factor 4a, putative | location=PvP01_12_v2:1503914-1505456(-) | protein_length=398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1238100.1-p1   -            398 4306at5820           -            703   4.2e-41  139.5   1.0   2   2   7.3e-20   1.3e-17   61.9   0.2   316   436   247   367   240   373 0.81 | transcript=PVP01_1238100.1 | gene=PVP01_1238100 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic initiation factor 4a, putative | transcript_product=eukaryotic initiation factor 4a, putative | location=PvP01_12_v2:1503914-1505456(-) | protein_length=398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415000.1-p1   -            473 4306at5820           -            703   1.9e-39  134.1   1.3   1   3   1.6e-05    0.0029   14.5   0.0    23    82    61   120    52   127 0.89 | transcript=PVP01_0415000.1 | gene=PVP01_0415000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase UAP56, putative | transcript_product=ATP-dependent RNA helicase UAP56, putative | location=PvP01_04_v2:609730-611288(+) | protein_length=473 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415000.1-p1   -            473 4306at5820           -            703   1.9e-39  134.1   1.3   2   3   1.5e-11   2.6e-09   34.4   0.6    92   224   159   285   154   324 0.72 | transcript=PVP01_0415000.1 | gene=PVP01_0415000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase UAP56, putative | transcript_product=ATP-dependent RNA helicase UAP56, putative | location=PvP01_04_v2:609730-611288(+) | protein_length=473 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415000.1-p1   -            473 4306at5820           -            703   1.9e-39  134.1   1.3   3   3   3.7e-26   6.8e-24   82.6   0.1   316   435   319   438   311   457 0.94 | transcript=PVP01_0415000.1 | gene=PVP01_0415000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase UAP56, putative | transcript_product=ATP-dependent RNA helicase UAP56, putative | location=PvP01_04_v2:609730-611288(+) | protein_length=473 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0406600.1-p1   -            542 4306at5820           -            703   7.4e-38  128.8  12.0   1   2   3.1e-29   5.6e-27   92.8   0.7    13   254   127   354   118   356 0.79 | transcript=PVP01_0406600.1 | gene=PVP01_0406600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX47, putative | transcript_product=ATP-dependent RNA helicase DDX47, putative | location=PvP01_04_v2:278406-280034(+) | protein_length=542 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0406600.1-p1   -            542 4306at5820           -            703   7.4e-38  128.8  12.0   2   2   2.8e-13   5.1e-11   40.1   7.8   271   439   312   481   308   507 0.84 | transcript=PVP01_0406600.1 | gene=PVP01_0406600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX47, putative | transcript_product=ATP-dependent RNA helicase DDX47, putative | location=PvP01_04_v2:278406-280034(+) | protein_length=542 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1261800.1-p1   -            791 4306at5820           -            703   9.5e-38  128.4  18.2   1   2   1.3e-25   2.3e-23   80.9   5.7    26   207   245   431   220   474 0.80 | transcript=PVP01_1261800.1 | gene=PVP01_1261800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase MAK5, putative | transcript_product=ATP-dependent RNA helicase MAK5, putative | location=PvP01_12_v2:2548870-2551662(-) | protein_length=791 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1261800.1-p1   -            791 4306at5820           -            703   9.5e-38  128.4  18.2   2   2   2.7e-17   4.8e-15   53.4   4.6   335   439   572   679   539   747 0.69 | transcript=PVP01_1261800.1 | gene=PVP01_1261800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase MAK5, putative | transcript_product=ATP-dependent RNA helicase MAK5, putative | location=PvP01_12_v2:2548870-2551662(-) | protein_length=791 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1222000.1-p1   -            489 4306at5820           -            703   5.5e-37  125.9   0.4   1   2   1.2e-21   2.1e-19   67.8   0.0    22   201    59   229    53   232 0.88 | transcript=PVP01_1222000.1 | gene=PVP01_1222000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP8, putative | transcript_product=ATP-dependent RNA helicase DBP8, putative | location=PvP01_12_v2:871025-872494(+) | protein_length=489 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1222000.1-p1   -            489 4306at5820           -            703   5.5e-37  125.9   0.4   2   2   4.2e-18   7.6e-16   56.0   0.3   332   441   317   427   292   440 0.86 | transcript=PVP01_1222000.1 | gene=PVP01_1222000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP8, putative | transcript_product=ATP-dependent RNA helicase DBP8, putative | location=PvP01_12_v2:871025-872494(+) | protein_length=489 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1445300.1-p1   -            717 4306at5820           -            703   6.5e-36  122.4   6.9   1   3   0.00043     0.077    9.7   0.0    17    85   274   341   257   345 0.84 | transcript=PVP01_1445300.1 | gene=PVP01_1445300 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase 60, putative | transcript_product=DNA helicase 60, putative | location=PvP01_14_v2:1956382-1958535(-) | protein_length=717 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
