#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1464500.1-p1   -            302 9829at5820           -            272  2.7e-163  540.3  15.9   1   1  6.6e-166  4.3e-163  539.7  15.9     1   272     9   298     9   298 0.97 | transcript=PVP01_1464500.1 | gene=PVP01_1464500 | organism=Plasmodium_vivax_P01 | gene_product=peptidyl-prolyl cis-trans isomerase FKBP35, putative | transcript_product=peptidyl-prolyl cis-trans isomerase FKBP35, putative | location=PvP01_14_v2:2761587-2762495(-) | protein_length=302 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1220500.1-p1   -            522 9829at5820           -            272   3.8e-17   61.1  18.3   1   3   5.8e-20   3.8e-17   61.1  18.3   117   271    20   188    14   190 0.80 | transcript=PVP01_1220500.1 | gene=PVP01_1220500 | organism=Plasmodium_vivax_P01 | gene_product=chaperone binding protein, putative | transcript_product=chaperone binding protein, putative | location=PvP01_12_v2:819436-821004(-) | protein_length=522 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1220500.1-p1   -            522 9829at5820           -            272   3.8e-17   61.1  18.3   2   3       7.7     5e+03   -4.9   4.7   132   155   307   333   262   380 0.68 | transcript=PVP01_1220500.1 | gene=PVP01_1220500 | organism=Plasmodium_vivax_P01 | gene_product=chaperone binding protein, putative | transcript_product=chaperone binding protein, putative | location=PvP01_12_v2:819436-821004(-) | protein_length=522 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1220500.1-p1   -            522 9829at5820           -            272   3.8e-17   61.1  18.3   3   3       1.4   8.8e+02   -2.4   1.2   141   192   353   406   328   427 0.60 | transcript=PVP01_1220500.1 | gene=PVP01_1220500 | organism=Plasmodium_vivax_P01 | gene_product=chaperone binding protein, putative | transcript_product=chaperone binding protein, putative | location=PvP01_12_v2:819436-821004(-) | protein_length=522 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0912600.1-p1   -            426 9829at5820           -            272   3.4e-11   41.5   8.0   1   2       2.1   1.3e+03   -3.0   0.2    18    50    24    60    12    72 0.48 | transcript=PVP01_0912600.1 | gene=PVP01_0912600 | organism=Plasmodium_vivax_P01 | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=PvP01_09_v2:588703-590150(+) | protein_length=426 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0912600.1-p1   -            426 9829at5820           -            272   3.4e-11   41.5   8.0   2   2   5.2e-14   3.4e-11   41.5   8.0   119   262   105   265    99   274 0.80 | transcript=PVP01_0912600.1 | gene=PVP01_0912600 | organism=Plasmodium_vivax_P01 | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=PvP01_09_v2:588703-590150(+) | protein_length=426 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1459000.1-p1   -            571 9829at5820           -            272   5.8e-09   34.2   9.4   1   1   1.7e-11   1.1e-08   33.3   9.4   132   250   397   514   387   527 0.92 | transcript=PVP01_1459000.1 | gene=PVP01_1459000 | organism=Plasmodium_vivax_P01 | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=PvP01_14_v2:2579586-2581301(+) | protein_length=571 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315200.1-p1   -            559 9829at5820           -            272   6.9e-07   27.4  48.7   1   4   5.4e-08   3.5e-05   21.8   0.4   133   253     6   121     2   125 0.87 | transcript=PVP01_1315200.1 | gene=PVP01_1315200 | organism=Plasmodium_vivax_P01 | gene_product=Hsp70/Hsp90 organizing protein, putative | transcript_product=Hsp70/Hsp90 organizing protein, putative | location=PvP01_13_v2:700803-702482(-) | protein_length=559 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315200.1-p1   -            559 9829at5820           -            272   6.9e-07   27.4  48.7   2   4       2.6   1.7e+03   -3.4   7.9   154   209   120   174   102   231 0.71 | transcript=PVP01_1315200.1 | gene=PVP01_1315200 | organism=Plasmodium_vivax_P01 | gene_product=Hsp70/Hsp90 organizing protein, putative | transcript_product=Hsp70/Hsp90 organizing protein, putative | location=PvP01_13_v2:700803-702482(-) | protein_length=559 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315200.1-p1   -            559 9829at5820           -            272   6.9e-07   27.4  48.7   3   4      0.02        13    3.5  14.6   130   249   235   354   220   362 0.64 | transcript=PVP01_1315200.1 | gene=PVP01_1315200 | organism=Plasmodium_vivax_P01 | gene_product=Hsp70/Hsp90 organizing protein, putative | transcript_product=Hsp70/Hsp90 organizing protein, putative | location=PvP01_13_v2:700803-702482(-) | protein_length=559 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315200.1-p1   -            559 9829at5820           -            272   6.9e-07   27.4  48.7   4   4   2.3e-06    0.0015   16.5  10.7   124   256   366   491   347   502 0.77 | transcript=PVP01_1315200.1 | gene=PVP01_1315200 | organism=Plasmodium_vivax_P01 | gene_product=Hsp70/Hsp90 organizing protein, putative | transcript_product=Hsp70/Hsp90 organizing protein, putative | location=PvP01_13_v2:700803-702482(-) | protein_length=559 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
