#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1135600.1-p1   -           1004 3350at5820           -            688         0 1014.4  61.9   1   6  9.3e-109    1e-105  353.4   6.4     1   214     1   216     1   220 0.98 | transcript=PVP01_1135600.1 | gene=PVP01_1135600 | organism=Plasmodium_vivax_P01 | gene_product=AP-3 complex subunit beta, putative | transcript_product=AP-3 complex subunit beta, putative | location=PvP01_11_v2:1530616-1533630(+) | protein_length=1004 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1135600.1-p1   -           1004 3350at5820           -            688         0 1014.4  61.9   2   6   4.2e-30   4.6e-27   93.4   7.2   211   265   257   311   252   314 0.95 | transcript=PVP01_1135600.1 | gene=PVP01_1135600 | organism=Plasmodium_vivax_P01 | gene_product=AP-3 complex subunit beta, putative | transcript_product=AP-3 complex subunit beta, putative | location=PvP01_11_v2:1530616-1533630(+) | protein_length=1004 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1135600.1-p1   -           1004 3350at5820           -            688         0 1014.4  61.9   3   6  2.8e-128  3.1e-125  417.9  13.5   262   525   362   635   355   641 0.97 | transcript=PVP01_1135600.1 | gene=PVP01_1135600 | organism=Plasmodium_vivax_P01 | gene_product=AP-3 complex subunit beta, putative | transcript_product=AP-3 complex subunit beta, putative | location=PvP01_11_v2:1530616-1533630(+) | protein_length=1004 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1135600.1-p1   -           1004 3350at5820           -            688         0 1014.4  61.9   4   6   2.3e-22   2.5e-19   67.8   0.0   524   590   700   776   692   782 0.90 | transcript=PVP01_1135600.1 | gene=PVP01_1135600 | organism=Plasmodium_vivax_P01 | gene_product=AP-3 complex subunit beta, putative | transcript_product=AP-3 complex subunit beta, putative | location=PvP01_11_v2:1530616-1533630(+) | protein_length=1004 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1135600.1-p1   -           1004 3350at5820           -            688         0 1014.4  61.9   5   6   7.6e-31   8.2e-28   95.9   2.5   585   676   836   955   830   962 0.85 | transcript=PVP01_1135600.1 | gene=PVP01_1135600 | organism=Plasmodium_vivax_P01 | gene_product=AP-3 complex subunit beta, putative | transcript_product=AP-3 complex subunit beta, putative | location=PvP01_11_v2:1530616-1533630(+) | protein_length=1004 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1135600.1-p1   -           1004 3350at5820           -            688         0 1014.4  61.9   6   6    0.0018       1.9    5.4   1.2   672   688   980   996   964   996 0.84 | transcript=PVP01_1135600.1 | gene=PVP01_1135600 | organism=Plasmodium_vivax_P01 | gene_product=AP-3 complex subunit beta, putative | transcript_product=AP-3 complex subunit beta, putative | location=PvP01_11_v2:1530616-1533630(+) | protein_length=1004 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1005700.1-p1   -            934 3350at5820           -            688     4e-39  133.3  38.9   1   1     2e-41   2.2e-38  130.8  38.9    34   488     6   462     1   659 0.87 | transcript=PVP01_1005700.1 | gene=PVP01_1005700 | organism=Plasmodium_vivax_P01 | gene_product=AP-1/2 complex subunit beta, putative | transcript_product=AP-1/2 complex subunit beta, putative | location=PvP01_10_v2:261082-264935(+) | protein_length=934 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0215900.1-p1   -            902 3350at5820           -            688   9.3e-16   56.0  50.4   1   4   1.2e-18   1.3e-15   55.6  11.0    42   204    12   178     7   188 0.79 | transcript=PVP01_0215900.1 | gene=PVP01_0215900 | organism=Plasmodium_vivax_P01 | gene_product=AP-4 complex subunit beta, putative | transcript_product=AP-4 complex subunit beta, putative | location=PvP01_02_v2:673911-677192(-) | protein_length=902 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0215900.1-p1   -            902 3350at5820           -            688   9.3e-16   56.0  50.4   2   4      0.78   8.4e+02   -3.3   5.0    44   122   165   244   138   277 0.65 | transcript=PVP01_0215900.1 | gene=PVP01_0215900 | organism=Plasmodium_vivax_P01 | gene_product=AP-4 complex subunit beta, putative | transcript_product=AP-4 complex subunit beta, putative | location=PvP01_02_v2:673911-677192(-) | protein_length=902 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0215900.1-p1   -            902 3350at5820           -            688   9.3e-16   56.0  50.4   3   4      0.35   3.9e+02   -2.2   0.2   419   475   231   291   217   301 0.69 | transcript=PVP01_0215900.1 | gene=PVP01_0215900 | organism=Plasmodium_vivax_P01 | gene_product=AP-4 complex subunit beta, putative | transcript_product=AP-4 complex subunit beta, putative | location=PvP01_02_v2:673911-677192(-) | protein_length=902 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0215900.1-p1   -            902 3350at5820           -            688   9.3e-16   56.0  50.4   4   4   4.2e-05     0.045   10.8  25.0   350   608   317   582   306   633 0.75 | transcript=PVP01_0215900.1 | gene=PVP01_0215900 | organism=Plasmodium_vivax_P01 | gene_product=AP-4 complex subunit beta, putative | transcript_product=AP-4 complex subunit beta, putative | location=PvP01_02_v2:673911-677192(-) | protein_length=902 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
