#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1145200.1-p1   -            495 6834at5820           -            382  8.5e-203  672.4  21.9   1   3  9.8e-107  2.1e-103  345.2   9.8     2   204     5   222     4   228 0.93 | transcript=PVP01_1145200.1 | gene=PVP01_1145200 | organism=Plasmodium_vivax_P01 | gene_product=phenylalanine--tRNA ligase, putative | transcript_product=phenylalanine--tRNA ligase, putative | location=PvP01_11_v2:1927621-1929108(-) | protein_length=495 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1145200.1-p1   -            495 6834at5820           -            382  8.5e-203  672.4  21.9   2   3   9.2e-16     2e-12   45.8   0.0   197   231   248   282   246   288 0.95 | transcript=PVP01_1145200.1 | gene=PVP01_1145200 | organism=Plasmodium_vivax_P01 | gene_product=phenylalanine--tRNA ligase, putative | transcript_product=phenylalanine--tRNA ligase, putative | location=PvP01_11_v2:1927621-1929108(-) | protein_length=495 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1145200.1-p1   -            495 6834at5820           -            382  8.5e-203  672.4  21.9   3   3   3.6e-89   7.9e-86  287.4   2.0   230   382   331   490   323   490 0.96 | transcript=PVP01_1145200.1 | gene=PVP01_1145200 | organism=Plasmodium_vivax_P01 | gene_product=phenylalanine--tRNA ligase, putative | transcript_product=phenylalanine--tRNA ligase, putative | location=PvP01_11_v2:1927621-1929108(-) | protein_length=495 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1450200.1-p1   -            539 6834at5820           -            382   4.7e-16   57.7  11.2   1   4   0.00069       1.5    6.7   0.2    14    72    62   124    50   137 0.82 | transcript=PVP01_1450200.1 | gene=PVP01_1450200 | organism=Plasmodium_vivax_P01 | gene_product=phenylalanine--tRNA ligase, putative | transcript_product=phenylalanine--tRNA ligase, putative | location=PvP01_14_v2:2192366-2194162(-) | protein_length=539 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1450200.1-p1   -            539 6834at5820           -            382   4.7e-16   57.7  11.2   2   4     2e-17   4.3e-14   51.2   1.8   118   212   200   299   196   312 0.82 | transcript=PVP01_1450200.1 | gene=PVP01_1450200 | organism=Plasmodium_vivax_P01 | gene_product=phenylalanine--tRNA ligase, putative | transcript_product=phenylalanine--tRNA ligase, putative | location=PvP01_14_v2:2192366-2194162(-) | protein_length=539 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1450200.1-p1   -            539 6834at5820           -            382   4.7e-16   57.7  11.2   3   4    0.0063        14    3.5   0.2   258   280   311   333   299   342 0.85 | transcript=PVP01_1450200.1 | gene=PVP01_1450200 | organism=Plasmodium_vivax_P01 | gene_product=phenylalanine--tRNA ligase, putative | transcript_product=phenylalanine--tRNA ligase, putative | location=PvP01_14_v2:2192366-2194162(-) | protein_length=539 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1450200.1-p1   -            539 6834at5820           -            382   4.7e-16   57.7  11.2   4   4     0.087   1.9e+02   -0.2   0.0   330   379   478   531   419   534 0.58 | transcript=PVP01_1450200.1 | gene=PVP01_1450200 | organism=Plasmodium_vivax_P01 | gene_product=phenylalanine--tRNA ligase, putative | transcript_product=phenylalanine--tRNA ligase, putative | location=PvP01_14_v2:2192366-2194162(-) | protein_length=539 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0205300.1-p1   -            569 6834at5820           -            382   8.7e-11   40.4   1.2   1   3      0.25   5.5e+02   -1.8   0.9    78   137   229   291   224   294 0.63 | transcript=PVP01_0205300.1 | gene=PVP01_0205300 | organism=Plasmodium_vivax_P01 | gene_product=phenylalanine--tRNA ligase alpha subunit, putative | transcript_product=phenylalanine--tRNA ligase alpha subunit, putative | location=PvP01_02_v2:236397-238106(-) | protein_length=569 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0205300.1-p1   -            569 6834at5820           -            382   8.7e-11   40.4   1.2   2   3     4e-14   8.7e-11   40.4   1.2     8   211   298   528   294   540 0.74 | transcript=PVP01_0205300.1 | gene=PVP01_0205300 | organism=Plasmodium_vivax_P01 | gene_product=phenylalanine--tRNA ligase alpha subunit, putative | transcript_product=phenylalanine--tRNA ligase alpha subunit, putative | location=PvP01_02_v2:236397-238106(-) | protein_length=569 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0205300.1-p1   -            569 6834at5820           -            382   8.7e-11   40.4   1.2   3   3    0.0056        12    3.7   0.0   258   281   540   563   527   567 0.89 | transcript=PVP01_0205300.1 | gene=PVP01_0205300 | organism=Plasmodium_vivax_P01 | gene_product=phenylalanine--tRNA ligase alpha subunit, putative | transcript_product=phenylalanine--tRNA ligase alpha subunit, putative | location=PvP01_02_v2:236397-238106(-) | protein_length=569 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
