#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0608300.1-p1   -           5267 41at5820             -           4262         0 8495.6 403.6   1  12  1.1e-149  1.2e-146  488.3  41.1     1   304    43   387    43   392 0.92 | transcript=PVP01_0608300.1 | gene=PVP01_0608300 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_06_v2:366178-381981(-) | protein_length=5267 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0608300.1-p1   -           5267 41at5820             -           4262         0 8495.6 403.6   2  12   2.4e-90   2.6e-87  291.3  11.5   301   466   447   616   442   621 0.97 | transcript=PVP01_0608300.1 | gene=PVP01_0608300 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_06_v2:366178-381981(-) | protein_length=5267 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0608300.1-p1   -           5267 41at5820             -           4262         0 8495.6 403.6   3  12  1.2e-203  1.4e-200  667.4  43.6   465   922   667  1198   655  1204 0.91 | transcript=PVP01_0608300.1 | gene=PVP01_0608300 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_06_v2:366178-381981(-) | protein_length=5267 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0608300.1-p1   -           5267 41at5820             -           4262         0 8495.6 403.6   4  12  2.4e-120  2.6e-117  390.9  25.5   921  1157  1298  1553  1294  1559 0.96 | transcript=PVP01_0608300.1 | gene=PVP01_0608300 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_06_v2:366178-381981(-) | protein_length=5267 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0608300.1-p1   -           5267 41at5820             -           4262         0 8495.6 403.6   5  12  3.5e-155  3.8e-152  506.6  23.8  1157  1399  1605  1848  1602  1860 0.98 | transcript=PVP01_0608300.1 | gene=PVP01_0608300 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_06_v2:366178-381981(-) | protein_length=5267 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0608300.1-p1   -           5267 41at5820             -           4262         0 8495.6 403.6   6  12         0         0 1058.0  20.1  1400  1858  1914  2375  1910  2393 0.98 | transcript=PVP01_0608300.1 | gene=PVP01_0608300 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_06_v2:366178-381981(-) | protein_length=5267 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0608300.1-p1   -           5267 41at5820             -           4262         0 8495.6 403.6   7  12  8.4e-174  9.2e-171  568.3   7.1  1857  2125  2443  2713  2437  2716 0.98 | transcript=PVP01_0608300.1 | gene=PVP01_0608300 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_06_v2:366178-381981(-) | protein_length=5267 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0608300.1-p1   -           5267 41at5820             -           4262         0 8495.6 403.6   8  12   5.2e-51   5.6e-48  160.8   9.5  2122  2218  2773  2872  2769  2883 0.94 | transcript=PVP01_0608300.1 | gene=PVP01_0608300 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_06_v2:366178-381981(-) | protein_length=5267 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0608300.1-p1   -           5267 41at5820             -           4262         0 8495.6 403.6   9  12  1.2e-179  1.3e-176  587.8  29.3  2214  2513  2930  3239  2925  3246 0.97 | transcript=PVP01_0608300.1 | gene=PVP01_0608300 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_06_v2:366178-381981(-) | protein_length=5267 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0608300.1-p1   -           5267 41at5820             -           4262         0 8495.6 403.6  10  12         0         0 1751.3  56.6  2510  3313  3298  4111  3288  4113 0.99 | transcript=PVP01_0608300.1 | gene=PVP01_0608300 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_06_v2:366178-381981(-) | protein_length=5267 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0608300.1-p1   -           5267 41at5820             -           4262         0 8495.6 403.6  11  12  3.1e-110  3.4e-107  357.3  10.0  3313  3485  4242  4414  4219  4419 0.97 | transcript=PVP01_0608300.1 | gene=PVP01_0608300 | organism=Plasmodium_vivax_P01 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=PvP01_06_v2:366178-381981(-) | protein_length=5267 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
