#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1466700.1-p1   -            701 5387at5820           -            503  1.6e-227  754.6  48.1   1   4   9.6e-14   1.6e-10   38.8   0.2     1    32     4    35     4    37 0.96 | transcript=PVP01_1466700.1 | gene=PVP01_1466700 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_14_v2:2833922-2836480(-) | protein_length=701 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1466700.1-p1   -            701 5387at5820           -            503  1.6e-227  754.6  48.1   2   4   2.1e-46   3.4e-43  146.5   4.2    31   132    77   179    73   199 0.87 | transcript=PVP01_1466700.1 | gene=PVP01_1466700 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_14_v2:2833922-2836480(-) | protein_length=701 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1466700.1-p1   -            701 5387at5820           -            503  1.6e-227  754.6  48.1   3   4   2.9e-90   4.7e-87  291.3  27.3   103   337   194   448   172   451 0.90 | transcript=PVP01_1466700.1 | gene=PVP01_1466700 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_14_v2:2833922-2836480(-) | protein_length=701 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1466700.1-p1   -            701 5387at5820           -            503  1.6e-227  754.6  48.1   4   4   9.9e-90   1.6e-86  289.5   0.6   334   503   512   684   486   684 0.95 | transcript=PVP01_1466700.1 | gene=PVP01_1466700 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_14_v2:2833922-2836480(-) | protein_length=701 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0617900.1-p1   -            317 5387at5820           -            503   2.3e-07   28.4  37.5   1   3     5e-05     0.081   10.1  12.3   121   194    32   112    17   120 0.70 | transcript=PVP01_0617900.1 | gene=PVP01_0617900 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein 1, putative | transcript_product=leucine-rich repeat protein 1, putative | location=PvP01_06_v2:733029-734520(-) | protein_length=317 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0617900.1-p1   -            317 5387at5820           -            503   2.3e-07   28.4  37.5   2   3     2e-06    0.0033   14.7   3.4   156   255   118   206   112   208 0.82 | transcript=PVP01_0617900.1 | gene=PVP01_0617900 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein 1, putative | transcript_product=leucine-rich repeat protein 1, putative | location=PvP01_06_v2:733029-734520(-) | protein_length=317 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0617900.1-p1   -            317 5387at5820           -            503   2.3e-07   28.4  37.5   3   3   3.8e-06    0.0062   13.7  12.1   104   227   158   277   155   297 0.71 | transcript=PVP01_0617900.1 | gene=PVP01_0617900 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein 1, putative | transcript_product=leucine-rich repeat protein 1, putative | location=PvP01_06_v2:733029-734520(-) | protein_length=317 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1207000.1-p1   -            250 5387at5820           -            503    0.0061   13.8  15.8   1   1   2.9e-06    0.0047   14.1  13.7   125   231    53   159    47   165 0.84 | transcript=PVP01_1207000.1 | gene=PVP01_1207000 | organism=Plasmodium_vivax_P01 | gene_product=centrosomal protein CEP72, putative | transcript_product=centrosomal protein CEP72, putative | location=PvP01_12_v2:284995-286712(-) | protein_length=250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0705200.1-p1   -            414 5387at5820           -            503      0.25    8.5   8.7   1   2    0.0086        14    2.7   1.0   250   330    94   175    75   220 0.71 | transcript=PVP01_0705200.1 | gene=PVP01_0705200 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_07_v2:309385-310629(-) | protein_length=414 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0705200.1-p1   -            414 5387at5820           -            503      0.25    8.5   8.7   2   2   5.9e-05     0.096    9.8   1.4   211   258   272   316   267   343 0.68 | transcript=PVP01_0705200.1 | gene=PVP01_0705200 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_07_v2:309385-310629(-) | protein_length=414 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
