#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1236300.1-p1   -            803 3052at5820           -            646         0 1177.0  90.0   1   2   5.5e-76     9e-73  244.5  36.6     5   225    28   323    25   340 0.84 | transcript=PVP01_1236300.1 | gene=PVP01_1236300 | organism=Plasmodium_vivax_P01 | gene_product=cGMP-specific 3',5'-cyclic phosphodiesterase delta, putative | transcript_product=cGMP-specific 3',5'-cyclic phosphodiesterase delta, putative | location=PvP01_12_v2:1443594-1446876(-) | protein_length=803 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1236300.1-p1   -            803 3052at5820           -            646         0 1177.0  90.0   2   2  6.7e-285  1.1e-281  934.7  45.4   222   646   345   784   339   784 0.97 | transcript=PVP01_1236300.1 | gene=PVP01_1236300 | organism=Plasmodium_vivax_P01 | gene_product=cGMP-specific 3',5'-cyclic phosphodiesterase delta, putative | transcript_product=cGMP-specific 3',5'-cyclic phosphodiesterase delta, putative | location=PvP01_12_v2:1443594-1446876(-) | protein_length=803 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1308600.1-p1   -           1005 3052at5820           -            646   2.3e-43  147.4  18.9   1   4         4   6.5e+03  -10.5   7.3   113   136   301   324   247   347 0.49 | transcript=PVP01_1308600.1 | gene=PVP01_1308600 | organism=Plasmodium_vivax_P01 | gene_product=cGMP-specific 3',5'-cyclic phosphodiesterase alpha, putative | transcript_product=cGMP-specific 3',5'-cyclic phosphodiesterase alpha, putative | location=PvP01_13_v2:400361-403792(+) | protein_length=1005 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1308600.1-p1   -           1005 3052at5820           -            646   2.3e-43  147.4  18.9   2   4         4   6.5e+03   -7.8  10.1   104   172   398   465   378   469 0.66 | transcript=PVP01_1308600.1 | gene=PVP01_1308600 | organism=Plasmodium_vivax_P01 | gene_product=cGMP-specific 3',5'-cyclic phosphodiesterase alpha, putative | transcript_product=cGMP-specific 3',5'-cyclic phosphodiesterase alpha, putative | location=PvP01_13_v2:400361-403792(+) | protein_length=1005 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1308600.1-p1   -           1005 3052at5820           -            646   2.3e-43  147.4  18.9   3   4   1.4e-46   2.3e-43  147.4  18.9   243   499   657   912   592   924 0.87 | transcript=PVP01_1308600.1 | gene=PVP01_1308600 | organism=Plasmodium_vivax_P01 | gene_product=cGMP-specific 3',5'-cyclic phosphodiesterase alpha, putative | transcript_product=cGMP-specific 3',5'-cyclic phosphodiesterase alpha, putative | location=PvP01_13_v2:400361-403792(+) | protein_length=1005 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1308600.1-p1   -           1005 3052at5820           -            646   2.3e-43  147.4  18.9   4   4    0.0024       3.8    4.5   0.3   542   604   921   982   914  1000 0.82 | transcript=PVP01_1308600.1 | gene=PVP01_1308600 | organism=Plasmodium_vivax_P01 | gene_product=cGMP-specific 3',5'-cyclic phosphodiesterase alpha, putative | transcript_product=cGMP-specific 3',5'-cyclic phosphodiesterase alpha, putative | location=PvP01_13_v2:400361-403792(+) | protein_length=1005 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1422300.1-p1   -           1164 3052at5820           -            646     2e-38  131.0  25.9   1   4      0.71   1.2e+03   -3.6   0.7   588   620   241   271   226   289 0.57 | transcript=PVP01_1422300.1 | gene=PVP01_1422300 | organism=Plasmodium_vivax_P01 | gene_product=3',5'-cyclic nucleotide phosphodiesterase beta, putative | transcript_product=3',5'-cyclic nucleotide phosphodiesterase beta, putative | location=PvP01_14_v2:970600-975838(-) | protein_length=1164 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1422300.1-p1   -           1164 3052at5820           -            646     2e-38  131.0  25.9   2   4         4   6.5e+03   -8.5   8.9   142   167   487   512   437   530 0.62 | transcript=PVP01_1422300.1 | gene=PVP01_1422300 | organism=Plasmodium_vivax_P01 | gene_product=3',5'-cyclic nucleotide phosphodiesterase beta, putative | transcript_product=3',5'-cyclic nucleotide phosphodiesterase beta, putative | location=PvP01_14_v2:970600-975838(-) | protein_length=1164 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1422300.1-p1   -           1164 3052at5820           -            646     2e-38  131.0  25.9   3   4   1.3e-41     2e-38  131.0  25.9   193   503   757  1057   716  1062 0.83 | transcript=PVP01_1422300.1 | gene=PVP01_1422300 | organism=Plasmodium_vivax_P01 | gene_product=3',5'-cyclic nucleotide phosphodiesterase beta, putative | transcript_product=3',5'-cyclic nucleotide phosphodiesterase beta, putative | location=PvP01_14_v2:970600-975838(-) | protein_length=1164 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1422300.1-p1   -           1164 3052at5820           -            646     2e-38  131.0  25.9   4   4   0.00028      0.46    7.6   2.0   552   625  1073  1148  1065  1160 0.77 | transcript=PVP01_1422300.1 | gene=PVP01_1422300 | organism=Plasmodium_vivax_P01 | gene_product=3',5'-cyclic nucleotide phosphodiesterase beta, putative | transcript_product=3',5'-cyclic nucleotide phosphodiesterase beta, putative | location=PvP01_14_v2:970600-975838(-) | protein_length=1164 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1422400.1-p1   -            783 3052at5820           -            646   1.7e-29  101.5  14.9   1   4         4   6.5e+03  -12.9  15.2    62   121    68   122    27   198 0.42 | transcript=PVP01_1422400.1 | gene=PVP01_1422400 | organism=Plasmodium_vivax_P01 | gene_product=cGMP-specific 3',5'-cyclic phosphodiesterase gamma, putative | transcript_product=cGMP-specific 3',5'-cyclic phosphodiesterase gamma, putative | location=PvP01_14_v2:979170-982949(+) | protein_length=783 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
