#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0603800.1-p1   -           1606 1282at5820           -            992         0 1371.6  31.6   1   9   3.1e-57   3.4e-54  182.8   0.0     1   162     1   206     1   214 0.81 | transcript=PVP01_0603800.1 | gene=PVP01_0603800 | organism=Plasmodium_vivax_P01 | gene_product=tRNA wybutosine-synthesizing protein, putative | transcript_product=tRNA wybutosine-synthesizing protein, putative | location=PvP01_06_v2:141806-146626(-) | protein_length=1606 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0603800.1-p1   -           1606 1282at5820           -            992         0 1371.6  31.6   2   9   9.6e-48     1e-44  151.4   0.0   169   266   261   367   250   374 0.90 | transcript=PVP01_0603800.1 | gene=PVP01_0603800 | organism=Plasmodium_vivax_P01 | gene_product=tRNA wybutosine-synthesizing protein, putative | transcript_product=tRNA wybutosine-synthesizing protein, putative | location=PvP01_06_v2:141806-146626(-) | protein_length=1606 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0603800.1-p1   -           1606 1282at5820           -            992         0 1371.6  31.6   3   9   4.1e-60   4.5e-57  192.3   0.0   270   398   449   586   444   596 0.92 | transcript=PVP01_0603800.1 | gene=PVP01_0603800 | organism=Plasmodium_vivax_P01 | gene_product=tRNA wybutosine-synthesizing protein, putative | transcript_product=tRNA wybutosine-synthesizing protein, putative | location=PvP01_06_v2:141806-146626(-) | protein_length=1606 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0603800.1-p1   -           1606 1282at5820           -            992         0 1371.6  31.6   4   9   9.3e-25     1e-21   75.3   0.1   396   448   612   664   609   676 0.90 | transcript=PVP01_0603800.1 | gene=PVP01_0603800 | organism=Plasmodium_vivax_P01 | gene_product=tRNA wybutosine-synthesizing protein, putative | transcript_product=tRNA wybutosine-synthesizing protein, putative | location=PvP01_06_v2:141806-146626(-) | protein_length=1606 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0603800.1-p1   -           1606 1282at5820           -            992         0 1371.6  31.6   5   9   2.4e-66   2.6e-63  213.0   4.1   455   593   709   872   704   874 0.92 | transcript=PVP01_0603800.1 | gene=PVP01_0603800 | organism=Plasmodium_vivax_P01 | gene_product=tRNA wybutosine-synthesizing protein, putative | transcript_product=tRNA wybutosine-synthesizing protein, putative | location=PvP01_06_v2:141806-146626(-) | protein_length=1606 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0603800.1-p1   -           1606 1282at5820           -            992         0 1371.6  31.6   6   9   2.5e-37   2.8e-34  116.9   1.1   591   719   951  1114   946  1120 0.83 | transcript=PVP01_0603800.1 | gene=PVP01_0603800 | organism=Plasmodium_vivax_P01 | gene_product=tRNA wybutosine-synthesizing protein, putative | transcript_product=tRNA wybutosine-synthesizing protein, putative | location=PvP01_06_v2:141806-146626(-) | protein_length=1606 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0603800.1-p1   -           1606 1282at5820           -            992         0 1371.6  31.6   7   9      0.14   1.5e+02   -1.4   0.0   699   735  1125  1161  1122  1162 0.72 | transcript=PVP01_0603800.1 | gene=PVP01_0603800 | organism=Plasmodium_vivax_P01 | gene_product=tRNA wybutosine-synthesizing protein, putative | transcript_product=tRNA wybutosine-synthesizing protein, putative | location=PvP01_06_v2:141806-146626(-) | protein_length=1606 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0603800.1-p1   -           1606 1282at5820           -            992         0 1371.6  31.6   8   9  6.3e-111  6.9e-108  360.6   2.2   735   938  1273  1480  1265  1497 0.96 | transcript=PVP01_0603800.1 | gene=PVP01_0603800 | organism=Plasmodium_vivax_P01 | gene_product=tRNA wybutosine-synthesizing protein, putative | transcript_product=tRNA wybutosine-synthesizing protein, putative | location=PvP01_06_v2:141806-146626(-) | protein_length=1606 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0603800.1-p1   -           1606 1282at5820           -            992         0 1371.6  31.6   9   9   3.2e-28   3.4e-25   86.8   0.2   934   992  1541  1603  1536  1603 0.92 | transcript=PVP01_0603800.1 | gene=PVP01_0603800 | organism=Plasmodium_vivax_P01 | gene_product=tRNA wybutosine-synthesizing protein, putative | transcript_product=tRNA wybutosine-synthesizing protein, putative | location=PvP01_06_v2:141806-146626(-) | protein_length=1606 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1240700.1-p1   -            878 1282at5820           -            992   2.3e-11   41.1   0.0   1   4   3.6e-06    0.0039   13.8   0.0   340   412    11    88     2   102 0.74 | transcript=PVP01_1240700.1 | gene=PVP01_1240700 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase containing kelch-like domains, putative | transcript_product=protein phosphatase containing kelch-like domains, putative | location=PvP01_12_v2:1642983-1645747(-) | protein_length=878 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1240700.1-p1   -            878 1282at5820           -            992   2.3e-11   41.1   0.0   2   4   1.8e-07   0.00019   18.1   0.0   475   541   106   172   101   183 0.83 | transcript=PVP01_1240700.1 | gene=PVP01_1240700 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase containing kelch-like domains, putative | transcript_product=protein phosphatase containing kelch-like domains, putative | location=PvP01_12_v2:1642983-1645747(-) | protein_length=878 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
