#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1447300.1-p1   -           2007 760at5820            -           1541         0 2513.5  46.3   1   4   1.2e-22   1.1e-19   68.0   0.0     8    75    11    79     3    86 0.88 | transcript=PVP01_1447300.1 | gene=PVP01_1447300 | organism=Plasmodium_vivax_P01 | gene_product=multidrug resistance-associated protein 2, putative | transcript_product=multidrug resistance-associated protein 2, putative | location=PvP01_14_v2:2052099-2058122(-) | protein_length=2007 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1447300.1-p1   -           2007 760at5820            -           1541         0 2513.5  46.3   2   4  3.7e-188  3.4e-185  616.6   1.0    77   441   109   560    93   569 0.90 | transcript=PVP01_1447300.1 | gene=PVP01_1447300 | organism=Plasmodium_vivax_P01 | gene_product=multidrug resistance-associated protein 2, putative | transcript_product=multidrug resistance-associated protein 2, putative | location=PvP01_14_v2:2052099-2058122(-) | protein_length=2007 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1447300.1-p1   -           2007 760at5820            -           1541         0 2513.5  46.3   3   4   2.1e-85   1.9e-82  276.0   3.1   507   652   705   850   652   959 0.86 | transcript=PVP01_1447300.1 | gene=PVP01_1447300 | organism=Plasmodium_vivax_P01 | gene_product=multidrug resistance-associated protein 2, putative | transcript_product=multidrug resistance-associated protein 2, putative | location=PvP01_14_v2:2052099-2058122(-) | protein_length=2007 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1447300.1-p1   -           2007 760at5820            -           1541         0 2513.5  46.3   4   4         0         0 1558.7  29.3   650  1540   961  2006   937  2007 0.92 | transcript=PVP01_1447300.1 | gene=PVP01_1447300 | organism=Plasmodium_vivax_P01 | gene_product=multidrug resistance-associated protein 2, putative | transcript_product=multidrug resistance-associated protein 2, putative | location=PvP01_14_v2:2052099-2058122(-) | protein_length=2007 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0203000.1-p1   -           1726 760at5820            -           1541         0 1725.4 127.1   1   3   1.9e-12   1.7e-09   34.2   1.1     8    80    12    84     5    93 0.86 | transcript=PVP01_0203000.1 | gene=PVP01_0203000 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter C family member 1, putative, multidrug resistance-associated protein 1, putative | transcript_product=multidrug resistance-associated protein 1, putative | location=PvP01_02_v2:153743-158923(-) | protein_length=1726 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0203000.1-p1   -           1726 760at5820            -           1541         0 1725.4 127.1   2   3  4.2e-123  3.9e-120  400.9  47.0    65   513    96   574    87   593 0.80 | transcript=PVP01_0203000.1 | gene=PVP01_0203000 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter C family member 1, putative, multidrug resistance-associated protein 1, putative | transcript_product=multidrug resistance-associated protein 1, putative | location=PvP01_02_v2:153743-158923(-) | protein_length=1726 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0203000.1-p1   -           1726 760at5820            -           1541         0 1725.4 127.1   3   3         0         0 1297.6  65.0   480  1538   617  1724   578  1726 0.89 | transcript=PVP01_0203000.1 | gene=PVP01_0203000 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter C family member 1, putative, multidrug resistance-associated protein 1, putative | transcript_product=multidrug resistance-associated protein 1, putative | location=PvP01_02_v2:153743-158923(-) | protein_length=1726 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946200.1-p1   -            783 760at5820            -           1541   6.7e-13   45.5   4.4   1   3      0.15   1.4e+02   -1.9   0.2  1359  1388   471   501   464   536 0.84 | transcript=PVP01_0946200.1 | gene=PVP01_0946200 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 3, putative | transcript_product=ABC transporter B family member 3, putative | location=PvP01_09_v2:2021063-2023701(+) | protein_length=783 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946200.1-p1   -            783 760at5820            -           1541   6.7e-13   45.5   4.4   2   3   7.2e-16   6.7e-13   45.5   4.4   468   636   536   715   496   742 0.73 | transcript=PVP01_0946200.1 | gene=PVP01_0946200 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 3, putative | transcript_product=ABC transporter B family member 3, putative | location=PvP01_09_v2:2021063-2023701(+) | protein_length=783 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946200.1-p1   -            783 760at5820            -           1541   6.7e-13   45.5   4.4   3   3     0.025        23    0.7   0.0  1483  1518   742   778   724   782 0.86 | transcript=PVP01_0946200.1 | gene=PVP01_0946200 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 3, putative | transcript_product=ABC transporter B family member 3, putative | location=PvP01_09_v2:2021063-2023701(+) | protein_length=783 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1309000.1-p1   -            918 760at5820            -           1541   2.9e-07   26.8   9.6   1   4     0.032        30    0.3   1.0    52   127   187   265   175   295 0.68 | transcript=PVP01_1309000.1 | gene=PVP01_1309000 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 7, putative | transcript_product=ABC transporter B family member 7, putative | location=PvP01_13_v2:410323-413079(-) | protein_length=918 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1309000.1-p1   -            918 760at5820            -           1541   2.9e-07   26.8   9.6   2   4      0.01       9.5    1.9   0.1  1009  1061   288   340   266   350 0.81 | transcript=PVP01_1309000.1 | gene=PVP01_1309000 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 7, putative | transcript_product=ABC transporter B family member 7, putative | location=PvP01_13_v2:410323-413079(-) | protein_length=918 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1309000.1-p1   -            918 760at5820            -           1541   2.9e-07   26.8   9.6   3   4   7.3e-10   6.8e-07   25.6   0.5  1289  1365   613   689   604   743 0.86 | transcript=PVP01_1309000.1 | gene=PVP01_1309000 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 7, putative | transcript_product=ABC transporter B family member 7, putative | location=PvP01_13_v2:410323-413079(-) | protein_length=918 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1309000.1-p1   -            918 760at5820            -           1541   2.9e-07   26.8   9.6   4   4     0.025        23    0.7   0.0   616   638   812   834   789   870 0.80 | transcript=PVP01_1309000.1 | gene=PVP01_1309000 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 7, putative | transcript_product=ABC transporter B family member 7, putative | location=PvP01_13_v2:410323-413079(-) | protein_length=918 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1214900.1-p1   -            819 760at5820            -           1541   2.9e-06   23.6   0.2   1   4       5.2   4.8e+03   -7.0   7.7   226   388   238   393   202   425 0.62 | transcript=PVP01_1214900.1 | gene=PVP01_1214900 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=PvP01_12_v2:627516-629975(-) | protein_length=819 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1214900.1-p1   -            819 760at5820            -           1541   2.9e-06   23.6   0.2   2   4   3.1e-09   2.9e-06   23.6   0.2  1282  1358   495   571   482   586 0.73 | transcript=PVP01_1214900.1 | gene=PVP01_1214900 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=PvP01_12_v2:627516-629975(-) | protein_length=819 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1214900.1-p1   -            819 760at5820            -           1541   2.9e-06   23.6   0.2   3   4     0.076        71   -0.9   0.0   618   636   714   732   694   745 0.87 | transcript=PVP01_1214900.1 | gene=PVP01_1214900 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=PvP01_12_v2:627516-629975(-) | protein_length=819 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
