#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1329500.1-p1   -           2061 1125at5820           -            967         0 1224.9 201.4   1  14     5e-06     0.033   10.5   0.3     1    22    22    43    22    55 0.88 | transcript=PVP01_1329500.1 | gene=PVP01_1329500 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:1246409-1253045(+) | protein_length=2061 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1329500.1-p1   -           2061 1125at5820           -            967         0 1224.9 201.4   2  14     5e-08   0.00033   17.2   4.5    22    57   109   150    99   163 0.78 | transcript=PVP01_1329500.1 | gene=PVP01_1329500 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:1246409-1253045(+) | protein_length=2061 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1329500.1-p1   -           2061 1125at5820           -            967         0 1224.9 201.4   3  14   4.5e-38   2.9e-34  116.6   5.6    54   145   195   287   186   295 0.89 | transcript=PVP01_1329500.1 | gene=PVP01_1329500 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:1246409-1253045(+) | protein_length=2061 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1329500.1-p1   -           2061 1125at5820           -            967         0 1224.9 201.4   4  14   2.3e-17   1.5e-13   48.1   7.8   129   184   328   383   310   393 0.83 | transcript=PVP01_1329500.1 | gene=PVP01_1329500 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:1246409-1253045(+) | protein_length=2061 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1329500.1-p1   -           2061 1125at5820           -            967         0 1224.9 201.4   5  14      0.17   1.1e+03   -4.4  16.5   147   267   392   512   382   546 0.68 | transcript=PVP01_1329500.1 | gene=PVP01_1329500 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:1246409-1253045(+) | protein_length=2061 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1329500.1-p1   -           2061 1125at5820           -            967         0 1224.9 201.4   6  14   1.8e-06     0.012   12.0   2.1   200   261   692   747   671   764 0.77 | transcript=PVP01_1329500.1 | gene=PVP01_1329500 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:1246409-1253045(+) | protein_length=2061 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1329500.1-p1   -           2061 1125at5820           -            967         0 1224.9 201.4   7  14   2.9e-19   1.9e-15   54.3   2.1   232   298   815   894   807   898 0.87 | transcript=PVP01_1329500.1 | gene=PVP01_1329500 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:1246409-1253045(+) | protein_length=2061 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1329500.1-p1   -           2061 1125at5820           -            967         0 1224.9 201.4   8  14   0.00095       6.2    3.0   0.3   295   317   988  1010   983  1021 0.86 | transcript=PVP01_1329500.1 | gene=PVP01_1329500 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:1246409-1253045(+) | protein_length=2061 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1329500.1-p1   -           2061 1125at5820           -            967         0 1224.9 201.4   9  14   2.5e-59   1.6e-55  187.0  13.9   311   413  1060  1162  1041  1171 0.90 | transcript=PVP01_1329500.1 | gene=PVP01_1329500 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:1246409-1253045(+) | protein_length=2061 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1329500.1-p1   -           2061 1125at5820           -            967         0 1224.9 201.4  10  14   7.6e-07     0.005   13.3   1.0   415   450  1253  1289  1242  1299 0.79 | transcript=PVP01_1329500.1 | gene=PVP01_1329500 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:1246409-1253045(+) | protein_length=2061 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1329500.1-p1   -           2061 1125at5820           -            967         0 1224.9 201.4  11  14   1.4e-25   9.1e-22   75.3   0.0   441   498  1346  1404  1341  1407 0.94 | transcript=PVP01_1329500.1 | gene=PVP01_1329500 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:1246409-1253045(+) | protein_length=2061 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1329500.1-p1   -           2061 1125at5820           -            967         0 1224.9 201.4  12  14   9.2e-59     6e-55  185.1   9.3   493   618  1451  1589  1430  1596 0.87 | transcript=PVP01_1329500.1 | gene=PVP01_1329500 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:1246409-1253045(+) | protein_length=2061 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1329500.1-p1   -           2061 1125at5820           -            967         0 1224.9 201.4  13  14   3.1e-16     2e-12   44.3   0.2   615   661  1626  1676  1623  1701 0.89 | transcript=PVP01_1329500.1 | gene=PVP01_1329500 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:1246409-1253045(+) | protein_length=2061 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1329500.1-p1   -           2061 1125at5820           -            967         0 1224.9 201.4  14  14  2.4e-160  1.6e-156  521.3  51.4   661   967  1707  2056  1693  2056 0.91 | transcript=PVP01_1329500.1 | gene=PVP01_1329500 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:1246409-1253045(+) | protein_length=2061 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1125at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1125at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1125at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:28:54 2026
# [ok]
