#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1217900.1-p1   -            378 10220at5820          -            295  1.6e-173  574.3  46.4   1   3     1e-53   1.4e-50  170.7  17.3     1   114     1   116     1   125 0.86 | transcript=PVP01_1217900.1 | gene=PVP01_1217900 | organism=Plasmodium_vivax_P01 | gene_product=nuclear movement protein, putative | transcript_product=nuclear movement protein, putative | location=PvP01_12_v2:745244-746380(-) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1217900.1-p1   -            378 10220at5820          -            295  1.6e-173  574.3  46.4   2   3    0.0054       7.1    4.2   6.3    66   123   100   164    97   171 0.72 | transcript=PVP01_1217900.1 | gene=PVP01_1217900 | organism=Plasmodium_vivax_P01 | gene_product=nuclear movement protein, putative | transcript_product=nuclear movement protein, putative | location=PvP01_12_v2:745244-746380(-) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1217900.1-p1   -            378 10220at5820          -            295  1.6e-173  574.3  46.4   3   3    4e-126  5.3e-123  408.4  15.3    92   295   176   378   154   378 0.94 | transcript=PVP01_1217900.1 | gene=PVP01_1217900 | organism=Plasmodium_vivax_P01 | gene_product=nuclear movement protein, putative | transcript_product=nuclear movement protein, putative | location=PvP01_12_v2:745244-746380(-) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1427100.1-p1   -            313 10220at5820          -            295   9.1e-30  102.4  26.0   1   2   1.5e-08     2e-05   22.5   0.8     8    48     3    43     1    62 0.87 | transcript=PVP01_1427100.1 | gene=PVP01_1427100 | organism=Plasmodium_vivax_P01 | gene_product=CS domain protein, putative | transcript_product=CS domain protein, putative | location=PvP01_14_v2:1156216-1157752(+) | protein_length=313 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1427100.1-p1   -            313 10220at5820          -            295   9.1e-30  102.4  26.0   2   2     2e-27   2.7e-24   84.4  18.8    53   259    76   295    58   304 0.79 | transcript=PVP01_1427100.1 | gene=PVP01_1427100 | organism=Plasmodium_vivax_P01 | gene_product=CS domain protein, putative | transcript_product=CS domain protein, putative | location=PvP01_14_v2:1156216-1157752(+) | protein_length=313 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0725500.1-p1   -            156 10220at5820          -            295   2.9e-14   51.5   2.4   1   2   4.4e-15   5.8e-12   43.9   0.9   125   216    18   110     8   114 0.90 | transcript=PVP01_0725500.1 | gene=PVP01_0725500 | organism=Plasmodium_vivax_P01 | gene_product=HSP90 co-chaperone p23, putative | transcript_product=HSP90 co-chaperone p23, putative | location=PvP01_07_v2:1099023-1099716(+) | protein_length=156 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0725500.1-p1   -            156 10220at5820          -            295   2.9e-14   51.5   2.4   2   2   0.00014      0.19    9.4   0.0   248   284   107   142   106   153 0.83 | transcript=PVP01_0725500.1 | gene=PVP01_0725500 | organism=Plasmodium_vivax_P01 | gene_product=HSP90 co-chaperone p23, putative | transcript_product=HSP90 co-chaperone p23, putative | location=PvP01_07_v2:1099023-1099716(+) | protein_length=156 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0823700.1-p1   -            883 10220at5820          -            295   3.1e-07   28.4   2.5   1   2       3.2   4.2e+03   -4.9   2.4    69    91   223   247   212   258 0.39 | transcript=PVP01_0823700.1 | gene=PVP01_0823700 | organism=Plasmodium_vivax_P01 | gene_product=CS domain-containing protein, putative | transcript_product=CS domain-containing protein, putative | location=PvP01_08_v2:1055999-1058650(+) | protein_length=883 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0823700.1-p1   -            883 10220at5820          -            295   3.1e-07   28.4   2.5   2   2   2.4e-10   3.1e-07   28.4   2.5    59   189   685   816   660   822 0.70 | transcript=PVP01_0823700.1 | gene=PVP01_0823700 | organism=Plasmodium_vivax_P01 | gene_product=CS domain-containing protein, putative | transcript_product=CS domain-containing protein, putative | location=PvP01_08_v2:1055999-1058650(+) | protein_length=883 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1258300.1-p1   -            321 10220at5820          -            295    0.0035   15.1   1.2   1   2   2.7e-06    0.0035   15.1   1.2    98   163    97   163    61   215 0.79 | transcript=PVP01_1258300.1 | gene=PVP01_1258300 | organism=Plasmodium_vivax_P01 | gene_product=HSP20-like chaperone, putative | transcript_product=HSP20-like chaperone, putative | location=PvP01_12_v2:2399542-2400507(-) | protein_length=321 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1258300.1-p1   -            321 10220at5820          -            295    0.0035   15.1   1.2   2   2      0.25   3.3e+02   -1.2   0.0   203   218   262   277   232   295 0.75 | transcript=PVP01_1258300.1 | gene=PVP01_1258300 | organism=Plasmodium_vivax_P01 | gene_product=HSP20-like chaperone, putative | transcript_product=HSP20-like chaperone, putative | location=PvP01_12_v2:2399542-2400507(-) | protein_length=321 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10220at5820.hmm
