#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1260400.1-p1   -            168 12707at5820          -            166  1.3e-113  375.2   8.2   1   1  4.2e-116  1.5e-113  375.0   8.2     1   166     3   168     3   168 1.00 | transcript=PVP01_1260400.1 | gene=PVP01_1260400 | organism=Plasmodium_vivax_P01 | gene_product=centrin-2, putative | transcript_product=centrin-2, putative | location=PvP01_12_v2:2483484-2484244(+) | protein_length=168 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0207800.1-p1   -            168 12707at5820          -            166   6.9e-48  161.4  11.6   1   1   2.4e-50   8.2e-48  161.1  11.6    13   164    15   166     8   168 0.96 | transcript=PVP01_0207800.1 | gene=PVP01_0207800 | organism=Plasmodium_vivax_P01 | gene_product=centrin-1, putative | transcript_product=centrin-1, putative | location=PvP01_02_v2:328638-329949(-) | protein_length=168 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0612800.1-p1   -            179 12707at5820          -            166   2.7e-42  143.2   8.1   1   1   9.1e-45   3.1e-42  143.0   8.1    16   164    29   177    15   179 0.96 | transcript=PVP01_0612800.1 | gene=PVP01_0612800 | organism=Plasmodium_vivax_P01 | gene_product=centrin-3, putative | transcript_product=centrin-3, putative | location=PvP01_06_v2:553783-555183(-) | protein_length=179 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315300.1-p1   -            149 12707at5820          -            166   6.3e-32  109.5   8.6   1   1   2.1e-34   7.3e-32  109.3   8.6    19   162     5   148     2   149 0.98 | transcript=PVP01_1315300.1 | gene=PVP01_1315300 | organism=Plasmodium_vivax_P01 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=PvP01_13_v2:705695-706693(+) | protein_length=149 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0906300.1-p1   -            167 12707at5820          -            166   8.8e-24   83.0   4.4   1   1   3.4e-26   1.2e-23   82.6   4.4    19   160    11   152     5   156 0.96 | transcript=PVP01_0906300.1 | gene=PVP01_0906300 | organism=Plasmodium_vivax_P01 | gene_product=centrin-4, putative | transcript_product=centrin-4, putative | location=PvP01_09_v2:359830-360606(+) | protein_length=167 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1255300.1-p1   -            177 12707at5820          -            166   2.2e-13   49.1   5.0   1   1   8.6e-16     3e-13   48.7   5.0     9   161    12   165     4   169 0.89 | transcript=PVP01_1255300.1 | gene=PVP01_1255300 | organism=Plasmodium_vivax_P01 | gene_product=calcineurin subunit B, putative | transcript_product=calcineurin subunit B, putative | location=PvP01_12_v2:2267325-2268756(+) | protein_length=177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1216900.1-p1   -            563 12707at5820          -            166   1.3e-07   30.3   3.5   1   1   9.3e-10   3.2e-07   29.1   3.5    20   161   419   560   411   563 0.81 | transcript=PVP01_1216900.1 | gene=PVP01_1216900 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 5, putative | transcript_product=calcium-dependent protein kinase 5, putative | location=PvP01_12_v2:704678-706369(+) | protein_length=563 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0830100.1-p1   -            604 12707at5820          -            166   1.5e-07   30.1   1.1   1   1   1.1e-09   3.6e-07   28.9   1.1    22   160   460   600   438   603 0.79 | transcript=PVP01_0830100.1 | gene=PVP01_0830100 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=PvP01_08_v2:1311078-1313873(-) | protein_length=604 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1143500.1-p1   -            158 12707at5820          -            166   2.2e-07   29.6   5.7   1   2     0.048        16    4.0   0.2    90   125    16    51    11    68 0.78 | transcript=PVP01_1143500.1 | gene=PVP01_1143500 | organism=Plasmodium_vivax_P01 | gene_product=calcium-binding protein, putative | transcript_product=calcium-binding protein, putative | location=PvP01_11_v2:1852030-1852506(+) | protein_length=158 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1143500.1-p1   -            158 12707at5820          -            166   2.2e-07   29.6   5.7   2   2   3.1e-09   1.1e-06   27.4   2.2    75   158    70   153    54   157 0.91 | transcript=PVP01_1143500.1 | gene=PVP01_1143500 | organism=Plasmodium_vivax_P01 | gene_product=calcium-binding protein, putative | transcript_product=calcium-binding protein, putative | location=PvP01_11_v2:1852030-1852506(+) | protein_length=158 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0615900.1-p1   -            236 12707at5820          -            166   8.8e-07   27.7   6.0   1   2   7.9e-07   0.00027   19.6   0.2   100   143    13    56     4    70 0.90 | transcript=PVP01_0615900.1 | gene=PVP01_0615900 | organism=Plasmodium_vivax_P01 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=PvP01_06_v2:665940-666650(+) | protein_length=236 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0615900.1-p1   -            236 12707at5820          -            166   8.8e-07   27.7   6.0   2   2   0.00051      0.18   10.4   1.3    76   146   148   218   136   234 0.86 | transcript=PVP01_0615900.1 | gene=PVP01_0615900 | organism=Plasmodium_vivax_P01 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=PvP01_06_v2:665940-666650(+) | protein_length=236 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0407500.1-p1   -            526 12707at5820          -            166     1e-06   27.4   8.9   1   2    0.0021      0.72    8.4   2.5    86   165   365   452   339   454 0.77 | transcript=PVP01_0407500.1 | gene=PVP01_0407500 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 1, putative | transcript_product=calcium-dependent protein kinase 1, putative | location=PvP01_04_v2:307075-309539(-) | protein_length=526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
