#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1269600.1-p1   -            745 4465at5820           -            535    5e-231  766.8  94.0   1   3  5.2e-149  1.8e-146  487.7  69.9     1   368     1   448     1   452 0.86 | transcript=PVP01_1269600.1 | gene=PVP01_1269600 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_12_v2:2926055-2928596(-) | protein_length=745 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1269600.1-p1   -            745 4465at5820           -            535    5e-231  766.8  94.0   2   3   1.7e-19   5.9e-17   60.3   0.3   362   414   484   545   463   547 0.80 | transcript=PVP01_1269600.1 | gene=PVP01_1269600 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_12_v2:2926055-2928596(-) | protein_length=745 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1269600.1-p1   -            745 4465at5820           -            535    5e-231  766.8  94.0   3   3   1.6e-67   5.6e-65  218.8  10.0   411   534   611   739   606   740 0.94 | transcript=PVP01_1269600.1 | gene=PVP01_1269600 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_12_v2:2926055-2928596(-) | protein_length=745 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1265700.1-p1   -           2433 4465at5820           -            535   3.2e-16   57.9   0.2   1   2   3.3e-06    0.0011   16.4   0.1   229   276   220   266   206   292 0.79 | transcript=PVP01_1265700.1 | gene=PVP01_1265700 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_12_v2:2723739-2731820(-) | protein_length=2433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1265700.1-p1   -           2433 4465at5820           -            535   3.2e-16   57.9   0.2   2   2   4.9e-13   1.7e-10   39.0   0.0   418   533   278   403   272   405 0.75 | transcript=PVP01_1265700.1 | gene=PVP01_1265700 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_12_v2:2723739-2731820(-) | protein_length=2433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0830100.1-p1   -            604 4465at5820           -            535   1.1e-11   42.9   2.2   1   3      0.42   1.4e+02   -0.4   0.3   155   188   199   232   175   239 0.74 | transcript=PVP01_0830100.1 | gene=PVP01_0830100 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=PvP01_08_v2:1311078-1313873(-) | protein_length=604 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0830100.1-p1   -            604 4465at5820           -            535   1.1e-11   42.9   2.2   2   3   9.3e-05     0.032   11.7   0.1   219   262   247   290   241   298 0.89 | transcript=PVP01_0830100.1 | gene=PVP01_0830100 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=PvP01_08_v2:1311078-1313873(-) | protein_length=604 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0830100.1-p1   -            604 4465at5820           -            535   1.1e-11   42.9   2.2   3   3   4.3e-10   1.5e-07   29.3   0.0   416   534   296   418   289   419 0.81 | transcript=PVP01_0830100.1 | gene=PVP01_0830100 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=PvP01_08_v2:1311078-1313873(-) | protein_length=604 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0313300.1-p1   -            529 4465at5820           -            535   3.2e-11   41.4   8.6   1   2     0.001      0.35    8.2   7.5   205   271   147   209    57   235 0.77 | transcript=PVP01_0313300.1 | gene=PVP01_0313300 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=PvP01_03_v2:573121-574875(+) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0313300.1-p1   -            529 4465at5820           -            535   3.2e-11   41.4   8.6   2   2   1.2e-10   4.1e-08   31.1   0.2   415   531   210   329   204   333 0.83 | transcript=PVP01_0313300.1 | gene=PVP01_0313300 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=PvP01_03_v2:573121-574875(+) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0831000.1-p1   -           1602 4465at5820           -            535   4.4e-11   40.9   2.3   1   2   4.3e-07   0.00015   19.4   3.1   153   296  1374  1503  1363  1511 0.79 | transcript=PVP01_0831000.1 | gene=PVP01_0831000 | organism=Plasmodium_vivax_P01 | gene_product=aurora-related kinase ARK2, putative | transcript_product=aurora-related kinase ARK2, putative | location=PvP01_08_v2:1339289-1344608(+) | protein_length=1602 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
