#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1439700.1-p1   -            563 6193at5820           -            407  1.3e-217  721.2  62.2   1   3   8.1e-11   1.3e-07   29.6   1.4     6    37     8    42     3    56 0.79 | transcript=PVP01_1439700.1 | gene=PVP01_1439700 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1h, putative | transcript_product=inner membrane complex protein 1h, putative | location=PvP01_14_v2:1695387-1697078(+) | protein_length=563 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1439700.1-p1   -            563 6193at5820           -            407  1.3e-217  721.2  62.2   2   3  2.2e-143  3.7e-140  466.2  41.6    36   255    88   311    60   365 0.93 | transcript=PVP01_1439700.1 | gene=PVP01_1439700 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1h, putative | transcript_product=inner membrane complex protein 1h, putative | location=PvP01_14_v2:1695387-1697078(+) | protein_length=563 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1439700.1-p1   -            563 6193at5820           -            407  1.3e-217  721.2  62.2   3   3   1.2e-72     2e-69  233.2   5.1   263   407   375   562   347   562 0.85 | transcript=PVP01_1439700.1 | gene=PVP01_1439700 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1h, putative | transcript_product=inner membrane complex protein 1h, putative | location=PvP01_14_v2:1695387-1697078(+) | protein_length=563 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0836100.1-p1   -            530 6193at5820           -            407   1.5e-07   29.4  31.9   1   3   9.1e-11   1.5e-07   29.4  31.9   123   221    96   188    88   191 0.85 | transcript=PVP01_0836100.1 | gene=PVP01_0836100 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1e, putative | transcript_product=inner membrane complex protein 1e, putative | location=PvP01_08_v2:1524622-1526214(-) | protein_length=530 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0836100.1-p1   -            530 6193at5820           -            407   1.5e-07   29.4  31.9   2   3   3.2e-05     0.052   11.2  18.5   164   218   187   239   186   260 0.85 | transcript=PVP01_0836100.1 | gene=PVP01_0836100 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1e, putative | transcript_product=inner membrane complex protein 1e, putative | location=PvP01_08_v2:1524622-1526214(-) | protein_length=530 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0836100.1-p1   -            530 6193at5820           -            407   1.5e-07   29.4  31.9   3   3         4   6.5e+03   -9.0  13.1   136   221   251   336   241   451 0.63 | transcript=PVP01_0836100.1 | gene=PVP01_0836100 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1e, putative | transcript_product=inner membrane complex protein 1e, putative | location=PvP01_08_v2:1524622-1526214(-) | protein_length=530 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1008000.1-p1   -            301 6193at5820           -            407   2.7e-07   28.6  35.1   1   1   3.8e-10   6.2e-07   27.4  35.1   105   303    30   225    22   252 0.73 | transcript=PVP01_1008000.1 | gene=PVP01_1008000 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1g, putative | transcript_product=inner membrane complex protein 1g, putative | location=PvP01_10_v2:356001-356906(-) | protein_length=301 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0803400.1-p1   -            286 6193at5820           -            407    0.0013   16.4  34.0   1   3   0.00038      0.62    7.6   5.5   121   149    48    76    32    78 0.80 | transcript=PVP01_0803400.1 | gene=PVP01_0803400 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1c, putative | transcript_product=inner membrane complex protein 1c, putative | location=PvP01_08_v2:165145-166005(+) | protein_length=286 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0803400.1-p1   -            286 6193at5820           -            407    0.0013   16.4  34.0   2   3   8.3e-07    0.0013   16.4  34.0   111   215    52   158    43   166 0.79 | transcript=PVP01_0803400.1 | gene=PVP01_0803400 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1c, putative | transcript_product=inner membrane complex protein 1c, putative | location=PvP01_08_v2:165145-166005(+) | protein_length=286 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0803400.1-p1   -            286 6193at5820           -            407    0.0013   16.4  34.0   3   3         1   1.7e+03   -3.7   1.4   273   304   203   234   179   240 0.42 | transcript=PVP01_0803400.1 | gene=PVP01_0803400 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1c, putative | transcript_product=inner membrane complex protein 1c, putative | location=PvP01_08_v2:165145-166005(+) | protein_length=286 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
