#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1422100.1-p1   -           3029 254at5820            -           2098         0 3284.5 367.8   1  14     8e-26   5.2e-22   75.6   2.7     1    59     1    59     1    64 0.97 | transcript=PVP01_1422100.1 | gene=PVP01_1422100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:956959-966048(-) | protein_length=3029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1422100.1-p1   -           3029 254at5820            -           2098         0 3284.5 367.8   2  14   2.4e-92   1.5e-88  296.2  28.7    57   239    94   292    86   302 0.92 | transcript=PVP01_1422100.1 | gene=PVP01_1422100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:956959-966048(-) | protein_length=3029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1422100.1-p1   -           3029 254at5820            -           2098         0 3284.5 367.8   3  14   5.3e-58   3.5e-54  182.3   8.8   237   340   375   478   367   490 0.97 | transcript=PVP01_1422100.1 | gene=PVP01_1422100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:956959-966048(-) | protein_length=3029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1422100.1-p1   -           3029 254at5820            -           2098         0 3284.5 367.8   4  14  5.4e-108  3.5e-104  348.1  38.1   337   541   625   833   614   841 0.94 | transcript=PVP01_1422100.1 | gene=PVP01_1422100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:956959-966048(-) | protein_length=3029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1422100.1-p1   -           3029 254at5820            -           2098         0 3284.5 367.8   5  14   1.1e-75   7.4e-72  240.9  26.9   543   714   881  1072   854  1084 0.80 | transcript=PVP01_1422100.1 | gene=PVP01_1422100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:956959-966048(-) | protein_length=3029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1422100.1-p1   -           3029 254at5820            -           2098         0 3284.5 367.8   6  14   8.6e-80   5.6e-76  254.5  10.4   719   864  1141  1289  1129  1303 0.95 | transcript=PVP01_1422100.1 | gene=PVP01_1422100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:956959-966048(-) | protein_length=3029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1422100.1-p1   -           3029 254at5820            -           2098         0 3284.5 367.8   7  14     1e-83   6.7e-80  267.5  15.5   853  1040  1331  1556  1330  1559 0.87 | transcript=PVP01_1422100.1 | gene=PVP01_1422100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:956959-966048(-) | protein_length=3029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1422100.1-p1   -           3029 254at5820            -           2098         0 3284.5 367.8   8  14   1.6e-43     1e-39  134.3   1.5  1039  1113  1590  1664  1583  1681 0.95 | transcript=PVP01_1422100.1 | gene=PVP01_1422100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:956959-966048(-) | protein_length=3029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1422100.1-p1   -           3029 254at5820            -           2098         0 3284.5 367.8   9  14   6.9e-10   4.5e-06   22.7   0.1  1114  1148  1706  1740  1701  1746 0.92 | transcript=PVP01_1422100.1 | gene=PVP01_1422100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:956959-966048(-) | protein_length=3029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1422100.1-p1   -           3029 254at5820            -           2098         0 3284.5 367.8  10  14  1.6e-137  1.1e-133  446.0  42.8  1147  1378  1774  2012  1768  2018 0.96 | transcript=PVP01_1422100.1 | gene=PVP01_1422100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:956959-966048(-) | protein_length=3029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1422100.1-p1   -           3029 254at5820            -           2098         0 3284.5 367.8  11  14  8.1e-115  5.3e-111  370.7  35.3  1376  1600  2072  2298  2066  2304 0.98 | transcript=PVP01_1422100.1 | gene=PVP01_1422100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:956959-966048(-) | protein_length=3029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
