#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1464900.1-p1   -            621 5171at5820           -            438  3.8e-213  706.7   7.8   1   3   2.4e-83   8.7e-81  270.5   0.0     1   180    16   215    16   220 0.90 | transcript=PVP01_1464900.1 | gene=PVP01_1464900 | organism=Plasmodium_vivax_P01 | gene_product=dipeptidyl aminopeptidase 2, putative | transcript_product=dipeptidyl aminopeptidase 2, putative | location=PvP01_14_v2:2775108-2778357(+) | protein_length=621 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1464900.1-p1   -            621 5171at5820           -            438  3.8e-213  706.7   7.8   2   3   7.7e-60   2.8e-57  193.0   0.0   178   307   239   387   227   410 0.86 | transcript=PVP01_1464900.1 | gene=PVP01_1464900 | organism=Plasmodium_vivax_P01 | gene_product=dipeptidyl aminopeptidase 2, putative | transcript_product=dipeptidyl aminopeptidase 2, putative | location=PvP01_14_v2:2775108-2778357(+) | protein_length=621 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1464900.1-p1   -            621 5171at5820           -            438  3.8e-213  706.7   7.8   3   3   2.5e-75   9.2e-73  244.1   3.5   305   438   417   563   394   563 0.91 | transcript=PVP01_1464900.1 | gene=PVP01_1464900 | organism=Plasmodium_vivax_P01 | gene_product=dipeptidyl aminopeptidase 2, putative | transcript_product=dipeptidyl aminopeptidase 2, putative | location=PvP01_14_v2:2775108-2778357(+) | protein_length=621 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0917300.1-p1   -            690 5171at5820           -            438   3.9e-88  294.7  18.7   1   3   1.8e-28   6.4e-26   89.7   2.6     3   196    24   231    22   240 0.78 | transcript=PVP01_0917300.1 | gene=PVP01_0917300 | organism=Plasmodium_vivax_P01 | gene_product=dipeptidyl aminopeptidase 1, putative | transcript_product=dipeptidyl aminopeptidase 1, putative | location=PvP01_09_v2:769482-771554(-) | protein_length=690 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0917300.1-p1   -            690 5171at5820           -            438   3.9e-88  294.7  18.7   2   3   1.2e-27   4.4e-25   86.9   0.1   208   307   356   460   340   470 0.81 | transcript=PVP01_0917300.1 | gene=PVP01_0917300 | organism=Plasmodium_vivax_P01 | gene_product=dipeptidyl aminopeptidase 1, putative | transcript_product=dipeptidyl aminopeptidase 1, putative | location=PvP01_09_v2:769482-771554(-) | protein_length=690 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0917300.1-p1   -            690 5171at5820           -            438   3.9e-88  294.7  18.7   3   3   1.2e-39   4.5e-37  126.4   3.7   307   438   532   678   519   678 0.81 | transcript=PVP01_0917300.1 | gene=PVP01_0917300 | organism=Plasmodium_vivax_P01 | gene_product=dipeptidyl aminopeptidase 1, putative | transcript_product=dipeptidyl aminopeptidase 1, putative | location=PvP01_09_v2:769482-771554(-) | protein_length=690 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0304100.1-p1   -            762 5171at5820           -            438   1.2e-26   92.1  19.1   1   4   7.5e-07   0.00027   18.4   0.2     2   122    15   144    14   151 0.70 | transcript=PVP01_0304100.1 | gene=PVP01_0304100 | organism=Plasmodium_vivax_P01 | gene_product=dipeptidyl aminopeptidase 3, putative | transcript_product=dipeptidyl aminopeptidase 3, putative | location=PvP01_03_v2:220119-222535(-) | protein_length=762 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0304100.1-p1   -            762 5171at5820           -            438   1.2e-26   92.1  19.1   2   4   9.7e-15   3.5e-12   44.4   2.6   234   311   378   456   370   487 0.83 | transcript=PVP01_0304100.1 | gene=PVP01_0304100 | organism=Plasmodium_vivax_P01 | gene_product=dipeptidyl aminopeptidase 3, putative | transcript_product=dipeptidyl aminopeptidase 3, putative | location=PvP01_03_v2:220119-222535(-) | protein_length=762 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0304100.1-p1   -            762 5171at5820           -            438   1.2e-26   92.1  19.1   3   4   7.2e-06    0.0026   15.2   0.1   324   393   617   683   608   707 0.78 | transcript=PVP01_0304100.1 | gene=PVP01_0304100 | organism=Plasmodium_vivax_P01 | gene_product=dipeptidyl aminopeptidase 3, putative | transcript_product=dipeptidyl aminopeptidase 3, putative | location=PvP01_03_v2:220119-222535(-) | protein_length=762 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0304100.1-p1   -            762 5171at5820           -            438   1.2e-26   92.1  19.1   4   4   1.6e-08   5.7e-06   23.9   0.9   391   427   715   751   711   759 0.88 | transcript=PVP01_0304100.1 | gene=PVP01_0304100 | organism=Plasmodium_vivax_P01 | gene_product=dipeptidyl aminopeptidase 3, putative | transcript_product=dipeptidyl aminopeptidase 3, putative | location=PvP01_03_v2:220119-222535(-) | protein_length=762 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0916100.1-p1   -            495 5171at5820           -            438   2.5e-13   48.2   9.0   1   1     2e-15   7.2e-13   46.7   9.0   234   416   283   471   263   477 0.74 | transcript=PVP01_0916100.1 | gene=PVP01_0916100 | organism=Plasmodium_vivax_P01 | gene_product=vivapain-3 | transcript_product=vivapain-3 | location=PvP01_09_v2:726694-728181(-) | protein_length=495 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0916200.1-p1   -            487 5171at5820           -            438   4.3e-13   47.4   7.8   1   2       2.6   9.4e+02   -3.2   0.1    62    80   188   206   131   210 0.60 | transcript=PVP01_0916200.1 | gene=PVP01_0916200 | organism=Plasmodium_vivax_P01 | gene_product=vivapain-2 | transcript_product=vivapain-2 | location=PvP01_09_v2:730476-731939(-) | protein_length=487 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0916200.1-p1   -            487 5171at5820           -            438   4.3e-13   47.4   7.8   2   2   1.2e-15   4.3e-13   47.4   7.8   235   420   278   469   244   473 0.76 | transcript=PVP01_0916200.1 | gene=PVP01_0916200 | organism=Plasmodium_vivax_P01 | gene_product=vivapain-2 | transcript_product=vivapain-2 | location=PvP01_09_v2:730476-731939(-) | protein_length=487 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1248900.1-p1   -            583 5171at5820           -            438   2.8e-10   38.2  19.6   1   2   2.6e-09   9.6e-07   26.5  12.8   227   393   345   505   218   533 0.67 | transcript=PVP01_1248900.1 | gene=PVP01_1248900 | organism=Plasmodium_vivax_P01 | gene_product=vivapain-1, cysteine proteinase precursor | transcript_product=vivapain-1 | location=PvP01_12_v2:1981790-1983541(-) | protein_length=583 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1248900.1-p1   -            583 5171at5820           -            438   2.8e-10   38.2  19.6   2   2   1.2e-05    0.0042   14.5   0.5   395   418   541   564   535   578 0.88 | transcript=PVP01_1248900.1 | gene=PVP01_1248900 | organism=Plasmodium_vivax_P01 | gene_product=vivapain-1, cysteine proteinase precursor | transcript_product=vivapain-1 | location=PvP01_12_v2:1981790-1983541(-) | protein_length=583 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0916000.1-p1   -            484 5171at5820           -            438     3e-09   34.7  10.7   1   1   8.8e-11   3.2e-08   31.4  10.7   227   415   268   462   136   469 0.72 | transcript=PVP01_0916000.1 | gene=PVP01_0916000 | organism=Plasmodium_vivax_P01 | gene_product=vivapain-2 | transcript_product=vivapain-2 | location=PvP01_09_v2:722356-723810(-) | protein_length=484 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0416800.1-p1   -           1014 5171at5820           -            438     8e-07   26.7   0.4   1   1   4.6e-09   1.7e-06   25.7   0.4   355   416   667   743   656   764 0.68 | transcript=PVP01_0416800.1 | gene=PVP01_0416800 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen 2 (SERA) | transcript_product=serine-repeat antigen 2 (SERA) | location=PvP01_04_v2:685685-689183(+) | protein_length=1014 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
