#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0727700.1-p1   -            287 12230at5820          -            218  1.9e-116  385.8  32.5   1   3   1.7e-61     1e-58  197.1  19.8     1   131     1   137     1   146 0.91 | transcript=PVP01_0727700.1 | gene=PVP01_0727700 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_07_v2:1172908-1174656(+) | protein_length=287 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0727700.1-p1   -            287 12230at5820          -            218  1.9e-116  385.8  32.5   2   3     0.093        55    1.8   1.7   117   132   149   167   139   171 0.78 | transcript=PVP01_0727700.1 | gene=PVP01_0727700 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_07_v2:1172908-1174656(+) | protein_length=287 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0727700.1-p1   -            287 12230at5820          -            218  1.9e-116  385.8  32.5   3   3     1e-60   6.1e-58  194.6   0.2   124   218   193   287   184   287 0.95 | transcript=PVP01_0727700.1 | gene=PVP01_0727700 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_07_v2:1172908-1174656(+) | protein_length=287 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0522500.1-p1   -            480 12230at5820          -            218   2.4e-11   42.2   0.1   1   2       2.3   1.4e+03   -2.7   1.1   122   137   194   209   173   248 0.73 | transcript=PVP01_0522500.1 | gene=PVP01_0522500 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_05_v2:905760-908099(-) | protein_length=480 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0522500.1-p1   -            480 12230at5820          -            218   2.4e-11   42.2   0.1   2   2     4e-14   2.4e-11   42.2   0.1   134   215   399   479   359   480 0.80 | transcript=PVP01_0522500.1 | gene=PVP01_0522500 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_05_v2:905760-908099(-) | protein_length=480 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0920400.1-p1   -            208 12230at5820          -            218   6.9e-08   30.9   1.9   1   2     4e-09   2.4e-06   25.9   0.3   141   208     8    75     2    84 0.90 | transcript=PVP01_0920400.1 | gene=PVP01_0920400 | organism=Plasmodium_vivax_P01 | gene_product=alternative splicing factor ASF-1, putative | transcript_product=alternative splicing factor ASF-1, putative | location=PvP01_09_v2:887374-888000(-) | protein_length=208 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0920400.1-p1   -            208 12230at5820          -            218   6.9e-08   30.9   1.9   2   2     0.013         8    4.6   0.0    40    95   120   175    93   185 0.80 | transcript=PVP01_0920400.1 | gene=PVP01_0920400 | organism=Plasmodium_vivax_P01 | gene_product=alternative splicing factor ASF-1, putative | transcript_product=alternative splicing factor ASF-1, putative | location=PvP01_09_v2:887374-888000(-) | protein_length=208 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1111100.1-p1   -            392 12230at5820          -            218   6.5e-07   27.7  16.0   1   3   1.3e-09   7.4e-07   27.6   6.3    40   215    18   193     4   196 0.77 | transcript=PVP01_1111100.1 | gene=PVP01_1111100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_11_v2:447981-450642(+) | protein_length=392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1111100.1-p1   -            392 12230at5820          -            218   6.5e-07   27.7  16.0   2   3     0.002       1.2    7.2   0.0   140   203   208   271   196   284 0.83 | transcript=PVP01_1111100.1 | gene=PVP01_1111100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_11_v2:447981-450642(+) | protein_length=392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1111100.1-p1   -            392 12230at5820          -            218   6.5e-07   27.7  16.0   3   3       6.7     4e+03   -4.3   0.7    60    85   359   385   344   388 0.58 | transcript=PVP01_1111100.1 | gene=PVP01_1111100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_11_v2:447981-450642(+) | protein_length=392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0806500.1-p1   -            250 12230at5820          -            218   5.2e-05   21.5   0.0   1   2    0.0012       0.7    8.0   0.0   141   213    21    93     4    97 0.85 | transcript=PVP01_0806500.1 | gene=PVP01_0806500 | organism=Plasmodium_vivax_P01 | gene_product=G-strand-binding protein 2, putative | transcript_product=G-strand-binding protein 2, putative | location=PvP01_08_v2:283268-284886(+) | protein_length=250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
