#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0819900.1-p1   -            535 5306at5820           -            502         0 1088.5  28.3   1   1         0         0 1082.2  28.3     1   502     1   535     1   535 0.97 | transcript=PVP01_0819900.1 | gene=PVP01_0819900 | organism=Plasmodium_vivax_P01 | gene_product=T-complex protein 1 subunit epsilon, putative | transcript_product=T-complex protein 1 subunit epsilon, putative | location=PvP01_08_v2:879599-881206(-) | protein_length=535 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1114100.1-p1   -            529 5306at5820           -            502   2.6e-77  259.0  24.0   1   1     6e-80   4.3e-77  258.3  24.0    24   496    18   526     9   529 0.85 | transcript=PVP01_1114100.1 | gene=PVP01_1114100 | organism=Plasmodium_vivax_P01 | gene_product=T-complex protein 1, delta subunit, putative | transcript_product=T-complex protein 1, delta subunit, putative | location=PvP01_11_v2:606928-609269(-) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0833400.1-p1   -            532 5306at5820           -            502   3.5e-73  245.4  14.4   1   1   4.2e-75     3e-72  242.3  14.4    27   497    20   523     8   527 0.87 | transcript=PVP01_0833400.1 | gene=PVP01_0833400 | organism=Plasmodium_vivax_P01 | gene_product=T-complex protein 1 subunit beta, putative | transcript_product=T-complex protein 1 subunit beta, putative | location=PvP01_08_v2:1424407-1426005(+) | protein_length=532 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0832000.1-p1   -            540 5306at5820           -            502   1.6e-71  239.9  19.3   1   1   2.7e-72     2e-69  233.0  19.3    11   497     8   525     4   530 0.86 | transcript=PVP01_0832000.1 | gene=PVP01_0832000 | organism=Plasmodium_vivax_P01 | gene_product=T-complex protein 1 subunit eta, putative | transcript_product=T-complex protein 1 subunit eta, putative | location=PvP01_08_v2:1369899-1371678(+) | protein_length=540 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0933000.1-p1   -            543 5306at5820           -            502   5.8e-70  234.8  11.4   1   1   1.3e-71   9.6e-69  230.8  11.4    24   497    11   532     6   537 0.82 | transcript=PVP01_0933000.1 | gene=PVP01_0933000 | organism=Plasmodium_vivax_P01 | gene_product=T-complex protein 1 subunit alpha, putative | transcript_product=T-complex protein 1 subunit alpha, putative | location=PvP01_09_v2:1413429-1415302(-) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1447600.1-p1   -            544 5306at5820           -            502   2.2e-67  226.2  19.5   1   1   6.4e-70   4.6e-67  225.2  19.5    17   497    12   527     4   530 0.88 | transcript=PVP01_1447600.1 | gene=PVP01_1447600 | organism=Plasmodium_vivax_P01 | gene_product=T-complex protein 1 subunit gamma, putative | transcript_product=T-complex protein 1 subunit gamma, putative | location=PvP01_14_v2:2070243-2072059(+) | protein_length=544 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1140200.1-p1   -            543 5306at5820           -            502   8.4e-42  141.9  20.4   1   1   1.8e-43   1.3e-40  137.9  20.4    26   497    16   534     3   538 0.78 | transcript=PVP01_1140200.1 | gene=PVP01_1140200 | organism=Plasmodium_vivax_P01 | gene_product=T-complex protein 1 subunit zeta, putative | transcript_product=T-complex protein 1 subunit zeta, putative | location=PvP01_11_v2:1716030-1717840(-) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0410900.1-p1   -            544 5306at5820           -            502     5e-40  136.0  27.2   1   1   1.2e-42   8.8e-40  135.2  27.2    27   497    24   524     8   528 0.79 | transcript=PVP01_0410900.1 | gene=PVP01_0410900 | organism=Plasmodium_vivax_P01 | gene_product=T-complex protein 1 subunit theta, putative | transcript_product=T-complex protein 1 subunit theta, putative | location=PvP01_04_v2:447288-449168(-) | protein_length=544 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0815700.1-p1   -            580 5306at5820           -            502   6.5e-11   40.0  10.2   1   2   1.4e-10     1e-07   29.4   2.2    25   206    38   222    21   268 0.73 | transcript=PVP01_0815700.1 | gene=PVP01_0815700 | organism=Plasmodium_vivax_P01 | gene_product=heat shock protein 60, putative | transcript_product=heat shock protein 60, putative | location=PvP01_08_v2:692390-694405(-) | protein_length=580 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0815700.1-p1   -            580 5306at5820           -            502   6.5e-11   40.0  10.2   2   2   3.3e-06    0.0024   15.0   1.2   358   486   411   542   399   556 0.68 | transcript=PVP01_0815700.1 | gene=PVP01_0815700 | organism=Plasmodium_vivax_P01 | gene_product=heat shock protein 60, putative | transcript_product=heat shock protein 60, putative | location=PvP01_08_v2:692390-694405(-) | protein_length=580 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
