#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1441300.1-p1   -            440 8774at5820           -            361  9.6e-199  658.2  31.2   1   2   4.3e-10   9.4e-07   26.5   5.0     1    70     1    79     1    95 0.85 | transcript=PVP01_1441300.1 | gene=PVP01_1441300 | organism=Plasmodium_vivax_P01 | gene_product=cAMP-dependent protein kinase regulatory subunit, putative | transcript_product=cAMP-dependent protein kinase regulatory subunit, putative | location=PvP01_14_v2:1788405-1790686(-) | protein_length=440 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1441300.1-p1   -            440 8774at5820           -            361  9.6e-199  658.2  31.2   2   2  9.7e-196  2.1e-192  637.3  18.7    37   361   100   440    83   440 0.94 | transcript=PVP01_1441300.1 | gene=PVP01_1441300 | organism=Plasmodium_vivax_P01 | gene_product=cAMP-dependent protein kinase regulatory subunit, putative | transcript_product=cAMP-dependent protein kinase regulatory subunit, putative | location=PvP01_14_v2:1788405-1790686(-) | protein_length=440 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1312900.1-p1   -            854 8774at5820           -            361   2.2e-50  170.1  11.9   1   3   7.2e-36   1.6e-32  111.4   3.2    54   342     2   287     1   297 0.87 | transcript=PVP01_1312900.1 | gene=PVP01_1312900 | organism=Plasmodium_vivax_P01 | gene_product=cGMP-dependent protein kinase | transcript_product=cGMP-dependent protein kinase | location=PvP01_13_v2:580904-584724(+) | protein_length=854 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1312900.1-p1   -            854 8774at5820           -            361   2.2e-50  170.1  11.9   2   3   2.7e-05     0.059   10.8   0.5   254   332   319   398   287   417 0.75 | transcript=PVP01_1312900.1 | gene=PVP01_1312900 | organism=Plasmodium_vivax_P01 | gene_product=cGMP-dependent protein kinase | transcript_product=cGMP-dependent protein kinase | location=PvP01_13_v2:580904-584724(+) | protein_length=854 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1312900.1-p1   -            854 8774at5820           -            361   2.2e-50  170.1  11.9   3   3   2.7e-18   5.8e-15   53.5   0.1   106   217   412   520   399   533 0.85 | transcript=PVP01_1312900.1 | gene=PVP01_1312900 | organism=Plasmodium_vivax_P01 | gene_product=cGMP-dependent protein kinase | transcript_product=cGMP-dependent protein kinase | location=PvP01_13_v2:580904-584724(+) | protein_length=854 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1331500.1-p1   -           3356 8774at5820           -            361     6e-28   96.3  48.8   1   7         3   6.5e+03   -6.5   9.9    30    72   733   776   713   852 0.69 | transcript=PVP01_1331500.1 | gene=PVP01_1331500 | organism=Plasmodium_vivax_P01 | gene_product=rap guanine nucleotide exchange factor, putative | transcript_product=rap guanine nucleotide exchange factor, putative | location=PvP01_13_v2:1333051-1344140(-) | protein_length=3356 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1331500.1-p1   -           3356 8774at5820           -            361     6e-28   96.3  48.8   2   7      0.33   7.3e+02   -2.7   0.1   102   145  1815  1858  1802  1866 0.81 | transcript=PVP01_1331500.1 | gene=PVP01_1331500 | organism=Plasmodium_vivax_P01 | gene_product=rap guanine nucleotide exchange factor, putative | transcript_product=rap guanine nucleotide exchange factor, putative | location=PvP01_13_v2:1333051-1344140(-) | protein_length=3356 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1331500.1-p1   -           3356 8774at5820           -            361     6e-28   96.3  48.8   3   7   4.9e-08   0.00011   19.8   0.5   133   222  1980  2069  1904  2089 0.79 | transcript=PVP01_1331500.1 | gene=PVP01_1331500 | organism=Plasmodium_vivax_P01 | gene_product=rap guanine nucleotide exchange factor, putative | transcript_product=rap guanine nucleotide exchange factor, putative | location=PvP01_13_v2:1333051-1344140(-) | protein_length=3356 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1331500.1-p1   -           3356 8774at5820           -            361     6e-28   96.3  48.8   4   7   1.4e-07   0.00031   18.3   0.5   120   217  2222  2321  2186  2334 0.82 | transcript=PVP01_1331500.1 | gene=PVP01_1331500 | organism=Plasmodium_vivax_P01 | gene_product=rap guanine nucleotide exchange factor, putative | transcript_product=rap guanine nucleotide exchange factor, putative | location=PvP01_13_v2:1333051-1344140(-) | protein_length=3356 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1331500.1-p1   -           3356 8774at5820           -            361     6e-28   96.3  48.8   5   7    0.0017       3.6    4.9   2.9    94   173  2348  2424  2337  2434 0.87 | transcript=PVP01_1331500.1 | gene=PVP01_1331500 | organism=Plasmodium_vivax_P01 | gene_product=rap guanine nucleotide exchange factor, putative | transcript_product=rap guanine nucleotide exchange factor, putative | location=PvP01_13_v2:1333051-1344140(-) | protein_length=3356 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1331500.1-p1   -           3356 8774at5820           -            361     6e-28   96.3  48.8   6   7   1.9e-08   4.1e-05   21.2   0.0   291   337  2456  2502  2445  2515 0.77 | transcript=PVP01_1331500.1 | gene=PVP01_1331500 | organism=Plasmodium_vivax_P01 | gene_product=rap guanine nucleotide exchange factor, putative | transcript_product=rap guanine nucleotide exchange factor, putative | location=PvP01_13_v2:1333051-1344140(-) | protein_length=3356 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
