#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1450100.1-p1   -           1163 2955at5820           -            678  5.8e-263  873.0  38.1   1   7   4.9e-24   1.6e-20   71.7   0.4     1    55     3    59     3    61 0.89 | transcript=PVP01_1450100.1 | gene=PVP01_1450100 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_14_v2:2188811-2192302(+) | protein_length=1163 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1450100.1-p1   -           1163 2955at5820           -            678  5.8e-263  873.0  38.1   2   7   7.7e-24   2.5e-20   71.1   0.1    54   104    86   136    83   152 0.92 | transcript=PVP01_1450100.1 | gene=PVP01_1450100 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_14_v2:2188811-2192302(+) | protein_length=1163 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1450100.1-p1   -           1163 2955at5820           -            678  5.8e-263  873.0  38.1   3   7     4e-77   1.3e-73  247.2   1.3   103   304   245   487   227   509 0.87 | transcript=PVP01_1450100.1 | gene=PVP01_1450100 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_14_v2:2188811-2192302(+) | protein_length=1163 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1450100.1-p1   -           1163 2955at5820           -            678  5.8e-263  873.0  38.1   4   7   3.4e-77   1.1e-73  247.4   0.2   301   478   538   745   516   751 0.90 | transcript=PVP01_1450100.1 | gene=PVP01_1450100 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_14_v2:2188811-2192302(+) | protein_length=1163 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1450100.1-p1   -           1163 2955at5820           -            678  5.8e-263  873.0  38.1   5   7   5.7e-36   1.9e-32  111.2   3.5   477   578   859   969   853   976 0.93 | transcript=PVP01_1450100.1 | gene=PVP01_1450100 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_14_v2:2188811-2192302(+) | protein_length=1163 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1450100.1-p1   -           1163 2955at5820           -            678  5.8e-263  873.0  38.1   6   7     7e-12   2.3e-08   31.6   0.0   577   616   991  1035   986  1043 0.84 | transcript=PVP01_1450100.1 | gene=PVP01_1450100 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_14_v2:2188811-2192302(+) | protein_length=1163 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1450100.1-p1   -           1163 2955at5820           -            678  5.8e-263  873.0  38.1   7   7   9.1e-36     3e-32  110.5   0.9   615   678  1090  1153  1083  1153 0.97 | transcript=PVP01_1450100.1 | gene=PVP01_1450100 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_14_v2:2188811-2192302(+) | protein_length=1163 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507600.1-p1   -            322 2955at5820           -            678    0.0047   14.0   0.0   1   2    0.0035        12    2.8   0.0   267   338   112   192    92   203 0.72 | transcript=PVP01_0507600.1 | gene=PVP01_0507600 | organism=Plasmodium_vivax_P01 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=PvP01_05_v2:335035-336445(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507600.1-p1   -            322 2955at5820           -            678    0.0047   14.0   0.0   2   2     4e-05      0.13    9.3   0.0   272   338   247   322   234   322 0.74 | transcript=PVP01_0507600.1 | gene=PVP01_0507600 | organism=Plasmodium_vivax_P01 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=PvP01_05_v2:335035-336445(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2955at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2955at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2955at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:44 2026
# [ok]
