#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1310900.1-p1   -            758 2821at5820           -            413    1e-275  912.5  17.9   1   3  2.7e-130  2.2e-127  423.9   4.5     1   192     1   196     1   211 0.97 | transcript=PVP01_1310900.1 | gene=PVP01_1310900 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM5, putative | transcript_product=DNA replication licensing factor MCM5, putative | location=PvP01_13_v2:508554-511294(+) | protein_length=758 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1310900.1-p1   -            758 2821at5820           -            413    1e-275  912.5  17.9   2   3  7.8e-133  6.4e-130  432.3   0.1   190   380   229   421   219   429 0.97 | transcript=PVP01_1310900.1 | gene=PVP01_1310900 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM5, putative | transcript_product=DNA replication licensing factor MCM5, putative | location=PvP01_13_v2:508554-511294(+) | protein_length=758 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1310900.1-p1   -            758 2821at5820           -            413    1e-275  912.5  17.9   3   3   4.1e-21   3.3e-18   64.4   1.5   374   413   458   497   447   497 0.94 | transcript=PVP01_1310900.1 | gene=PVP01_1310900 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM5, putative | transcript_product=DNA replication licensing factor MCM5, putative | location=PvP01_13_v2:508554-511294(+) | protein_length=758 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1006800.1-p1   -            971 2821at5820           -            413   3.4e-30  103.9   5.9   1   4       0.1        82    0.5   0.0   107   196   145   231    93   243 0.72 | transcript=PVP01_1006800.1 | gene=PVP01_1006800 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM3, putative | transcript_product=DNA replication licensing factor MCM3, putative | location=PvP01_10_v2:298381-301416(+) | protein_length=971 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1006800.1-p1   -            971 2821at5820           -            413   3.4e-30  103.9   5.9   2   4   2.5e-20     2e-17   61.8   0.0   220   379   287   446   278   457 0.86 | transcript=PVP01_1006800.1 | gene=PVP01_1006800 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM3, putative | transcript_product=DNA replication licensing factor MCM3, putative | location=PvP01_10_v2:298381-301416(+) | protein_length=971 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1006800.1-p1   -            971 2821at5820           -            413   3.4e-30  103.9   5.9   3   4     4e-14   3.3e-11   41.3   1.1   374   413   485   524   473   524 0.95 | transcript=PVP01_1006800.1 | gene=PVP01_1006800 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM3, putative | transcript_product=DNA replication licensing factor MCM3, putative | location=PvP01_10_v2:298381-301416(+) | protein_length=971 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1006800.1-p1   -            971 2821at5820           -            413   3.4e-30  103.9   5.9   4   4      0.84   6.8e+02   -2.5   0.0    29    73   719   763   712   770 0.79 | transcript=PVP01_1006800.1 | gene=PVP01_1006800 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM3, putative | transcript_product=DNA replication licensing factor MCM3, putative | location=PvP01_10_v2:298381-301416(+) | protein_length=971 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0105600.1-p1   -            832 2821at5820           -            413   1.7e-29  101.6   1.0   1   2   4.3e-21   3.5e-18   64.3   0.1   219   381   285   449   265   460 0.86 | transcript=PVP01_0105600.1 | gene=PVP01_0105600 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM7, putative | transcript_product=DNA replication licensing factor MCM7, putative | location=PvP01_01_v2:296834-299332(-) | protein_length=832 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0105600.1-p1   -            832 2821at5820           -            413   1.7e-29  101.6   1.0   2   2   2.1e-12   1.7e-09   35.7   0.1   374   413   486   525   467   525 0.94 | transcript=PVP01_0105600.1 | gene=PVP01_0105600 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM7, putative | transcript_product=DNA replication licensing factor MCM7, putative | location=PvP01_01_v2:296834-299332(-) | protein_length=832 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1331100.1-p1   -            972 2821at5820           -            413   4.2e-26   90.4   0.4   1   3   6.7e-14   5.5e-11   40.6   0.0   220   357   383   520   375   534 0.84 | transcript=PVP01_1331100.1 | gene=PVP01_1331100 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM2, putative | transcript_product=DNA replication licensing factor MCM2, putative | location=PvP01_13_v2:1303469-1306564(-) | protein_length=972 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1331100.1-p1   -            972 2821at5820           -            413   4.2e-26   90.4   0.4   2   3    0.0017       1.4    6.3   0.0   363   378   550   565   526   574 0.79 | transcript=PVP01_1331100.1 | gene=PVP01_1331100 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM2, putative | transcript_product=DNA replication licensing factor MCM2, putative | location=PvP01_13_v2:1303469-1306564(-) | protein_length=972 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
