#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0406400.1-p1   -           2042 2029at5820           -            894         0 1292.1  78.7   1   9     0.033   2.2e+02   -1.9   0.5     1    17     1    17     1    23 0.87 | transcript=PVP01_0406400.1 | gene=PVP01_0406400 | organism=Plasmodium_vivax_P01 | gene_product=patatin-like phospholipase 4, putative | transcript_product=patatin-like phospholipase 4, putative | location=PvP01_04_v2:268417-274545(-) | protein_length=2042 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0406400.1-p1   -           2042 2029at5820           -            894         0 1292.1  78.7   2   9   1.9e-13   1.2e-09   35.3   0.1    11    51    43    83    35    97 0.82 | transcript=PVP01_0406400.1 | gene=PVP01_0406400 | organism=Plasmodium_vivax_P01 | gene_product=patatin-like phospholipase 4, putative | transcript_product=patatin-like phospholipase 4, putative | location=PvP01_04_v2:268417-274545(-) | protein_length=2042 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0406400.1-p1   -           2042 2029at5820           -            894         0 1292.1  78.7   3   9   1.1e-45     7e-42  142.0   1.8    46   143   107   213   101   232 0.87 | transcript=PVP01_0406400.1 | gene=PVP01_0406400 | organism=Plasmodium_vivax_P01 | gene_product=patatin-like phospholipase 4, putative | transcript_product=patatin-like phospholipase 4, putative | location=PvP01_04_v2:268417-274545(-) | protein_length=2042 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0406400.1-p1   -           2042 2029at5820           -            894         0 1292.1  78.7   4   9  3.5e-182  2.3e-178  593.7  27.1   152   443   371   684   363   685 0.95 | transcript=PVP01_0406400.1 | gene=PVP01_0406400 | organism=Plasmodium_vivax_P01 | gene_product=patatin-like phospholipase 4, putative | transcript_product=patatin-like phospholipase 4, putative | location=PvP01_04_v2:268417-274545(-) | protein_length=2042 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0406400.1-p1   -           2042 2029at5820           -            894         0 1292.1  78.7   5   9   1.3e-16   8.3e-13   45.8   0.1   447   492   740   785   730   793 0.94 | transcript=PVP01_0406400.1 | gene=PVP01_0406400 | organism=Plasmodium_vivax_P01 | gene_product=patatin-like phospholipase 4, putative | transcript_product=patatin-like phospholipase 4, putative | location=PvP01_04_v2:268417-274545(-) | protein_length=2042 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0406400.1-p1   -           2042 2029at5820           -            894         0 1292.1  78.7   6   9   1.6e-30   1.1e-26   91.8   1.3   492   573   827   909   823   912 0.96 | transcript=PVP01_0406400.1 | gene=PVP01_0406400 | organism=Plasmodium_vivax_P01 | gene_product=patatin-like phospholipase 4, putative | transcript_product=patatin-like phospholipase 4, putative | location=PvP01_04_v2:268417-274545(-) | protein_length=2042 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0406400.1-p1   -           2042 2029at5820           -            894         0 1292.1  78.7   7   9   6.6e-37   4.3e-33  113.0   1.4   574   647   984  1057   982  1061 0.98 | transcript=PVP01_0406400.1 | gene=PVP01_0406400 | organism=Plasmodium_vivax_P01 | gene_product=patatin-like phospholipase 4, putative | transcript_product=patatin-like phospholipase 4, putative | location=PvP01_04_v2:268417-274545(-) | protein_length=2042 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0406400.1-p1   -           2042 2029at5820           -            894         0 1292.1  78.7   8   9   3.7e-23   2.4e-19   67.5   0.1   659   726  1377  1455  1369  1461 0.90 | transcript=PVP01_0406400.1 | gene=PVP01_0406400 | organism=Plasmodium_vivax_P01 | gene_product=patatin-like phospholipase 4, putative | transcript_product=patatin-like phospholipase 4, putative | location=PvP01_04_v2:268417-274545(-) | protein_length=2042 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0406400.1-p1   -           2042 2029at5820           -            894         0 1292.1  78.7   9   9   1.5e-72   9.8e-69  230.9   1.0   734   890  1571  1729  1559  1731 0.91 | transcript=PVP01_0406400.1 | gene=PVP01_0406400 | organism=Plasmodium_vivax_P01 | gene_product=patatin-like phospholipase 4, putative | transcript_product=patatin-like phospholipase 4, putative | location=PvP01_04_v2:268417-274545(-) | protein_length=2042 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2029at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2029at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2029at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:50 2026
# [ok]
