#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0702500.1-p1   -           1319 1635at5820           -            845         0 1614.7 108.5   1   6         0         0 1080.4  29.7     1   469     4   472     4   482 0.99 | transcript=PVP01_0702500.1 | gene=PVP01_0702500 | organism=Plasmodium_vivax_P01 | gene_product=AP-4 complex subunit epsilon, putative | transcript_product=AP-4 complex subunit epsilon, putative | location=PvP01_07_v2:149989-155006(-) | protein_length=1319 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0702500.1-p1   -           1319 1635at5820           -            845         0 1614.7 108.5   2   6  2.4e-115  3.8e-112  374.3  15.6   459   664   595   807   584   827 0.93 | transcript=PVP01_0702500.1 | gene=PVP01_0702500 | organism=Plasmodium_vivax_P01 | gene_product=AP-4 complex subunit epsilon, putative | transcript_product=AP-4 complex subunit epsilon, putative | location=PvP01_07_v2:149989-155006(-) | protein_length=1319 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0702500.1-p1   -           1319 1635at5820           -            845         0 1614.7 108.5   3   6     3e-07   0.00049   16.6   6.7   663   697   840   874   825   933 0.73 | transcript=PVP01_0702500.1 | gene=PVP01_0702500 | organism=Plasmodium_vivax_P01 | gene_product=AP-4 complex subunit epsilon, putative | transcript_product=AP-4 complex subunit epsilon, putative | location=PvP01_07_v2:149989-155006(-) | protein_length=1319 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0702500.1-p1   -           1319 1635at5820           -            845         0 1614.7 108.5   4   6   0.00034      0.56    6.5   3.0   687   740  1011  1067  1004  1072 0.79 | transcript=PVP01_0702500.1 | gene=PVP01_0702500 | organism=Plasmodium_vivax_P01 | gene_product=AP-4 complex subunit epsilon, putative | transcript_product=AP-4 complex subunit epsilon, putative | location=PvP01_07_v2:149989-155006(-) | protein_length=1319 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0702500.1-p1   -           1319 1635at5820           -            845         0 1614.7 108.5   5   6   5.9e-11   9.6e-08   28.9   5.4   705   756  1073  1136  1068  1157 0.76 | transcript=PVP01_0702500.1 | gene=PVP01_0702500 | organism=Plasmodium_vivax_P01 | gene_product=AP-4 complex subunit epsilon, putative | transcript_product=AP-4 complex subunit epsilon, putative | location=PvP01_07_v2:149989-155006(-) | protein_length=1319 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0702500.1-p1   -           1319 1635at5820           -            845         0 1614.7 108.5   6   6   3.1e-44   5.1e-41  139.0   8.4   750   845  1223  1319  1170  1319 0.92 | transcript=PVP01_0702500.1 | gene=PVP01_0702500 | organism=Plasmodium_vivax_P01 | gene_product=AP-4 complex subunit epsilon, putative | transcript_product=AP-4 complex subunit epsilon, putative | location=PvP01_07_v2:149989-155006(-) | protein_length=1319 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1251400.1-p1   -           1038 1635at5820           -            845     8e-39  131.7  38.7   1   3   1.5e-22   2.5e-19   67.3   9.4    13   261     5   256     1   262 0.86 | transcript=PVP01_1251400.1 | gene=PVP01_1251400 | organism=Plasmodium_vivax_P01 | gene_product=AP-1 complex subunit gamma, putative | transcript_product=AP-1 complex subunit gamma, putative | location=PvP01_12_v2:2105913-2109464(-) | protein_length=1038 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1251400.1-p1   -           1038 1635at5820           -            845     8e-39  131.7  38.7   2   3   1.5e-23   2.4e-20   70.6   9.8   270   448   311   488   299   500 0.91 | transcript=PVP01_1251400.1 | gene=PVP01_1251400 | organism=Plasmodium_vivax_P01 | gene_product=AP-1 complex subunit gamma, putative | transcript_product=AP-1 complex subunit gamma, putative | location=PvP01_12_v2:2105913-2109464(-) | protein_length=1038 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1251400.1-p1   -           1038 1635at5820           -            845     8e-39  131.7  38.7   3   3   0.00057      0.92    5.8   3.7   543   590   635   681   545   689 0.71 | transcript=PVP01_1251400.1 | gene=PVP01_1251400 | organism=Plasmodium_vivax_P01 | gene_product=AP-1 complex subunit gamma, putative | transcript_product=AP-1 complex subunit gamma, putative | location=PvP01_12_v2:2105913-2109464(-) | protein_length=1038 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1132000.1-p1   -           1293 1635at5820           -            845   2.5e-22   77.2  29.0   1   4   2.8e-19   4.6e-16   56.5  16.8    16   209    12   214     4   223 0.87 | transcript=PVP01_1132000.1 | gene=PVP01_1132000 | organism=Plasmodium_vivax_P01 | gene_product=AP-2 complex subunit alpha, putative | transcript_product=AP-2 complex subunit alpha, putative | location=PvP01_11_v2:1368961-1373738(-) | protein_length=1293 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1132000.1-p1   -           1293 1635at5820           -            845   2.5e-22   77.2  29.0   2   4     4e-13   6.5e-10   36.1   4.2   288   432   559   706   539   747 0.80 | transcript=PVP01_1132000.1 | gene=PVP01_1132000 | organism=Plasmodium_vivax_P01 | gene_product=AP-2 complex subunit alpha, putative | transcript_product=AP-2 complex subunit alpha, putative | location=PvP01_11_v2:1368961-1373738(-) | protein_length=1293 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
