#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1102300.1-p1   -            176 12801at5820          -            151   7.3e-90  297.2  15.0   1   1   1.3e-92   8.4e-90  297.0  15.0     1   151     1   157     1   157 0.97 | transcript=PVP01_1102300.1 | gene=PVP01_1102300 | organism=Plasmodium_vivax_P01 | gene_product=U2 small nuclear ribonucleoprotein A', putative | transcript_product=U2 small nuclear ribonucleoprotein A', putative | location=PvP01_11_v2:96435-97778(+) | protein_length=176 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0617900.1-p1   -            317 12801at5820          -            151   1.2e-14   53.0  41.0   1   5    0.0009      0.59    8.6   1.8    94   127    25    58     9    63 0.78 | transcript=PVP01_0617900.1 | gene=PVP01_0617900 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein 1, putative | transcript_product=leucine-rich repeat protein 1, putative | location=PvP01_06_v2:733029-734520(-) | protein_length=317 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0617900.1-p1   -            317 12801at5820          -            151   1.2e-14   53.0  41.0   2   5   2.5e-09   1.6e-06   26.7  19.6     7   123    29   142    25   143 0.93 | transcript=PVP01_0617900.1 | gene=PVP01_0617900 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein 1, putative | transcript_product=leucine-rich repeat protein 1, putative | location=PvP01_06_v2:733029-734520(-) | protein_length=317 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0617900.1-p1   -            317 12801at5820          -            151   1.2e-14   53.0  41.0   3   5   2.7e-09   1.8e-06   26.5   8.9    20    99    86   162    81   164 0.91 | transcript=PVP01_0617900.1 | gene=PVP01_0617900 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein 1, putative | transcript_product=leucine-rich repeat protein 1, putative | location=PvP01_06_v2:733029-734520(-) | protein_length=317 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0617900.1-p1   -            317 12801at5820          -            151   1.2e-14   53.0  41.0   4   5   2.8e-07   0.00018   20.0   5.8    25   117   135   223   134   229 0.81 | transcript=PVP01_0617900.1 | gene=PVP01_0617900 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein 1, putative | transcript_product=leucine-rich repeat protein 1, putative | location=PvP01_06_v2:733029-734520(-) | protein_length=317 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0617900.1-p1   -            317 12801at5820          -            151   1.2e-14   53.0  41.0   5   5     2e-05     0.013   14.0   7.5    53   140   208   298   205   307 0.79 | transcript=PVP01_0617900.1 | gene=PVP01_0617900 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein 1, putative | transcript_product=leucine-rich repeat protein 1, putative | location=PvP01_06_v2:733029-734520(-) | protein_length=317 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1317100.1-p1   -           1494 12801at5820          -            151   4.7e-10   38.1  59.3   1   6     0.031        21    3.6   6.2    42   119    30   105    13   117 0.85 | transcript=PVP01_1317100.1 | gene=PVP01_1317100 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_13_v2:797108-804066(+) | protein_length=1494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1317100.1-p1   -           1494 12801at5820          -            151   4.7e-10   38.1  59.3   2   6   1.4e-07   8.8e-05   21.0   2.5    42   149   119   232   107   234 0.81 | transcript=PVP01_1317100.1 | gene=PVP01_1317100 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_13_v2:797108-804066(+) | protein_length=1494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1317100.1-p1   -           1494 12801at5820          -            151   4.7e-10   38.1  59.3   3   6     0.008       5.2    5.5   0.2    81   114   794   827   774   870 0.63 | transcript=PVP01_1317100.1 | gene=PVP01_1317100 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_13_v2:797108-804066(+) | protein_length=1494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1317100.1-p1   -           1494 12801at5820          -            151   4.7e-10   38.1  59.3   4   6     0.036        24    3.4  11.1     8   138   988  1117   982  1128 0.77 | transcript=PVP01_1317100.1 | gene=PVP01_1317100 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_13_v2:797108-804066(+) | protein_length=1494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1317100.1-p1   -           1494 12801at5820          -            151   4.7e-10   38.1  59.3   5   6   0.00041      0.26    9.7   1.7    39   111  1178  1257  1152  1262 0.66 | transcript=PVP01_1317100.1 | gene=PVP01_1317100 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_13_v2:797108-804066(+) | protein_length=1494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1317100.1-p1   -           1494 12801at5820          -            151   4.7e-10   38.1  59.3   6   6   1.9e-07   0.00013   20.5   3.1    41   140  1258  1353  1249  1362 0.87 | transcript=PVP01_1317100.1 | gene=PVP01_1317100 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_13_v2:797108-804066(+) | protein_length=1494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1207000.1-p1   -            250 12801at5820          -            151   1.3e-09   36.7  26.8   1   2   2.1e-06    0.0014   17.1   4.1    46   123     6    86     2    88 0.79 | transcript=PVP01_1207000.1 | gene=PVP01_1207000 | organism=Plasmodium_vivax_P01 | gene_product=centrosomal protein CEP72, putative | transcript_product=centrosomal protein CEP72, putative | location=PvP01_12_v2:284995-286712(-) | protein_length=250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1207000.1-p1   -            250 12801at5820          -            151   1.3e-09   36.7  26.8   2   2   3.7e-11   2.4e-08   32.6  14.8    16   149    70   208    66   210 0.85 | transcript=PVP01_1207000.1 | gene=PVP01_1207000 | organism=Plasmodium_vivax_P01 | gene_product=centrosomal protein CEP72, putative | transcript_product=centrosomal protein CEP72, putative | location=PvP01_12_v2:284995-286712(-) | protein_length=250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1321400.1-p1   -            281 12801at5820          -            151   3.2e-09   35.4   2.6   1   1   7.9e-12   5.1e-09   34.8   2.6    16   140    29   164    18   171 0.80 | transcript=PVP01_1321400.1 | gene=PVP01_1321400 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_13_v2:963407-964252(-) | protein_length=281 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024800.1-p1   -            359 12801at5820          -            151   1.7e-08   33.1  16.7   1   3   0.00016       0.1   11.1   2.3    32    99    28    93    15   100 0.66 | transcript=PVP01_1024800.1 | gene=PVP01_1024800 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_10_v2:1079578-1081312(-) | protein_length=359 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024800.1-p1   -            359 12801at5820          -            151   1.7e-08   33.1  16.7   2   3   9.9e-07   0.00065   18.2   8.7    40   127    58   142    36   162 0.83 | transcript=PVP01_1024800.1 | gene=PVP01_1024800 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_10_v2:1079578-1081312(-) | protein_length=359 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024800.1-p1   -            359 12801at5820          -            151   1.7e-08   33.1  16.7   3   3   7.9e-07   0.00052   18.5   0.7    91   148   250   312   239   315 0.71 | transcript=PVP01_1024800.1 | gene=PVP01_1024800 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_10_v2:1079578-1081312(-) | protein_length=359 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1254900.1-p1   -            361 12801at5820          -            151   8.8e-07   27.5  31.5   1   5   0.00013     0.082   11.4   4.6    71   123    21    74     8    90 0.81 | transcript=PVP01_1254900.1 | gene=PVP01_1254900 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_12_v2:2242645-2243730(-) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1254900.1-p1   -            361 12801at5820          -            151   8.8e-07   27.5  31.5   2   5   8.9e-08   5.8e-05   21.6  12.3    18   104    82   165    76   183 0.78 | transcript=PVP01_1254900.1 | gene=PVP01_1254900 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_12_v2:2242645-2243730(-) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
