#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1242000.1-p1   -            119 14524at5820          -            106   5.2e-52  172.9   6.6   1   1   4.6e-55     6e-52  172.7   6.6     1   106     1   113     1   113 0.94 | transcript=PVP01_1242000.1 | gene=PVP01_1242000 | organism=Plasmodium_vivax_P01 | gene_product=EF-hand calcium-binding domain-containing protein, putative | transcript_product=EF-hand calcium-binding domain-containing protein, putative | location=PvP01_12_v2:1712815-1713910(-) | protein_length=119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0730600.1-p1   -            270 14524at5820          -            106   0.00026   19.5   3.6   1   1   8.2e-07    0.0011   17.6   3.6     3    40    16    53    14    63 0.88 | transcript=PVP01_0730600.1 | gene=PVP01_0730600 | organism=Plasmodium_vivax_P01 | gene_product=adenylate kinase-like protein 2, putative | transcript_product=adenylate kinase-like protein 2, putative | location=PvP01_07_v2:1293603-1295098(-) | protein_length=270 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0603300.1-p1   -            269 14524at5820          -            106     0.065   11.8   1.1   1   3   8.4e-05      0.11   11.1   0.1     7    44    95   132    90   144 0.84 | transcript=PVP01_0603300.1 | gene=PVP01_0603300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:125307-126116(+) | protein_length=269 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0603300.1-p1   -            269 14524at5820          -            106     0.065   11.8   1.1   2   3       1.3   1.7e+03   -2.4   0.1    48    70   166   188   160   221 0.57 | transcript=PVP01_0603300.1 | gene=PVP01_0603300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:125307-126116(+) | protein_length=269 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0603300.1-p1   -            269 14524at5820          -            106     0.065   11.8   1.1   3   3       1.7   2.2e+03   -2.7   0.1    42    68   207   233   197   240 0.60 | transcript=PVP01_0603300.1 | gene=PVP01_0603300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:125307-126116(+) | protein_length=269 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0009340.1-p1   -            438 14524at5820          -            106      0.62    8.7  11.9   1   3    0.0023         3    6.5   0.7    37    79    97   139    90   143 0.91 | transcript=PVP01_0009340.1 | gene=PVP01_0009340 | organism=Plasmodium_vivax_P01 | gene_product=PIR protein | transcript_product=PIR protein | location=Transfer.PvP01_00_50.final:18870-20540(+) | protein_length=438 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVP01_0009340.1-p1   -            438 14524at5820          -            106      0.62    8.7  11.9   2   3    0.0014       1.8    7.2   1.7     6    61   137   191   135   208 0.82 | transcript=PVP01_0009340.1 | gene=PVP01_0009340 | organism=Plasmodium_vivax_P01 | gene_product=PIR protein | transcript_product=PIR protein | location=Transfer.PvP01_00_50.final:18870-20540(+) | protein_length=438 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVP01_0009340.1-p1   -            438 14524at5820          -            106      0.62    8.7  11.9   3   3     0.067        87    1.8   0.1    19    53   366   400   358   410 0.88 | transcript=PVP01_0009340.1 | gene=PVP01_0009340 | organism=Plasmodium_vivax_P01 | gene_product=PIR protein | transcript_product=PIR protein | location=Transfer.PvP01_00_50.final:18870-20540(+) | protein_length=438 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVP01_0736900.1-p1   -            471 14524at5820          -            106       1.1    7.8  11.5   1   3    0.0022       2.9    6.5   0.7    37    80    97   140    92   145 0.91 | transcript=PVP01_0736900.1 | gene=PVP01_0736900 | organism=Plasmodium_vivax_P01 | gene_product=PIR protein | transcript_product=PIR protein | location=PvP01_07_v2:1548525-1550195(-) | protein_length=471 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0736900.1-p1   -            471 14524at5820          -            106       1.1    7.8  11.5   2   3    0.0021       2.7    6.6   1.3     6    60   137   190   135   195 0.84 | transcript=PVP01_0736900.1 | gene=PVP01_0736900 | organism=Plasmodium_vivax_P01 | gene_product=PIR protein | transcript_product=PIR protein | location=PvP01_07_v2:1548525-1550195(-) | protein_length=471 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0736900.1-p1   -            471 14524at5820          -            106       1.1    7.8  11.5   3   3     0.071        93    1.7   0.1    20    53   400   433   387   448 0.88 | transcript=PVP01_0736900.1 | gene=PVP01_0736900 | organism=Plasmodium_vivax_P01 | gene_product=PIR protein | transcript_product=PIR protein | location=PvP01_07_v2:1548525-1550195(-) | protein_length=471 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
