#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0937700.1-p1   -            381 9800at5820           -            308  1.2e-172  571.7  58.5   1   3   1.5e-32   4.6e-30  103.4   1.6     1    60     1    60     1    81 0.92 | transcript=PVP01_0937700.1 | gene=PVP01_0937700 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_09_v2:1624006-1625762(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0937700.1-p1   -            381 9800at5820           -            308  1.2e-172  571.7  58.5   2   3   3.7e-66   1.2e-63  213.8  21.6    55   178    88   227    83   232 0.92 | transcript=PVP01_0937700.1 | gene=PVP01_0937700 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_09_v2:1624006-1625762(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0937700.1-p1   -            381 9800at5820           -            308  1.2e-172  571.7  58.5   3   3   1.2e-81   3.6e-79  264.7  20.7   164   308   231   381   228   381 0.95 | transcript=PVP01_0937700.1 | gene=PVP01_0937700 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_09_v2:1624006-1625762(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1310600.1-p1   -            245 9800at5820           -            308   2.3e-14   51.9   1.0   1   1   1.1e-16   3.4e-14   51.3   1.0    73   165     4    97     1   126 0.86 | transcript=PVP01_1310600.1 | gene=PVP01_1310600 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=PvP01_13_v2:490903-492520(+) | protein_length=245 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0411800.1-p1   -            328 9800at5820           -            308     1e-13   49.8   0.4   1   1   4.9e-16   1.5e-13   49.2   0.4    74   137     3    70     1   105 0.90 | transcript=PVP01_0411800.1 | gene=PVP01_0411800 | organism=Plasmodium_vivax_P01 | gene_product=protein SIS1, putative | transcript_product=protein SIS1, putative | location=PvP01_04_v2:474978-476353(-) | protein_length=328 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1120300.1-p1   -            380 9800at5820           -            308   1.3e-13   49.4   2.6   1   2   4.2e-16   1.3e-13   49.4   2.6    73   138    44   109    34   162 0.84 | transcript=PVP01_1120300.1 | gene=PVP01_1120300 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_11_v2:881735-882877(+) | protein_length=380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1120300.1-p1   -            380 9800at5820           -            308   1.3e-13   49.4   2.6   2   2       1.2   3.8e+02   -1.4   0.1    54    71   284   301   251   330 0.69 | transcript=PVP01_1120300.1 | gene=PVP01_1120300 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_11_v2:881735-882877(+) | protein_length=380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1271300.1-p1   -            406 9800at5820           -            308   1.5e-13   49.2   1.1   1   1   1.1e-15   3.3e-13   48.1   1.1    72   161    79   181    76   193 0.76 | transcript=PVP01_1271300.1 | gene=PVP01_1271300 | organism=Plasmodium_vivax_P01 | gene_product=40 kDa heat shock protein, putative | transcript_product=40 kDa heat shock protein, putative | location=PvP01_12_v2:3014790-3016631(+) | protein_length=406 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1010500.1-p1   -            529 9800at5820           -            308   2.1e-13   48.8   4.6   1   2   6.7e-16   2.1e-13   48.8   4.6    70   139   186   255   163   278 0.79 | transcript=PVP01_1010500.1 | gene=PVP01_1010500 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_10_v2:464999-466920(-) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1010500.1-p1   -            529 9800at5820           -            308   2.1e-13   48.8   4.6   2   2     0.088        27    2.4   5.1     7   133   376   503   373   516 0.71 | transcript=PVP01_1010500.1 | gene=PVP01_1010500 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_10_v2:464999-466920(-) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1115200.1-p1   -            201 9800at5820           -            308   1.4e-12   46.1   2.4   1   1   4.4e-15   1.4e-12   46.1   2.4    75   131     2    58     1    71 0.89 | transcript=PVP01_1115200.1 | gene=PVP01_1115200 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_11_v2:655035-656667(-) | protein_length=201 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
