#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0905300.1-p1   -            616 6450at5820           -            356  2.8e-160  531.6  28.5   1   5   1.1e-37   6.9e-35  119.2   0.1     1    70     1    73     1    79 0.95 | transcript=PVP01_0905300.1 | gene=PVP01_0905300 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_09_v2:317280-319130(-) | protein_length=616 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905300.1-p1   -            616 6450at5820           -            356  2.8e-160  531.6  28.5   2   5    8e-105  5.2e-102  340.0   8.9    69   263   109   324    99   336 0.91 | transcript=PVP01_0905300.1 | gene=PVP01_0905300 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_09_v2:317280-319130(-) | protein_length=616 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905300.1-p1   -            616 6450at5820           -            356  2.8e-160  531.6  28.5   3   5     0.013       8.6    3.7   0.2   258   277   379   398   366   411 0.86 | transcript=PVP01_0905300.1 | gene=PVP01_0905300 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_09_v2:317280-319130(-) | protein_length=616 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905300.1-p1   -            616 6450at5820           -            356  2.8e-160  531.6  28.5   4   5   1.6e-06     0.001   16.6   0.4   271   299   424   456   402   480 0.77 | transcript=PVP01_0905300.1 | gene=PVP01_0905300 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_09_v2:317280-319130(-) | protein_length=616 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905300.1-p1   -            616 6450at5820           -            356  2.8e-160  531.6  28.5   5   5   5.7e-21   3.7e-18   64.1   0.1   299   352   556   610   509   614 0.85 | transcript=PVP01_0905300.1 | gene=PVP01_0905300 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_09_v2:317280-319130(-) | protein_length=616 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511500.1-p1   -            324 6450at5820           -            356   7.6e-12   43.4   5.5   1   5     0.024        16    2.9   0.0   316   351    30    67    21    71 0.81 | transcript=PVP01_0511500.1 | gene=PVP01_0511500 | organism=Plasmodium_vivax_P01 | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=PvP01_05_v2:497899-498873(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511500.1-p1   -            324 6450at5820           -            356   7.6e-12   43.4   5.5   2   5     0.016        10    3.5   0.1   317   352    73   111    68   114 0.53 | transcript=PVP01_0511500.1 | gene=PVP01_0511500 | organism=Plasmodium_vivax_P01 | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=PvP01_05_v2:497899-498873(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511500.1-p1   -            324 6450at5820           -            356   7.6e-12   43.4   5.5   3   5   5.4e-11   3.5e-08   31.3   0.2    31    84   114   168   110   193 0.85 | transcript=PVP01_0511500.1 | gene=PVP01_0511500 | organism=Plasmodium_vivax_P01 | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=PvP01_05_v2:497899-498873(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511500.1-p1   -            324 6450at5820           -            356   7.6e-12   43.4   5.5   4   5    0.0039       2.6    5.5   0.0    35    68   200   234   196   247 0.88 | transcript=PVP01_0511500.1 | gene=PVP01_0511500 | organism=Plasmodium_vivax_P01 | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=PvP01_05_v2:497899-498873(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511500.1-p1   -            324 6450at5820           -            356   7.6e-12   43.4   5.5   5   5      0.74   4.8e+02   -2.0   0.1   227   237   293   303   250   321 0.52 | transcript=PVP01_0511500.1 | gene=PVP01_0511500 | organism=Plasmodium_vivax_P01 | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=PvP01_05_v2:497899-498873(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507600.1-p1   -            322 6450at5820           -            356   6.6e-07   27.1  11.5   1   3    0.0032       2.1    5.7   0.3   314   350    62   100    28   104 0.72 | transcript=PVP01_0507600.1 | gene=PVP01_0507600 | organism=Plasmodium_vivax_P01 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=PvP01_05_v2:335035-336445(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
