#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0830300.1-p1   -           1405 1314at5820           -            932         0 1162.8  43.7   1  10  1.3e-122  8.2e-119  396.6  10.5     1   239    13   251    13   259 0.99 | transcript=PVP01_0830300.1 | gene=PVP01_0830300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_08_v2:1317536-1322057(+) | protein_length=1405 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0830300.1-p1   -           1405 1314at5820           -            932         0 1162.8  43.7   2  10   2.1e-16   1.4e-12   45.1   0.2   240   277   283   320   277   325 0.91 | transcript=PVP01_0830300.1 | gene=PVP01_0830300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_08_v2:1317536-1322057(+) | protein_length=1405 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0830300.1-p1   -           1405 1314at5820           -            932         0 1162.8  43.7   3  10   2.1e-97   1.4e-93  313.2  13.0   280   483   384   594   377   596 0.97 | transcript=PVP01_0830300.1 | gene=PVP01_0830300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_08_v2:1317536-1322057(+) | protein_length=1405 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0830300.1-p1   -           1405 1314at5820           -            932         0 1162.8  43.7   4  10      0.07   4.6e+02   -3.0   0.0   482   499   624   641   622   646 0.85 | transcript=PVP01_0830300.1 | gene=PVP01_0830300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_08_v2:1317536-1322057(+) | protein_length=1405 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0830300.1-p1   -           1405 1314at5820           -            932         0 1162.8  43.7   5  10   8.1e-23   5.3e-19   66.3   0.0   509   575   730   801   702   812 0.88 | transcript=PVP01_0830300.1 | gene=PVP01_0830300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_08_v2:1317536-1322057(+) | protein_length=1405 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0830300.1-p1   -           1405 1314at5820           -            932         0 1162.8  43.7   6  10   8.5e-36   5.5e-32  109.3   0.5   576   655   854   936   848   940 0.95 | transcript=PVP01_0830300.1 | gene=PVP01_0830300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_08_v2:1317536-1322057(+) | protein_length=1405 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0830300.1-p1   -           1405 1314at5820           -            932         0 1162.8  43.7   7  10   5.3e-06     0.035   10.7   0.0   654   679   962   987   955   993 0.91 | transcript=PVP01_0830300.1 | gene=PVP01_0830300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_08_v2:1317536-1322057(+) | protein_length=1405 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0830300.1-p1   -           1405 1314at5820           -            932         0 1162.8  43.7   8  10   1.2e-13   7.7e-10   36.0   0.0   679   717  1016  1054  1002  1062 0.92 | transcript=PVP01_0830300.1 | gene=PVP01_0830300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_08_v2:1317536-1322057(+) | protein_length=1405 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0830300.1-p1   -           1405 1314at5820           -            932         0 1162.8  43.7   9  10   5.3e-10   3.5e-06   23.9   0.0   715   775  1085  1177  1081  1197 0.67 | transcript=PVP01_0830300.1 | gene=PVP01_0830300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_08_v2:1317536-1322057(+) | protein_length=1405 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0830300.1-p1   -           1405 1314at5820           -            932         0 1162.8  43.7  10  10   4.8e-53   3.1e-49  166.4   0.0   784   931  1219  1395  1206  1396 0.83 | transcript=PVP01_0830300.1 | gene=PVP01_0830300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_08_v2:1317536-1322057(+) | protein_length=1405 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
