#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0731700.1-p1   -            725 7211at5820           -            625  1.6e-201  670.2   0.0   1   1  6.3e-204  2.3e-201  669.7   0.0     1   625     1   725     1   725 0.76 | transcript=PVP01_0731700.1 | gene=PVP01_0731700 | organism=Plasmodium_vivax_P01 | gene_product=CSTF domain-containing protein, putative | transcript_product=CSTF domain-containing protein, putative | location=PvP01_07_v2:1329363-1331540(+) | protein_length=725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0613600.1-p1   -            863 7211at5820           -            625   2.1e-21   75.2  18.3   1   3     0.002      0.73    7.4   0.0    10    39    13    42     8    44 0.90 | transcript=PVP01_0613600.1 | gene=PVP01_0613600 | organism=Plasmodium_vivax_P01 | gene_product=partial CSTF domain-containing protein, putative | transcript_product=partial CSTF domain-containing protein, putative | location=PvP01_06_v2:577782-580714(-) | protein_length=863 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0613600.1-p1   -            863 7211at5820           -            625   2.1e-21   75.2  18.3   2   3   0.00023     0.082   10.5   0.2   142   220   127   205    69   214 0.51 | transcript=PVP01_0613600.1 | gene=PVP01_0613600 | organism=Plasmodium_vivax_P01 | gene_product=partial CSTF domain-containing protein, putative | transcript_product=partial CSTF domain-containing protein, putative | location=PvP01_06_v2:577782-580714(-) | protein_length=863 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0613600.1-p1   -            863 7211at5820           -            625   2.1e-21   75.2  18.3   3   3   2.9e-19     1e-16   59.7  10.5   282   624   499   859   480   860 0.50 | transcript=PVP01_0613600.1 | gene=PVP01_0613600 | organism=Plasmodium_vivax_P01 | gene_product=partial CSTF domain-containing protein, putative | transcript_product=partial CSTF domain-containing protein, putative | location=PvP01_06_v2:577782-580714(-) | protein_length=863 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1442500.1-p1   -            885 7211at5820           -            625   4.3e-10   37.8   2.0   1   2   1.2e-11   4.5e-09   34.5   0.3     6   133    15   148    11   182 0.69 | transcript=PVP01_1442500.1 | gene=PVP01_1442500 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=PvP01_14_v2:1852026-1854683(+) | protein_length=885 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1442500.1-p1   -            885 7211at5820           -            625   4.3e-10   37.8   2.0   2   2   8.6e-05     0.031   11.9   0.1     8    72   194   255   187   258 0.90 | transcript=PVP01_1442500.1 | gene=PVP01_1442500 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=PvP01_14_v2:1852026-1854683(+) | protein_length=885 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1328900.1-p1   -            475 7211at5820           -            625   3.8e-09   34.7   7.8   1   2   0.00013     0.046   11.3   0.9     3    83    16    96    14   105 0.88 | transcript=PVP01_1328900.1 | gene=PVP01_1328900 | organism=Plasmodium_vivax_P01 | gene_product=splicing factor 3B subunit 4, putative | transcript_product=splicing factor 3B subunit 4, putative | location=PvP01_13_v2:1225767-1227448(+) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1328900.1-p1   -            475 7211at5820           -            625   3.8e-09   34.7   7.8   2   2     2e-09   7.3e-07   27.2   1.1     8   143   108   250   106   269 0.71 | transcript=PVP01_1328900.1 | gene=PVP01_1328900 | organism=Plasmodium_vivax_P01 | gene_product=splicing factor 3B subunit 4, putative | transcript_product=splicing factor 3B subunit 4, putative | location=PvP01_13_v2:1225767-1227448(+) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1421700.1-p1   -            124 7211at5820           -            625     2e-08   32.4   3.7   1   1   6.1e-11   2.2e-08   32.2   3.7     7   107     8   108     1   120 0.84 | transcript=PVP01_1421700.1 | gene=PVP01_1421700 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_14_v2:939195-940065(-) | protein_length=124 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511100.1-p1   -            292 7211at5820           -            625   8.4e-08   30.3   0.0   1   2   2.2e-05     0.008   13.8   0.0     1    36     1    36     1    58 0.78 | transcript=PVP01_0511100.1 | gene=PVP01_0511100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_05_v2:482035-483249(+) | protein_length=292 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511100.1-p1   -            292 7211at5820           -            625   8.4e-08   30.3   0.0   2   2   1.5e-05    0.0054   14.4   0.0    15    81   163   228   156   251 0.88 | transcript=PVP01_0511100.1 | gene=PVP01_0511100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_05_v2:482035-483249(+) | protein_length=292 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1112500.1-p1   -            513 7211at5820           -            625   6.4e-07   27.4  14.8   1   4       2.7   9.8e+02   -3.0  10.8   421   485     5    67     1    81 0.43 | transcript=PVP01_1112500.1 | gene=PVP01_1112500 | organism=Plasmodium_vivax_P01 | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=PvP01_11_v2:536358-538080(+) | protein_length=513 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1112500.1-p1   -            513 7211at5820           -            625   6.4e-07   27.4  14.8   2   4     0.089        32    1.9   0.1     8    53    89   134    86   140 0.93 | transcript=PVP01_1112500.1 | gene=PVP01_1112500 | organism=Plasmodium_vivax_P01 | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=PvP01_11_v2:536358-538080(+) | protein_length=513 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1112500.1-p1   -            513 7211at5820           -            625   6.4e-07   27.4  14.8   3   4   7.3e-05     0.027   12.1   0.1     8    70   188   250   184   258 0.95 | transcript=PVP01_1112500.1 | gene=PVP01_1112500 | organism=Plasmodium_vivax_P01 | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=PvP01_11_v2:536358-538080(+) | protein_length=513 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1112500.1-p1   -            513 7211at5820           -            625   6.4e-07   27.4  14.8   4   4   1.2e-05    0.0042   14.7   0.0    11   109   376   477   371   509 0.70 | transcript=PVP01_1112500.1 | gene=PVP01_1112500 | organism=Plasmodium_vivax_P01 | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=PvP01_11_v2:536358-538080(+) | protein_length=513 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1443100.1-p1   -            110 7211at5820           -            625   6.4e-07   27.4   0.3   1   1     2e-09   7.1e-07   27.2   0.3     8    82    15    87    11   110 0.80 | transcript=PVP01_1443100.1 | gene=PVP01_1443100 | organism=Plasmodium_vivax_P01 | gene_product=splicing factor 3B subunit 6, putative | transcript_product=splicing factor 3B subunit 6, putative | location=PvP01_14_v2:1872345-1872932(-) | protein_length=110 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1339100.1-p1   -            503 7211at5820           -            625   2.6e-05   22.0   0.0   1   3     0.088        32    1.9  11.6   429   505     5    99     1   147 0.32 | transcript=PVP01_1339100.1 | gene=PVP01_1339100 | organism=Plasmodium_vivax_P01 | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=PvP01_13_v2:1701554-1703065(-) | protein_length=503 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1339100.1-p1   -            503 7211at5820           -            625   2.6e-05   22.0   0.0   2   3      0.36   1.3e+02   -0.1  26.2     2   160   175   341   174   344 0.73 | transcript=PVP01_1339100.1 | gene=PVP01_1339100 | organism=Plasmodium_vivax_P01 | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=PvP01_13_v2:1701554-1703065(-) | protein_length=503 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1339100.1-p1   -            503 7211at5820           -            625   2.6e-05   22.0   0.0   3   3   7.2e-08   2.6e-05   22.0   0.0    11    82   398   469   393   500 0.82 | transcript=PVP01_1339100.1 | gene=PVP01_1339100 | organism=Plasmodium_vivax_P01 | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=PvP01_13_v2:1701554-1703065(-) | protein_length=503 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0820700.1-p1   -            299 7211at5820           -            625   6.4e-05   20.8   3.3   1   1   1.8e-07   6.4e-05   20.8   3.3     8   107    37   137    31   173 0.74 | transcript=PVP01_0820700.1 | gene=PVP01_0820700 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_08_v2:909033-910367(-) | protein_length=299 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0806500.1-p1   -            250 7211at5820           -            625   0.00011   20.0   1.0   1   2   0.00059      0.22    9.1   0.5     7    69    21    82    16   141 0.82 | transcript=PVP01_0806500.1 | gene=PVP01_0806500 | organism=Plasmodium_vivax_P01 | gene_product=G-strand-binding protein 2, putative | transcript_product=G-strand-binding protein 2, putative | location=PvP01_08_v2:283268-284886(+) | protein_length=250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0806500.1-p1   -            250 7211at5820           -            625   0.00011   20.0   1.0   2   2   0.00062      0.22    9.1   0.0     1    36   166   201   166   207 0.93 | transcript=PVP01_0806500.1 | gene=PVP01_0806500 | organism=Plasmodium_vivax_P01 | gene_product=G-strand-binding protein 2, putative | transcript_product=G-strand-binding protein 2, putative | location=PvP01_08_v2:283268-284886(+) | protein_length=250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1238000.1-p1   -            911 7211at5820           -            625   0.00016   19.4   0.1   1   1   4.5e-07   0.00016   19.4   0.1     8    71   675   738   669   745 0.95 | transcript=PVP01_1238000.1 | gene=PVP01_1238000 | organism=Plasmodium_vivax_P01 | gene_product=splicing factor U2AF large subunit, putative | transcript_product=splicing factor U2AF large subunit, putative | location=PvP01_12_v2:1499194-1501929(+) | protein_length=911 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1232900.1-p1   -           1029 7211at5820           -            625   0.00021   19.0   0.1   1   1   5.9e-07   0.00021   19.0   0.1    17    86   750   819   737   868 0.79 | transcript=PVP01_1232900.1 | gene=PVP01_1232900 | organism=Plasmodium_vivax_P01 | gene_product=splicing factor 1, putative | transcript_product=splicing factor 1, putative | location=PvP01_12_v2:1323265-1326509(-) | protein_length=1029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0722400.1-p1   -            202 7211at5820           -            625   0.00052   17.7   0.0   1   2       0.4   1.5e+02   -0.2   2.4   397   456    16    63     2    70 0.35 | transcript=PVP01_0722400.1 | gene=PVP01_0722400 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylate-binding protein 2, putative | transcript_product=polyadenylate-binding protein 2, putative | location=PvP01_07_v2:965522-966980(-) | protein_length=202 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0722400.1-p1   -            202 7211at5820           -            625   0.00052   17.7   0.0   2   2   1.4e-06   0.00052   17.7   0.0     5    58    69   122    63   131 0.88 | transcript=PVP01_0722400.1 | gene=PVP01_0722400 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylate-binding protein 2, putative | transcript_product=polyadenylate-binding protein 2, putative | location=PvP01_07_v2:965522-966980(-) | protein_length=202 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0920400.1-p1   -            208 7211at5820           -            625   0.00072   17.3   3.2   1   1   2.1e-06   0.00078   17.2   3.2     3    84     4    84     2   162 0.79 | transcript=PVP01_0920400.1 | gene=PVP01_0920400 | organism=Plasmodium_vivax_P01 | gene_product=alternative splicing factor ASF-1, putative | transcript_product=alternative splicing factor ASF-1, putative | location=PvP01_09_v2:887374-888000(-) | protein_length=208 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1016700.1-p1   -            314 7211at5820           -            625    0.0016   16.1   0.0   1   1   4.5e-06    0.0016   16.1   0.0     8   104     9   103     1   122 0.82 | transcript=PVP01_1016700.1 | gene=PVP01_1016700 | organism=Plasmodium_vivax_P01 | gene_product=serine/arginine-rich splicing factor 1, putative | transcript_product=serine/arginine-rich splicing factor 1, putative | location=PvP01_10_v2:743534-744685(+) | protein_length=314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
