#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0807900.1-p1   -            407 7741at5820           -            337  4.6e-215  711.8  30.3   1   1    7e-218  1.1e-214  710.5  30.3     1   337     1   407     1   407 0.99 | transcript=PVP01_0807900.1 | gene=PVP01_0807900 | organism=Plasmodium_vivax_P01 | gene_product=flap endonuclease, putative | transcript_product=flap endonuclease, putative | location=PvP01_08_v2:357474-358697(-) | protein_length=407 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0307800.1-p1   -            633 7741at5820           -            337   1.1e-24   85.9   5.4   1   2   6.5e-06     0.011   13.7   0.0     1    45     1    44     1    79 0.90 | transcript=PVP01_0307800.1 | gene=PVP01_0307800 | organism=Plasmodium_vivax_P01 | gene_product=flap endonuclease 1, putative | transcript_product=flap endonuclease 1, putative | location=PvP01_03_v2:375864-377765(-) | protein_length=633 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0307800.1-p1   -            633 7741at5820           -            337   1.1e-24   85.9   5.4   2   2   1.8e-23   2.9e-20   71.4   3.4   155   307   116   287    96   298 0.77 | transcript=PVP01_0307800.1 | gene=PVP01_0307800 | organism=Plasmodium_vivax_P01 | gene_product=flap endonuclease 1, putative | transcript_product=flap endonuclease 1, putative | location=PvP01_03_v2:375864-377765(-) | protein_length=633 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0419100.1-p1   -           1466 7741at5820           -            337   1.8e-15   55.6   4.9   1   3    0.0027       4.4    5.1   0.5    26    99    21    93     9   131 0.89 | transcript=PVP01_0419100.1 | gene=PVP01_0419100 | organism=Plasmodium_vivax_P01 | gene_product=DNA repair protein RAD2, putative | transcript_product=DNA repair protein RAD2, putative | location=PvP01_04_v2:790312-794712(+) | protein_length=1466 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0419100.1-p1   -           1466 7741at5820           -            337   1.8e-15   55.6   4.9   2   3         4   6.5e+03   -7.6   6.8   136   233   510   616   499   646 0.49 | transcript=PVP01_0419100.1 | gene=PVP01_0419100 | organism=Plasmodium_vivax_P01 | gene_product=DNA repair protein RAD2, putative | transcript_product=DNA repair protein RAD2, putative | location=PvP01_04_v2:790312-794712(+) | protein_length=1466 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0419100.1-p1   -           1466 7741at5820           -            337   1.8e-15   55.6   4.9   3   3   1.1e-18   1.8e-15   55.6   4.9   165   294  1117  1247  1101  1277 0.87 | transcript=PVP01_0419100.1 | gene=PVP01_0419100 | organism=Plasmodium_vivax_P01 | gene_product=DNA repair protein RAD2, putative | transcript_product=DNA repair protein RAD2, putative | location=PvP01_04_v2:790312-794712(+) | protein_length=1466 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0320700.1-p1   -           1247 7741at5820           -            337   1.8e-07   29.3   8.9   1   3    0.0015       2.5    5.9   1.3   132   229   112   214    90   238 0.77 | transcript=PVP01_0320700.1 | gene=PVP01_0320700 | organism=Plasmodium_vivax_P01 | gene_product=exonuclease I, putative | transcript_product=exonuclease I, putative | location=PvP01_03_v2:874594-878337(-) | protein_length=1247 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0320700.1-p1   -           1247 7741at5820           -            337   1.8e-07   29.3   8.9   2   3   6.9e-10   1.1e-06   26.7   0.4   244   297   333   391   307   430 0.71 | transcript=PVP01_0320700.1 | gene=PVP01_0320700 | organism=Plasmodium_vivax_P01 | gene_product=exonuclease I, putative | transcript_product=exonuclease I, putative | location=PvP01_03_v2:874594-878337(-) | protein_length=1247 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0320700.1-p1   -           1247 7741at5820           -            337   1.8e-07   29.3   8.9   3   3      0.25   4.1e+02   -1.4   0.0   229   255  1192  1218  1178  1221 0.83 | transcript=PVP01_0320700.1 | gene=PVP01_0320700 | organism=Plasmodium_vivax_P01 | gene_product=exonuclease I, putative | transcript_product=exonuclease I, putative | location=PvP01_03_v2:874594-878337(-) | protein_length=1247 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7741at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7741at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7741at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:48:41 2026
# [ok]
