#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0922300.1-p1   -            792 3154at5820           -            664         0 1363.3  64.5   1   4   5.8e-14   4.2e-11   40.5   1.9     3    47    19    69    17    74 0.86 | transcript=PVP01_0922300.1 | gene=PVP01_0922300 | organism=Plasmodium_vivax_P01 | gene_product=protein GCN20, putative, ABC transporter F family member 2, putative | transcript_product=protein GCN20, putative | location=PvP01_09_v2:964795-967173(+) | protein_length=792 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0922300.1-p1   -            792 3154at5820           -            664         0 1363.3  64.5   2   4  2.8e-109    2e-106  355.4   9.8    39   223    86   281    75   286 0.96 | transcript=PVP01_0922300.1 | gene=PVP01_0922300 | organism=Plasmodium_vivax_P01 | gene_product=protein GCN20, putative, ABC transporter F family member 2, putative | transcript_product=protein GCN20, putative | location=PvP01_09_v2:964795-967173(+) | protein_length=792 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0922300.1-p1   -            792 3154at5820           -            664         0 1363.3  64.5   3   4  2.8e-159    2e-156  520.6  14.9   217   455   316   554   308   558 0.98 | transcript=PVP01_0922300.1 | gene=PVP01_0922300 | organism=Plasmodium_vivax_P01 | gene_product=protein GCN20, putative, ABC transporter F family member 2, putative | transcript_product=protein GCN20, putative | location=PvP01_09_v2:964795-967173(+) | protein_length=792 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0922300.1-p1   -            792 3154at5820           -            664         0 1363.3  64.5   4   4  1.8e-142  1.3e-139  465.1  14.4   454   664   582   792   574   792 0.99 | transcript=PVP01_0922300.1 | gene=PVP01_0922300 | organism=Plasmodium_vivax_P01 | gene_product=protein GCN20, putative, ABC transporter F family member 2, putative | transcript_product=protein GCN20, putative | location=PvP01_09_v2:964795-967173(+) | protein_length=792 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1010900.1-p1   -           1464 3154at5820           -            664   1.8e-13   48.3  20.1   1   5   7.9e-05     0.057   10.3   0.7   455   548   391   492   354   498 0.69 | transcript=PVP01_1010900.1 | gene=PVP01_1010900 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 1, putative, multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=PvP01_10_v2:478739-483133(-) | protein_length=1464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1010900.1-p1   -           1464 3154at5820           -            664   1.8e-13   48.3  20.1   2   5     1e-07   7.5e-05   19.8   0.2   568   637   579   651   540   665 0.79 | transcript=PVP01_1010900.1 | gene=PVP01_1010900 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 1, putative, multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=PvP01_10_v2:478739-483133(-) | protein_length=1464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1010900.1-p1   -           1464 3154at5820           -            664   1.8e-13   48.3  20.1   3   5     0.069        50    0.6   1.4    14   108   715   814   704   832 0.73 | transcript=PVP01_1010900.1 | gene=PVP01_1010900 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 1, putative, multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=PvP01_10_v2:478739-483133(-) | protein_length=1464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1010900.1-p1   -           1464 3154at5820           -            664   1.8e-13   48.3  20.1   4   5   0.00033      0.24    8.2   0.1   405   507  1121  1225  1113  1242 0.69 | transcript=PVP01_1010900.1 | gene=PVP01_1010900 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 1, putative, multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=PvP01_10_v2:478739-483133(-) | protein_length=1464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1010900.1-p1   -           1464 3154at5820           -            664   1.8e-13   48.3  20.1   5   5   2.2e-07   0.00016   18.7   0.0   263   322  1355  1418  1310  1452 0.72 | transcript=PVP01_1010900.1 | gene=PVP01_1010900 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 1, putative, multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=PvP01_10_v2:478739-483133(-) | protein_length=1464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1426600.1-p1   -           1288 3154at5820           -            664   4.1e-13   47.1  43.6   1   5   8.1e-06    0.0058   13.6   5.2   105   216   166   278   155   310 0.76 | transcript=PVP01_1426600.1 | gene=PVP01_1426600 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter F family member 1, putative | transcript_product=ABC transporter F family member 1, putative | location=PvP01_14_v2:1131739-1135605(+) | protein_length=1288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1426600.1-p1   -           1288 3154at5820           -            664   4.1e-13   47.1  43.6   2   5   1.4e-07    0.0001   19.4  10.3   252   336   479   566   434   605 0.80 | transcript=PVP01_1426600.1 | gene=PVP01_1426600 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter F family member 1, putative | transcript_product=ABC transporter F family member 1, putative | location=PvP01_14_v2:1131739-1135605(+) | protein_length=1288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
