#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0808200.1-p1   -            975 3405at5820           -            606         0 1056.5 153.7   1   6  8.5e-117  1.4e-113  379.2  42.4     1   214    29   254    29   264 0.94 | transcript=PVP01_0808200.1 | gene=PVP01_0808200 | organism=Plasmodium_vivax_P01 | gene_product=protein GPR89, putative | transcript_product=protein GPR89, putative | location=PvP01_08_v2:366867-369794(+) | protein_length=975 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0808200.1-p1   -            975 3405at5820           -            606         0 1056.5 153.7   2   6   2.1e-57   3.5e-54  183.0  16.2   206   316   282   391   273   397 0.96 | transcript=PVP01_0808200.1 | gene=PVP01_0808200 | organism=Plasmodium_vivax_P01 | gene_product=protein GPR89, putative | transcript_product=protein GPR89, putative | location=PvP01_08_v2:366867-369794(+) | protein_length=975 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0808200.1-p1   -            975 3405at5820           -            606         0 1056.5 153.7   3   6   7.6e-07    0.0012   16.0   0.8   309   338   451   480   437   489 0.83 | transcript=PVP01_0808200.1 | gene=PVP01_0808200 | organism=Plasmodium_vivax_P01 | gene_product=protein GPR89, putative | transcript_product=protein GPR89, putative | location=PvP01_08_v2:366867-369794(+) | protein_length=975 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0808200.1-p1   -            975 3405at5820           -            606         0 1056.5 153.7   4   6   5.1e-16   8.3e-13   46.3   4.3   327   376   512   565   498   574 0.80 | transcript=PVP01_0808200.1 | gene=PVP01_0808200 | organism=Plasmodium_vivax_P01 | gene_product=protein GPR89, putative | transcript_product=protein GPR89, putative | location=PvP01_08_v2:366867-369794(+) | protein_length=975 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0808200.1-p1   -            975 3405at5820           -            606         0 1056.5 153.7   5   6   0.00026      0.42    7.7   1.7   371   406   675   706   663   732 0.76 | transcript=PVP01_0808200.1 | gene=PVP01_0808200 | organism=Plasmodium_vivax_P01 | gene_product=protein GPR89, putative | transcript_product=protein GPR89, putative | location=PvP01_08_v2:366867-369794(+) | protein_length=975 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0808200.1-p1   -            975 3405at5820           -            606         0 1056.5 153.7   6   6  2.2e-139  3.6e-136  453.8  50.2   383   606   751   975   726   975 0.96 | transcript=PVP01_0808200.1 | gene=PVP01_0808200 | organism=Plasmodium_vivax_P01 | gene_product=protein GPR89, putative | transcript_product=protein GPR89, putative | location=PvP01_08_v2:366867-369794(+) | protein_length=975 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1328400.1-p1   -           1021 3405at5820           -            606   3.6e-09   34.3  97.0   1   2   8.5e-06     0.014   12.6  47.5    24   290    27   294     6   312 0.63 | transcript=PVP01_1328400.1 | gene=PVP01_1328400 | organism=Plasmodium_vivax_P01 | gene_product=protein GPR89, putative | transcript_product=protein GPR89, putative | location=PvP01_13_v2:1203973-1207038(+) | protein_length=1021 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1328400.1-p1   -           1021 3405at5820           -            606   3.6e-09   34.3  97.0   2   2   3.9e-07   0.00064   17.0  41.5   383   597   776  1007   755  1012 0.72 | transcript=PVP01_1328400.1 | gene=PVP01_1328400 | organism=Plasmodium_vivax_P01 | gene_product=protein GPR89, putative | transcript_product=protein GPR89, putative | location=PvP01_13_v2:1203973-1207038(+) | protein_length=1021 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1302500.1-p1   -            103 3405at5820           -            606      0.28    8.3   5.6   1   1   0.00017      0.28    8.2   5.6   302   382    11    94     1   102 0.71 | transcript=PVP01_1302500.1 | gene=PVP01_1302500 | organism=Plasmodium_vivax_P01 | gene_product=signal recognition particle subunit SRP14, putative | transcript_product=signal recognition particle subunit SRP14, putative | location=PvP01_13_v2:120642-121218(+) | protein_length=103 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0944300.1-p1   -            324 3405at5820           -            606      0.51    7.4   4.4   1   1   0.00043       0.7    6.9   4.4   329   381   233   287   204   298 0.77 | transcript=PVP01_0944300.1 | gene=PVP01_0944300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_09_v2:1951679-1952653(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3405at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3405at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3405at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:43 2026
# [ok]
